year,month,day,시군구index,철새수,발생거리,평균온도,일강수량,위험도,code,"(151, '위험도')"
2021,9,1,76,0,107.55,24.3,0.0,2.5,41390,10
2021,9,1,77,0,103.04,24.3,0.0,2.5,41410,10
2021,9,1,78,0,100.79,24.3,0.0,2.5,41430,10
2021,9,1,79,0,121.81,24.3,0.0,2.5,41450,10
2021,9,1,80,0,88.52,24.3,0.0,2.5,41461,10
2021,9,1,80,0,88.52,24.3,0.0,2.5,41463,10
2021,9,1,80,0,88.52,24.3,0.0,2.5,41465,10
2021,9,1,81,0,149.13,24.3,0.0,2.5,41480,10
2021,9,1,82,0,96.03,24.3,0.0,2.5,41500,10
2021,9,1,83,0,64.06,24.3,0.0,5.0,41550,10
2021,9,1,84,0,134.81,24.3,0.0,2.5,41570,10
2021,9,1,85,0,87.56,24.3,0.0,2.5,41590,10
2021,9,1,86,0,109.96,24.3,0.0,2.5,41610,10
2021,9,1,87,0,149.01,24.3,0.0,2.5,41630,10
2021,9,1,88,0,161.21,24.3,0.0,0.0,41650,10
2021,9,1,89,0,105.33,24.3,0.0,2.5,41670,10
2021,9,1,90,0,183.53,24.3,0.0,0.0,41800,10
2021,9,1,91,0,157.84,24.3,0.0,0.0,41820,10
2021,9,1,92,0,120.75,24.3,0.0,2.5,41830,10
2021,9,1,94,0,168.48,22.3,0.4,0.0,42110,10
2021,9,1,95,0,122.45,22.3,0.4,2.5,42130,10
2021,9,1,96,0,212.95,22.7,0.6,0.0,42150,10
2021,9,1,97,0,213.95,22.7,0.6,0.0,42170,10
2021,9,1,98,0,184.35,22.7,0.6,0.0,42190,10
2021,9,1,99,0,235.12,22.7,0.6,0.0,42210,10
2021,9,1,100,0,213.32,22.7,0.6,0.0,42230,10
2021,9,1,101,0,154.92,22.3,0.4,2.5,42720,10
2021,9,1,102,0,139.38,22.3,0.4,2.5,42730,10
2021,9,1,103,0,144.94,22.3,0.4,2.5,42750,10
2021,9,1,104,0,152.75,22.3,0.4,2.5,42760,10
2021,9,1,105,0,171.98,22.3,0.4,0.0,42770,10
2021,9,1,106,0,189.85,22.3,0.4,0.0,42780,10
2021,9,1,107,0,191.76,22.3,0.4,0.0,42790,10
2021,9,1,108,0,200.37,22.3,0.4,0.0,42800,10
2021,9,1,109,0,203.06,22.3,0.4,0.0,42810,10
2021,9,1,110,0,245.84,22.7,0.6,0.0,42820,10
2021,9,1,111,0,224.56,22.7,0.6,0.0,42830,10
2021,9,1,113,0,39.58,22.8,0.8,5.0,43111,10
2021,9,1,113,0,39.58,22.8,0.8,5.0,43112,10
2021,9,1,113,0,39.58,22.8,0.8,5.0,43113,10
2021,9,1,113,0,39.58,22.8,0.8,5.0,43114,10
2021,9,1,114,0,94.02,22.8,0.8,2.5,43130,10
2021,9,1,115,0,122.2,22.8,0.8,2.5,43150,10
2021,9,1,116,0,54.8,22.8,0.8,5.0,43720,10
2021,9,1,117,0,43.39,22.8,0.8,5.0,43730,10
2021,9,1,118,0,66.75,22.8,0.8,5.0,43740,10
2021,9,1,119,0,55.88,22.8,0.8,5.0,43745,10
2021,9,1,120,0,53.52,22.8,0.8,5.0,43750,10
2021,9,1,121,0,72.33,22.8,0.8,5.0,43760,10
2021,9,1,122,0,74.9,22.8,0.8,5.0,43770,10
2021,9,1,123,0,126.19,22.8,0.8,2.5,43800,10
2021,9,1,125,0,40.99,23.7,1.9,5.0,44131,10
2021,9,1,125,0,40.99,23.7,1.9,5.0,44133,10
2021,9,1,126,0,0.0,23.7,1.9,5.0,44150,10
2021,9,1,127,0,47.03,23.7,1.9,5.0,44180,10
2021,9,1,128,0,39.58,23.7,1.9,5.0,44200,10
2021,9,1,129,0,70.56,23.7,1.9,5.0,44210,10
2021,9,1,130,0,28.89,23.7,1.9,5.0,44230,10
2021,9,1,131,0,22.37,23.7,1.9,5.0,44250,10
2021,9,1,132,0,64.9,23.7,1.9,5.0,44270,10
2021,9,1,133,0,50.05,23.7,1.9,5.0,44710,10
2021,9,1,134,0,26.69,23.7,1.9,5.0,44760,10
2021,9,1,135,0,55.91,23.7,1.9,5.0,44770,10
2021,9,1,136,0,28.37,23.7,1.9,5.0,44790,10
2021,9,1,137,0,44.42,23.7,1.9,8.5,44800,10
2021,9,1,138,0,35.77,23.7,1.9,8.5,44810,10
2021,9,1,139,0,80.49,23.7,1.9,2.5,44825,10
2021,9,1,141,0,69.26,24.8,0.1,5.0,45111,10
2021,9,1,141,0,69.26,24.8,0.1,5.0,45113,10
2021,9,1,142,0,63.34,24.8,0.1,5.0,45130,10
2021,9,1,143,0,57.26,24.8,0.1,5.0,45140,10
2021,9,1,144,0,100.31,24.8,0.1,2.5,45180,10
2021,9,1,145,0,117.12,24.8,0.1,2.5,45190,10
2021,9,1,146,0,74.63,24.8,0.1,5.0,45210,10
2021,9,1,147,0,60.37,24.8,0.1,5.0,45710,10
2021,9,1,148,0,77.82,24.8,0.1,2.5,45720,10
2021,9,1,149,0,68.94,24.8,0.1,5.0,45730,10
2021,9,1,150,0,95.94,24.8,0.1,2.5,45740,10
2021,9,1,151,0,93.41,24.8,0.1,2.5,45750,10
2021,9,1,152,0,119.22,24.8,0.1,2.5,45770,10
2021,9,1,153,0,118.49,24.8,0.1,2.5,45790,10
2021,9,1,154,0,86.71,24.8,0.1,2.5,45800,10
2021,9,1,156,0,193.27,24.2,5.2,3.5,46110,10
2021,9,1,157,0,193.82,24.2,5.2,3.5,46130,10
2021,9,1,158,0,169.62,24.2,5.2,4.5,46150,10
2021,9,1,159,0,163.3,24.2,5.2,4.5,46170,10
2021,9,1,160,0,175.36,24.2,5.2,3.5,46230,10
2021,9,1,161,0,125.69,24.2,5.2,6.0,46710,10
2021,9,1,162,0,130.43,24.2,5.2,6.0,46720,10
2021,9,1,163,0,141.76,24.2,5.2,6.0,46730,10
2021,9,1,164,0,205.29,24.2,5.2,0.0,46770,10
2021,9,1,165,0,186.3,24.2,5.2,3.5,46780,10
2021,9,1,166,0,154.14,24.2,5.2,6.0,46790,10
2021,9,1,167,0,197.19,24.2,5.2,3.5,46800,10
2021,9,1,168,0,203.16,24.2,5.2,3.5,46810,10
2021,9,1,169,0,213.52,24.2,5.2,0.0,46820,10
2021,9,1,170,0,187.01,24.2,5.2,3.5,46830,10
2021,9,1,171,0,171.83,24.2,5.2,4.5,46840,10
2021,9,1,172,0,162.86,24.2,5.2,4.5,46860,10
2021,9,1,173,0,141.06,24.2,5.2,6.0,46870,10
2021,9,1,174,0,130.79,24.2,5.2,6.0,46880,10
2021,9,1,175,0,239.74,24.2,5.2,0.0,46890,10
2021,9,1,176,0,231.28,24.2,5.2,0.0,46900,10
2021,9,1,177,0,192.3,24.2,5.2,0.0,46910,10
2021,9,1,179,0,205.09,22.8,2.0,0.0,47111,10
2021,9,1,179,0,205.09,22.8,2.0,0.0,47113,10
2021,9,1,180,0,200.13,22.8,2.0,0.0,47130,10
2021,9,1,181,0,95.44,22.8,2.0,2.5,47150,10
2021,9,1,182,0,144.58,22.8,2.0,2.5,47170,10
2021,9,1,183,0,115.69,22.8,2.0,2.5,47190,10
2021,9,1,184,0,140.12,22.8,2.0,2.5,47210,10
2021,9,1,185,0,171.52,22.8,2.0,0.0,47230,10
2021,9,1,186,0,93.15,22.8,2.0,2.5,47250,10
2021,9,1,187,0,96.68,22.8,2.0,2.5,47280,10
2021,9,1,188,0,161.23,22.8,2.0,0.0,47290,10
2021,9,1,189,0,132.14,22.8,2.0,2.5,47720,10
2021,9,1,190,0,141.63,22.8,2.0,2.5,47730,10
2021,9,1,191,0,173.37,22.8,2.0,0.0,47750,10
2021,9,1,192,0,179.72,22.8,2.0,0.0,47760,10
2021,9,1,193,0,200.98,22.8,2.0,0.0,47770,10
2021,9,1,194,0,170.22,22.8,2.0,0.0,47820,10
2021,9,1,195,0,130.31,22.8,2.0,2.5,47830,10
2021,9,1,196,0,119.79,22.8,2.0,2.5,47840,10
2021,9,1,197,0,125.51,22.8,2.0,2.5,47850,10
2021,9,1,198,0,119.85,22.8,2.0,2.5,47900,10
2021,9,1,199,0,152.23,22.8,2.0,2.5,47920,10
2021,9,1,200,0,212.22,22.8,2.0,0.0,47930,10
2021,9,1,201,0,355.64,22.8,2.0,0.0,47940,10
2021,9,1,203,0,195.47,23.2,8.6,0.0,48121,10
2021,9,1,203,0,195.47,23.2,8.6,0.0,48123,10
2021,9,1,203,0,195.47,23.2,8.6,0.0,48125,10
2021,9,1,203,0,195.47,23.2,8.6,0.0,48127,10
2021,9,1,203,0,195.47,23.2,8.6,0.0,48129,10
2021,9,1,204,0,166.64,23.2,8.6,0.0,48170,10
2021,9,1,205,0,213.16,23.2,8.6,0.0,48220,10
2021,9,1,206,0,181.72,23.2,8.6,0.0,48240,10
2021,9,1,207,0,209.3,23.2,8.6,0.0,48250,10
2021,9,1,208,0,180.11,23.2,8.6,0.0,48270,10
2021,9,1,209,0,220.77,23.2,8.6,0.0,48310,10
2021,9,1,210,0,212.45,23.2,8.6,0.0,48330,10
2021,9,1,211,0,161.94,23.2,8.6,0.0,48720,10
2021,9,1,212,0,174.67,23.2,8.6,0.0,48730,10
2021,9,1,213,0,159.13,23.2,8.6,0.0,48740,10
2021,9,1,,0,196.58,23.2,8.6,0.0,48820,10
2021,9,1,214,0,192.06,23.2,8.6,0.0,48840,10
2021,9,1,215,0,163.63,23.2,8.6,0.0,48850,10
2021,9,1,216,0,133.25,23.2,8.6,2.5,48860,10
2021,9,1,217,0,116.52,23.2,8.6,2.5,48870,10
2021,9,1,218,0,110.4,23.2,8.6,2.5,48880,10
2021,9,1,219,0,135.79,23.2,8.6,2.5,48890,10
2021,9,1,221,0,332.04,25.2,22.6,0.0,50110,10
2021,9,1,222,0,358.65,25.2,22.6,0.0,50130,10
