지역,month,밀집도,발생건수
충청남도,4,417.6232731,3.0
충청남도,5,417.6232731,1.0
충청남도,6,417.6232731,0.0
충청남도,7,417.6232731,0.0
충청남도,8,417.6232731,0.0
충청남도,9,417.6232731,0.0
충청남도,10,417.6232731,0.0
충청남도,11,417.6232731,4.0
충청남도,12,417.6232731,53.0
충청북도,1,258.8947691,2.0
충청북도,2,258.8947691,71.0
충청북도,3,258.8947691,22.0
충청북도,4,258.8947691,1.0
충청북도,5,258.8947691,0.0
충청북도,6,258.8947691,0.0
충청북도,7,258.8947691,0.0
충청북도,8,258.8947691,0.0
충청북도,9,258.8947691,0.0
충청북도,10,258.8947691,0.0
충청북도,11,258.8947691,46.0
충청북도,12,258.8947691,41.0
