지역,month,밀집도,발생건수,밀집도표준,density_index,occur_index,risk
대구광역시,4,4.12415174,0,1,10,10,10
대구광역시,5,4.12415174,0,1,10,10,10
대구광역시,6,4.12415174,2,1,10,0,5
대구광역시,7,4.12415174,0,1,10,10,10
대구광역시,8,4.12415174,0,1,10,10,10
대구광역시,9,4.12415174,0,1,10,10,10
대구광역시,10,4.12415174,0,1,10,10,10
대구광역시,11,4.12415174,0,1,10,10,10
대구광역시,12,4.12415174,0,1,10,10,10
대전광역시,1,7.962109458,0,2,10,10,10
대전광역시,2,7.962109458,0,2,10,10,10
대전광역시,3,7.962109458,0,2,10,10,10
대전광역시,4,7.962109458,0,2,10,10,10
대전광역시,5,7.962109458,0,2,10,10,10
대전광역시,6,7.962109458,0,2,10,10,10
대전광역시,7,7.962109458,0,2,10,10,10
대전광역시,8,7.962109458,0,2,10,10,10
대전광역시,9,7.962109458,0,2,10,10,10
대전광역시,10,7.962109458,0,2,10,10,10
대전광역시,11,7.962109458,0,2,10,10,10
대전광역시,12,7.962109458,0,2,10,10,10
부산광역시,1,5.596954849,2,2,10,0,5
부산광역시,2,5.596954849,0,2,10,0,5
부산광역시,3,5.596954849,0,2,10,0,5
부산광역시,4,5.596954849,0,2,10,0,5
부산광역시,5,5.596954849,0,2,10,0,5
부산광역시,6,5.596954849,2,2,10,0,5
부산광역시,7,5.596954849,0,2,10,0,5
부산광역시,8,5.596954849,0,2,10,0,5
부산광역시,9,5.596954849,0,2,10,0,5
부산광역시,10,5.596954849,0,2,10,0,5
부산광역시,11,5.596954849,0,2,10,0,5
부산광역시,12,5.596954849,1,2,10,10,10
서울특별시,1,0,0,1,10,10,10
서울특별시,2,0,0,1,10,10,10
서울특별시,3,0,0,1,10,10,10
서울특별시,4,0,0,1,10,10,10
서울특별시,5,0,0,1,10,10,10
서울특별시,6,0,0,1,10,10,10
서울특별시,7,0,0,1,10,10,10
서울특별시,8,0,0,1,10,10,10
서울특별시,9,0,0,1,10,10,10
서울특별시,10,0,0,1,10,10,10
서울특별시,11,0,0,1,10,10,10
서울특별시,12,0,0,1,10,10,10
세종특별자치시,1,6.659286789,0,2,10,0,5
세종특별자치시,2,6.659286789,0,2,10,0,5
세종특별자치시,3,6.659286789,4,2,10,0,5
세종특별자치시,4,6.659286789,0,2,10,0,5
세종특별자치시,5,6.659286789,0,2,10,0,5
세종특별자치시,6,6.659286789,0,2,10,0,5
세종특별자치시,7,6.659286789,0,2,10,0,5
세종특별자치시,8,6.659286789,0,2,10,0,5
세종특별자치시,9,6.659286789,0,2,10,0,5
세종특별자치시,10,6.659286789,0,2,10,0,5
세종특별자치시,11,6.659286789,1,2,10,0,5
세종특별자치시,12,6.659286789,16,2,10,10,10
울산광역시,1,28.47166736,0,2,10,10,10
울산광역시,2,28.47166736,2,2,10,0,5
울산광역시,3,28.47166736,0,2,10,10,10
울산광역시,4,28.47166736,1,2,10,0,5
울산광역시,5,28.47166736,0,2,10,10,10
울산광역시,6,28.47166736,3,2,10,0,5
울산광역시,7,28.47166736,0,2,10,10,10
울산광역시,8,28.47166736,0,2,10,10,10
울산광역시,9,28.47166736,0,2,10,10,10
울산광역시,10,28.47166736,0,2,10,10,10
울산광역시,11,28.47166736,0,2,10,10,10
울산광역시,12,28.47166736,0,2,10,10,10
인천광역시,1,33.76978467,0,2,10,0,5
인천광역시,2,33.76978467,1,2,10,10,10
인천광역시,3,33.76978467,0,2,10,0,5
인천광역시,4,33.76978467,0,2,10,0,5
인천광역시,5,33.76978467,0,2,10,0,5
인천광역시,6,33.76978467,0,2,10,0,5
인천광역시,7,33.76978467,0,2,10,0,5
인천광역시,8,33.76978467,0,2,10,0,5
인천광역시,9,33.76978467,0,2,10,0,5
인천광역시,10,33.76978467,0,2,10,0,5
인천광역시,11,33.76978467,0,2,10,0,5
인천광역시,12,33.76978467,1,2,10,10,10
전라남도,1,376.0224803,31,8,10,10,10
전라남도,2,376.0224803,19,8,10,0,5
전라남도,3,376.0224803,34,8,10,0,5
전라남도,4,376.0224803,3,8,10,0,5
전라남도,5,376.0224803,7,8,10,0,5
전라남도,6,376.0224803,5,8,10,0,5
전라남도,7,376.0224803,4,8,10,0,5
전라남도,8,376.0224803,0,8,10,0,5
전라남도,9,376.0224803,16,8,10,0,5
전라남도,10,376.0224803,24,8,10,0,5
전라남도,11,376.0224803,9,8,10,0,5
전라남도,12,376.0224803,31,8,10,10,10
전라북도,1,772.4269452,45,15,10,0,5
전라북도,2,772.4269452,19,15,10,0,5
전라북도,3,772.4269452,21,15,10,0,5
전라북도,4,772.4269452,12,15,10,0,5
전라북도,5,772.4269452,0,15,10,0,5
전라북도,6,772.4269452,20,15,10,0,5
전라북도,7,772.4269452,0,15,10,0,5
전라북도,8,772.4269452,0,15,10,0,5
전라북도,9,772.4269452,0,15,10,0,5
전라북도,10,772.4269452,0,15,10,0,5
전라북도,11,772.4269452,7,15,10,0,5
전라북도,12,772.4269452,39,15,10,10,10
제주도,1,220.9168447,0,5,10,10,10
제주도,2,220.9168447,0,5,10,10,10
제주도,3,220.9168447,0,5,10,10,10
제주도,4,220.9168447,0,5,10,10,10
제주도,5,220.9168447,0,5,10,10,10
제주도,6,220.9168447,0,5,10,10,10
제주도,7,220.9168447,0,5,10,10,10
제주도,8,220.9168447,0,5,10,10,10
제주도,9,220.9168447,0,5,10,10,10
제주도,10,220.9168447,0,5,10,10,10
제주도,11,220.9168447,0,5,10,10,10
제주도,12,220.9168447,0,5,10,10,10
충청남도,1,417.6232731,12,9,10,0,5
충청남도,2,417.6232731,15,9,10,0,5
충청남도,3,417.6232731,21,9,10,0,5
충청남도,4,417.6232731,3,9,10,0,5
충청남도,5,417.6232731,1,9,10,0,5
충청남도,6,417.6232731,0,9,10,0,5
충청남도,7,417.6232731,0,9,10,0,5
충청남도,8,417.6232731,0,9,10,0,5
충청남도,9,417.6232731,0,9,10,0,5
충청남도,10,417.6232731,0,9,10,0,5
충청남도,11,417.6232731,4,9,10,0,5
충청남도,12,417.6232731,53,9,10,10,10
충청북도,1,258.8947691,2,6,10,0,5
충청북도,2,258.8947691,71,6,10,0,5
충청북도,3,258.8947691,22,6,10,0,5
충청북도,4,258.8947691,1,6,10,0,5
충청북도,5,258.8947691,0,6,10,0,5
충청북도,6,258.8947691,0,6,10,0,5
충청북도,7,258.8947691,0,6,10,0,5
충청북도,8,258.8947691,0,6,10,0,5
충청북도,9,258.8947691,0,6,10,0,5
충청북도,10,258.8947691,0,6,10,0,5
충청북도,11,258.8947691,46,6,10,0,5
충청북도,12,258.8947691,41,6,10,10,10
