month,dist_range,cnt,cumulative,risk
9,160,5,57,0
9,170,2,59,0
9,180,10,69,0
9,190,8,77,0
9,200,6,83,0
9,210,3,86,0
9,220,3,89,0
9,230,5,94,0
9,240,0,94,0
9,250,2,96,0
9,260,2,98,0
9,270,3,101,0
9,280,1,102,0
9,290,2,104,0
9,300,2,106,0
10,0,0,0,10
10,10,3,3,10
10,20,4,7,10
10,30,5,12,10
10,40,3,15,10
10,50,2,17,10
10,60,4,21,10
10,70,2,23,10
10,80,8,31,5
10,90,1,32,5
10,100,4,36,5
10,110,4,40,5
10,120,1,41,5
10,130,4,45,5
10,140,3,48,5
10,150,4,52,5
10,160,5,57,0
10,170,2,59,0
10,180,10,69,0
10,190,8,77,0
10,200,6,83,0
10,210,3,86,0
10,220,3,89,0
10,230,5,94,0
10,240,0,94,0
10,250,2,96,0
10,260,2,98,0
10,270,3,101,0
10,280,1,102,0
10,290,2,104,0
10,300,2,106,0
11,0,0,0,10
11,10,2,2,10
11,20,3,5,10
11,30,4,9,10
11,40,4,13,10
11,50,2,15,10
11,60,6,21,10
11,70,7,28,10
11,80,5,33,10
11,90,12,45,5
11,100,7,52,5
11,110,7,59,5
11,120,9,68,5
11,130,6,74,5
11,140,5,79,5
11,150,4,83,5
11,160,4,87,5
11,170,2,89,5
11,180,8,97,0
11,190,2,99,0
11,200,4,103,0
11,210,0,103,0
11,220,1,104,0
11,230,0,104,0
11,240,0,104,0
11,250,0,104,0
11,260,1,105,0
11,270,0,105,0
11,280,0,105,0
11,290,0,105,0
11,300,0,105,0
11,310,0,105,0
11,320,0,105,0
11,330,0,105,0
11,340,1,106,0
12,0,0,0,10
12,10,2,2,10
12,20,4,6,10
12,30,3,9,10
12,40,12,21,10
12,50,4,25,10
12,60,13,38,10
12,70,8,46,10
12,80,4,50,5
12,90,6,56,5
12,100,5,61,5
12,110,6,67,5
12,120,3,70,5
12,130,4,74,5
12,140,7,81,5
12,150,4,85,0
12,160,3,88,0
12,170,0,88,0
12,180,4,92,0
12,190,2,94,0
12,200,1,95,0
12,210,1,96,0
12,220,0,96,0
12,230,3,99,0
12,240,2,101,0
12,250,3,104,0
12,260,1,105,0
12,270,0,105,0
12,280,1,106,0
