구분,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
충청남도,27167,5555,12627,4579,4509,7081,4470,4024,6329,12367,1237,1255,2004,696,4319,4546,14285,4270,2444,1119,1846,702
충청남도,16095,890,6265,3280,11379,17397,17208,13724,4004,4336,5655,2841,23253,4272,9250,4555,4563,9145,7046,5536,7289,5225
충청남도,19910,3134,14013,21229,10025,14930,18758,15786,11741,9644,6856,2908,6496,3587,8374,5710,6582,9218,11048,7263,4593,5334
충청남도,0,0,0,0,0,0,0,0,0,0,0,5907,4575,3464,9804,11452,19001,10601,11566,11376,6629,9700
충청남도,0,0,0,2343,0,0,0,0,7378,0,771,1777,825,9208,12237,27557,19920,9285,24377,10751,20772,8267
충청남도,481,653,3108,2022,5018,2381,2480,5202,0,5565,4705,2749,1870,6342,12585,13598,5525,7046,9360,5937,9124,8654
충청남도,0,0,0,0,0,0,0,0,0,0,232,52,196,608,3199,0,2682,796,3401,2215,448,5031
충청남도,789,2601,1414,0,4470,3062,1083,610,1172,913,1335,1768,1508,2434,2327,0,3061,3153,1605,1835,2791,2812
충청남도,0,0,0,0,0,0,0,0,0,0,826,925,714,548,2278,0,2826,954,1295,714,2318,3232
대전광역시,6092,2630,3683,3311,2368,2092,1663,1236,2080,1875,2472,1296,1609,2122,2338,0,2364,2372,3999,2911,3211,2191
충청북도,9289,1052,199,1165,139,2282,2813,1638,1031,1533,20,35,538,155,97,0,2154,608,55,912,985,466
충청북도,147,517,1736,172,58,1001,62,173,755,132,32,22,587,7,203,0,3202,875,672,564,1035,234
충청북도,0,0,0,0,0,0,0,0,0,0,380,121,75,46,50,0,119,77,0,0,0,0
충청북도,2493,1675,1608,3242,3003,3261,5533,5012,7483,4674,6283,5588,6453,5403,5174,0,6754,4432,4012,7159,6294,8918
충청남도,75357,41592,32739,24444,36712,47304,27351,9049,10342,14561,9425,5106,7267,9335,8562,16210,12902,8214,16509,7186,12078,8434
충청남도,21452,16519,14625,13922,19506,16863,24055,12764,14325,20827,14610,4958,16792,12979,17154,26188,17252,9365,28509,13948,25294,7947
세종특별자치시,0,0,0,0,0,0,0,0,6306,4226,3788,4116,5366,3989,5780,5194,4238,3947,1969,2618,3202,4042
대전광역시,0,0,0,0,0,0,0,0,5232,2613,3925,2847,2175,1833,2091,0,4168,1595,2007,2336,4635,2787
충청남도,0,0,0,0,0,0,0,0,0,0,10346,9350,3379,4965,5440,0,7637,6151,6695,5890,7706,4832
충청남도,3264,2517,1956,3627,2260,6346,424,5311,5673,11749,3248,1410,1957,722,1173,0,1362,2175,1395,5184,2850,3406
충청남도,45,449,1862,239,2470,12763,42,27914,2997,68442,5393,4953,1750,2384,1956,0,5422,2242,11970,4464,3680,4128
충청남도,100,1334,1494,830,1129,3300,100,9013,2477,2175,3532,1772,604,390,1332,0,1385,1222,1759,2715,2383,3004
