주소,축종,사육두수,발생일,지역코드,location,avg_temperature(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%)
충청북도 음성군 맹동면 마산리,오리-육용오리,14000,20150303,127,충주,3.4,0.5,1.8,57.5
충청북도 음성군 맹동면 마산리,오리-육용오리,20764,20150226,127,충주,2.2,1.0,3.5,49.6
충청북도 음성군 맹동면 신돈리,오리-육용오리,9000,20161122,127,충주,4.5,0.9,2.1,63.4
충청북도 음성군 맹동면 봉현리,오리-육용오리,6100,20140217,127,충주,4.0,0.0,1.5,55.0
충청북도 음성군 맹동면 봉현리,오리-육용오리,16000,20140218,127,충주,2.6,0.0,3.0,43.5
충청북도 음성군 맹동면 봉현리,오리-육용오리,10000,20140218,127,충주,2.6,0.0,3.0,43.5
충청북도 음성군 맹동면 봉현리,오리-육용오리,8500,20140218,127,충주,2.6,0.0,3.0,43.5
충청북도 음성군 맹동면 봉현리,오리-육용오리,10000,20140218,127,충주,2.6,0.0,3.0,43.5
충청북도 음성군 맹동면 봉현리,오리-육용오리,3000,20140218,127,충주,2.6,0.0,3.0,43.5
충청북도 음성군 맹동면 봉현리,타조-비분류,35,20140303,127,충주,3.2,0.0,1.2,43.0
충청북도 음성군 맹동면 봉현리,오리-육용오리,10279,20140218,127,충주,2.6,0.0,3.0,43.5
