주소,축종,"사육
두수",진단일,발생일,지역코드
경기도 안성시 서운면 신촌리,닭-산란계,280000,20210114,20210113,203
경기도 안성시 서운면 신촌리,닭-산란계,230000,20161228,20161223,203
경기도 안성시 서운면 신촌리,닭-산란계,54000,20161228,20161222,203
경기도 안성시 서운면 신흥리,오리-육용오리,20000,20150211,20150208,203
경기도 안성시 서운면 신흥리,오리-종오리,6500,20150205,20150202,203
경기도 안성시 서운면 신흥리,오리-육용오리,33000,20110108,20110108,203
경기도 안성시 원곡면 외가천리,닭-토종닭,45500,20161207,20161201,203
경기도 안성시 일죽면 능국리,닭-산란계,400000,20161218,20161211,203
경기도 안성시 일죽면 능국리,닭-산란계,50000,20161214,20161207,203
경기도 안성시 일죽면 능국리,닭-산란계,110000,20140401,20140329,203
경기도 안성시 일죽면 능국리,닭-산란계,443000,20140321,20140318,203
경기도 안성시 일죽면 방초리,닭-토종닭,1500,20170114,20170109,203
경기도 안성시 일죽면 산북리,닭-일괄,290000,20161220,20161214,203
경기도 안성시 일죽면 산북리,오리-육용오리,5500,20161210,20161207,203
경기도 안성시 일죽면 산북리,오리-육용오리,14800,20110111,20110111,203
경기도 안성시 일죽면 신흥리,닭-산란계,60000,20210201,20210131,203
경기도 안성시 일죽면 신흥리,오리-육용오리,1,20140315,20140313,203
경기도 안성시 일죽면 장암리,닭-종계,18780,20210127,20210126,203
경기도 안성시 일죽면 장암리,닭-산란계,100000,20161226,20161220,203
경기도 안성시 일죽면 장암리,닭-육계,133003,20070210,20070210,203
경기도 안성시 일죽면 화곡리,오리-육용오리,5500,20161218,20161208,203
경기도 안성시 일죽면 화봉리,닭-산란계,30000,20140312,20140306,203
경기도 안성시 중리동,오리-육용오리,4000,20140626,20140625,203
경기도 양주시 광적면 우고리,오리-비분류,210,20150524,20150522,98
경기도 양주시 광적면 우고리,오리-비분류,700,20150524,20150521,98
경기도 양주시 남면 경신리,닭-산란계,11830,20170111,20170107,98
경기도 양주시 남면 경신리,닭-산란계,8000,20110120,20110120,98
경기도 양주시 남면 상수리,닭-산란계,17070,20170214,20170209,98
경기도 양주시 백석읍 가업리,닭-산란계,102783,20161129,20161126,98
경기도 양주시 백석읍 가업리,닭-산란계,15500,20161123,20161120,98
경기도 양주시 백석읍 오산리,닭-산란계,16000,20161201,20161128,98
경기도 양주시 은현면 도하리,닭-산란계,31500,20170111,20170105,98
경기도 양주시 은현면 봉암리,닭-산란계,26000,20180318,20180316,98
경기도 양주시 은현면 봉암리,닭-산란계,9800,20170118,20170112,98
경기도 양주시 은현면 하패리,닭-산란계,22000,20040321,20040321,98
경기도 양주시 은현면 하패리,닭-산란계,22000,20040321,20040321,98
경기도 양평군 지평면 수곡리,오리-육용오리,4500,20161207,20161203,202
경기도 여주시 가남읍 금당리,닭-산란계,416271,20161218,20161213,203
경기도 여주시 가남읍 금당리,닭-산란계,541023,20150202,20150123,203
경기도 여주시 가남읍 삼군리,메추리-비분류,110000,20201209,20201208,203
경기도 여주시 가남읍 은봉리,닭-산란계,193000,20201207,20201206,203
경기도 여주시 가남읍 은봉리,닭-산란계,120000,20161210,20161206,203
