구분,시도,시군,2014년-10월,2014년-11월,2014년-12월,2015년-01월,2015년-02월,2015년-03월,2015년-10월,2015년-11월,2015년-12월,2016년-01월,2016년-02월,2016년-03월,2016년-10월,2016년-11월,2016년-12월,2017년-01월,2017년-02월,2017년-03월,2017년-10월,2017년-11월,2017년-12월,2018년-01월,2018년-02월,2018년-03월,2018년-10월,2018년-11월,2018년-12월,2019년-01월,2019년-02월,2019년-03월,2019년-10월,2019년-11월,2019년-12월,2020년-01월,2020년-02월,2020년-03월,2020년-10월,2020년-11월,2020년-12월,2021년-01월,2021년-02월,2021년-03월,평균
교동도,인천광역시,강화군,0,0,5011,0,0,0,0,0,13545,7070,0,0,0,0,13646,9352,0,0,0,0,7829,12003,9385,0,0,0,12149,10986,0,0,0,0,11278,12593,0,0,0,0,16400,9012,0,0,3577.595238
영종도(운북동),인천광역시,중구,0,0,1458,0,0,0,0,0,3237,1729,0,0,0,0,2481,2167,0,0,0,0,1510,1958,3264,0,0,0,2509,3157,0,0,0,0,4288,5334,0,0,0,0,4989,2804,0,0,973.452381
"영종도(운남, 삼목동)",인천광역시,중구,0,0,3007,0,0,0,0,0,3092,1077,0,0,0,0,7071,3383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.7619048
송도,인천광역시,연수구,0,0,1871,0,0,0,0,0,6350,8273,0,0,0,0,1871,5430,0,0,0,0,5832,3052,3294,0,0,0,11316,5235,0,0,0,0,10865,10007,0,0,0,0,5074,4150,0,0,1967.142857
청라지구·굴포천 하구,인천광역시,서구,0,0,1685,0,0,0,0,0,3816,3114,0,0,0,0,2722,2166,0,0,0,0,1508,1651,2341,0,0,0,2538,2912,0,0,0,0,3061,4738,0,0,0,0,2118,4237,0,0,919.2142857
대부도,경기도 ,안산시,5426,6356,13646,4598,5093,6183,3345,5190,7166,8169,4362,3359,4105,4496,4641,4123,0,0,0,0,7075,3232,6762,0,0,0,5877,4270,0,0,0,0,7767,8966,0,0,0,0,8857,7681,0,0,3589.166667
시화호,경기도 ,안산시,36502,25600,16006,13814,16058,18031,40501,28106,36625,24364,25906,11502,63127,20536,19848,18124,11332,14883,45347,23082,8382,9083,3423,20632,49574,30310,18841,7734,7703,12831,42383,33134,8097,13898,11414,11497,48330,45641,24485,10532,14249,13781,22744
왕송저수지,경기도 ,의왕시,0,0,887,0,0,0,0,0,1472,1439,0,0,0,0,1636,1391,0,0,0,0,1757,491,493,0,0,0,470,538,0,0,0,0,3454,1107,0,0,0,2540,4764,1064,558,486,584.452381
물왕저수지,경기도 ,시흥시,0,0,130,0,0,0,0,0,540,391,0,0,0,0,172,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.64285714
발안저수지,경기도 ,화성시,0,0,540,0,0,0,0,0,2076,981,0,0,0,0,1072,425,0,0,0,0,282,160,507,0,0,0,612,157,0,0,0,0,320,843,0,0,0,0,1030,269,0,0,220.8095238
서호,경기도 ,수원시,479,759,1407,721,869,1184,254,1555,2853,3893,901,1282,411,2604,6220,2878,0,0,0,0,2961,1302,1186,0,0,0,3658,2254,0,0,0,0,2442,2004,0,0,0,4738,2310,1079,1380,1166,1303.571429
진위천,경기도 ,처인구,1818,2782,1484,2850,2127,2087,1142,1775,3406,1679,3225,533,1364,2591,3557,1867,0,1737,0,0,6093,5140,2550,0,0,0,5697,4862,0,0,0,0,4421,2914,0,0,0,1756,3995,9659,4423,1740,2125.571429
이동저수지,경기도 ,처인구,0,0,391,0,0,0,0,0,5435,3918,0,0,0,0,366,1249,0,0,0,0,266,1232,545,0,0,0,579,1127,0,0,0,0,1093,631,0,0,0,0,529,270,0,0,419.7857143
고삼저수지,경기도 ,안성시,0,0,347,0,0,0,0,0,2722,1343,0,0,0,0,1658,913,0,0,0,0,1270,859,1357,0,0,0,1778,1285,0,0,0,0,2689,1561,0,0,0,0,1395,1687,0,0,496.7619048
청미천,경기도 ,이천시,919,2413,1029,2267,3000,1432,459,3885,678,1001,1045,685,773,960,1161,1768,1820,1282,2015,1223,1779,8242,4267,2837,2374,2528,5322,4623,4973,2664,2448,3080,7489,9827,2284,1826,2976,6159,4796,6463,5874,2196,2972.428571
풍서천,충청남도,천안시,318,365,170,440,739,347,273,539,335,624,1029,933,636,820,525,389,997,550,294,727,997,2316,1132,669,103,596,300,646,483,392,327,479,292,356,319,699,303,187,262,318,188,222,538.952381
곡교천,충청남도,아산시,1816,2389,746,2029,2035,771,908,829,561,2475,3012,2650,1106,3259,2546,9314,1789,1523,1354,2122,9675,6683,2631,1986,519,1764,5843,3560,3654,2332,684,1934,2626,2284,1502,1045,730,970,1130,3008,2171,828,2399.833333
봉강천,전라남도 ,보성군,187,451,300,1065,1543,1611,433,518,499,1244,1328,1312,350,659,1076,1309,2578,369,346,815,922,2198,1169,742,72,885,561,382,828,437,223,474,354,561,1076,472,208,312,354,563,614,362,756.2380952
"남양만(장안면, 우정면)",경기도 ,화성시,25417,46760,29845,8691,55097,32741,13676,46379,98941,25390,19030,18040,22611,51847,14004,14454,12957,13394,19107,17414,14729,17663,14529,23275,8671,24680,11717,6166,0,0,0,0,25358,31544,0,0,0,59630,29191,6374,12783,15692,21138.02381
남양호,경기도 ,평택시,3056,4252,3226,17015,1580,5012,7820,5984,15952,13717,7117,3968,2419,3460,3831,11537,5854,3025,2552,2864,5607,9581,2272,1592,2192,5228,6010,12978,12344,4212,4133,6122,9541,5267,7212,3582,1864,7827,5651,5703,10311,3151,6110.02381
아산만,충청남도,아산시,13270,10338,5371,5154,5125,3278,13522,9138,9251,9690,4657,6460,10647,6660,5631,12742,3386,3256,0,0,6593,3924,3324,0,0,0,14748,9678,0,0,0,0,6487,10665,0,0,0,0,27730,18467,0,0,5695.047619
아산만,경기도 ,평택시,13270,10338,5371,5154,5125,3278,13522,9138,9251,9690,4657,6460,10647,6660,5631,12742,3386,3256,0,0,6593,3924,3324,0,0,0,14748,9678,0,0,0,0,6487,10665,0,0,0,0,27730,18467,0,0,5695.047619
아산호,경기도 ,평택시,2167,6496,8066,6047,3090,273527,1711,3922,5238,3906,6540,6092,1607,6491,8531,7981,3082,3292,2140,4306,7226,7090,10208,2852,2546,7062,10579,12849,7008,4610,1778,12983,9408,6628,10122,5464,3222,13178,7721,5690,8038,3406,12473.80952
아산호,충청남도,아산시,2167,6496,8066,6047,3090,273527,1711,3922,5238,3906,6540,6092,1607,6491,8531,7981,3082,3292,2140,4306,7226,7090,10208,2852,2546,7062,10579,12849,7008,4610,1778,12983,9408,6628,10122,5464,3222,13178,7721,5690,8038,3406,12473.80952
삽교호,충청남도,아산시,616,5983,29644,13962,37620,44625,956,3908,53579,50315,24909,2506,1978,10120,27474,14396,15812,9678,1204,12276,41519,11700,7413,6219,2569,14209,20933,17914,18097,22129,3839,10409,24978,14463,7618,28389,2770,9900,16897,8819,10110,3999,15867.95238
예당저수지,충청남도,예산군,147,1599,9231,4546,4296,1841,786,4534,18339,14285,9095,3736,723,1735,1795,4270,6464,1309,160,959,2405,2444,2036,803,635,2060,2756,1119,1879,836,138,3894,3633,1846,71735,1540,586,2962,1583,702,101233,931,7085.857143
석문간척지,충청남도,당진시,27766,34076,6960,4555,3097,3232,10065,27436,15026,4563,3630,1859,4512,30444,18997,9145,4767,1602,14808,12474,17550,7046,3780,2255,8147,17285,13201,5536,5661,3207,4903,13724,9969,7289,6281,1476,7670,10983,10442,5225,5749,1918,9721.690476
대호,충청남도,당진시,732,1198,5720,5710,4099,2583,12242,5982,25341,6582,7165,1560,3488,20457,25426,9218,8345,2082,13937,18544,15776,11048,1391,7301,12694,17355,16153,7263,7484,2835,7011,10512,17203,4593,4438,3189,7986,9033,10096,5334,3418,1145,8658.785714
가로림만,충청남도,태안군,413,1634,8599,11452,2412,627,403,371,12269,19001,3242,1926,893,5207,15764,10601,3315,1807,0,0,8949,11566,8096,0,0,0,16542,11376,0,0,0,0,17001,6629,0,0,0,15622,11019,9700,10524,6438,5557.095238
태안군 이원면 해안,충청남도,태안군,18824,4041,5361,27557,16183,4960,1593,2274,5143,19920,11242,2418,1926,19867,14897,9285,20696,932,0,0,7201,24377,6759,0,0,0,12930,10751,0,0,0,0,17409,20772,0,0,0,16567,13050,8267,7006,1985,7956.97619
태안군 근흥면 해안,충청남도,태안군,1840,2011,10904,13598,3244,5416,2160,2912,2625,5525,6158,3659,2362,4873,15382,7046,0,3112,0,0,19271,9360,12446,0,0,0,12099,5937,0,0,0,0,7649,9124,0,0,0,6415,11548,8654,7443,3687,4915.714286
수룡저수지,충청남도,태안군,0,0,3412,0,0,0,0,0,1070,2682,0,0,0,0,3633,796,0,0,0,0,1600,3401,2468,0,0,0,2745,2215,0,0,0,0,1828,448,0,0,0,0,3828,5031,0,0,837.0714286
태안군 남면 해안,충청남도,태안군,0,0,1023,0,0,0,0,0,2155,3061,0,0,0,0,4839,3153,0,0,0,0,3807,1605,2107,0,0,0,1099,1835,0,0,0,0,1305,2791,0,0,0,0,2341,2812,0,0,807.9285714
안면도,충청남도,태안군,0,0,1454,0,0,0,0,0,1250,2826,0,0,0,0,1785,954,0,0,0,0,2656,1295,1068,0,0,0,2390,714,0,0,0,0,1739,2318,0,0,0,0,4161,3232,0,0,662.9047619
대청호,충청북도,청주시,0,0,2751,0,0,0,0,0,2892,2364,0,0,0,0,1834,2372,0,0,0,0,2708,3999,2957,0,0,0,2555,2911,0,0,0,0,2469,3211,0,0,0,0,1316,2191,0,0,869.7619048
백곡지,충청북도,진천군,0,0,521,0,0,0,0,0,1223,2154,0,0,0,0,383,608,0,0,0,0,301,55,315,0,0,0,447,912,0,0,0,0,415,985,0,0,0,836,198,466,220,228,244.452381
초평지,경상북도,영천시,0,0,561,0,0,0,0,0,915,3202,0,0,0,0,488,875,0,0,0,0,167,672,20,0,0,0,223,564,0,0,0,0,700,1035,0,0,0,0,312,234,0,0,237.3333333
괴산호,충청북도,괴산군,0,0,34,0,0,0,0,0,50,119,0,0,0,0,32,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.428571429
충주호,충청북도,충주시,0,0,4803,0,0,0,0,0,5433,6754,0,0,0,0,3895,4432,0,0,0,0,5171,4012,7683,0,0,0,7114,7159,0,0,0,0,8085,6294,0,0,0,6688,5367,8918,6419,4031,2434.714286
간월호,충청남도,서산시,118590,160689,35568,16210,10209,8974,60106,113905,31321,12902,17022,13240,72658,68247,13434,8214,18753,16734,40334,59603,8155,16509,9028,25504,112682,84991,16241,7186,8876,9391,184655,48610,15746,12078,12356,9843,200947,113557,23397,8434,18100,18503,44321.47619
부남호,충청남도,서산시,64287,45018,57356,26188,13649,9707,39339,46876,38695,17252,18709,7033,50255,127949,10949,9365,22659,9957,49460,12150,17117,28509,10825,11854,37195,46306,25967,13948,8796,7491,23734,24796,20569,25294,13247,9296,45448,39674,16251,7947,11479,6096,26873.61905
미호천,충청북도,음성군,1255,2851,5521,5194,3397,2420,341,1266,3074,4238,5205,3053,1655,1774,3222,3947,9273,4113,2944,2880,1696,1969,2237,698,3036,1714,1953,2618,3280,1480,837,2222,3698,3202,2271,1013,1139,3948,3869,4042,2103,1403,2810.738095
금강상류,전라북도,장수군,0,0,2546,0,0,0,0,0,3964,4168,0,0,0,0,2560,1595,0,0,0,0,2453,2007,2062,0,0,0,2553,2336,0,0,0,0,4047,4635,0,0,0,0,2910,2787,0,0,967.2142857
금강중류(황산대교-청벽대교),충청남도,논산시,0,0,6242,0,0,0,0,0,4958,7637,0,0,0,0,4078,6151,0,0,266,1244,3373,6695,4004,1861,1047,3080,4813,5890,5727,19286,851,2420,6546,7706,6106,7562,3016,4643,3903,4832,55205,2047,4552.119048
금강중류(황산대교-청벽대교),세종특별자치시,장군면,0,0,6242,0,0,0,0,0,4958,7637,0,0,0,0,4078,6151,0,0,266,1244,3373,6695,4004,1861,1047,3080,4813,5890,5727,19286,851,2420,6546,7706,6106,7562,3016,4643,3903,4832,55205,2047,4552.119048
잠홍저수지,세종특별자치시,장군면,0,0,1149,0,0,0,0,0,935,1362,0,0,0,0,2238,2175,1024,1156,270,1515,2279,1395,748,822,258,560,1777,5184,3294,810,353,895,1987,2850,2489,863,369,741,9904,3406,1496,734,1310.428571
성암저수지,충청남도,서산시,0,0,2515,0,0,0,0,0,2911,5422,0,0,0,0,9963,2242,2576,1292,268,1472,11082,11970,4103,1601,403,1122,6369,4464,2691,1217,408,1373,2123,3680,4790,3046,459,0,2421,4128,0,0,2288.357143
인평저수지,충청남도,서산시,0,0,2137,0,0,0,0,0,589,1385,0,0,0,0,2782,1222,777,411,0,0,1829,1759,1058,0,0,0,6005,2715,0,0,0,0,3584,2383,0,0,0,0,3131,3004,0,0,827.8809524
풍전저수지,충청남도,태안군,0,0,2969,0,0,0,0,0,3553,4075,0,0,0,0,1507,1962,2208,988,261,915,1529,1317,975,1070,247,686,1026,1332,1326,828,426,1458,2017,1362,2736,2834,390,0,3285,1829,0,0,1074.071429
탑정저수지,충청남도,논산시,0,0,6344,0,0,0,0,0,17444,11164,0,0,0,0,2803,2701,2318,0,0,0,3168,4169,1205,0,0,0,2928,2319,0,0,0,0,5663,4845,0,0,0,0,2256,1313,0,0,1681.904762
경천저수지,전라북도,완주군,0,0,1703,0,0,0,0,0,1450,2440,0,0,0,0,1436,2536,0,0,0,0,2016,1391,1565,0,0,0,519,896,0,0,0,0,823,1240,0,0,0,0,408,354,0,0,447.0714286
장항 해안,충청남도,서천군,2085,8512,3938,12701,34815,7496,1638,2903,3762,7740,10075,11684,4348,6559,14822,10612,3290,8969,0,0,9432,12537,18827,0,0,0,10354,16989,0,0,0,0,18951,20399,0,0,0,13860,19812,33089,27047,22690,9046.095238
봉선저수지,충청남도,서천군,616,2891,1348,4147,9208,4766,728,1232,5385,3618,3311,4320,82,1585,6907,6400,1316,1273,285,703,4952,3641,5464,410,165,1029,3946,5115,1220,358,153,515,6838,6560,9520,12695,265,1466,6305,5940,10522,2236,3558
부사간척지,충청남도,서천군,0,0,4287,0,0,0,0,0,1317,1152,0,0,0,0,1322,3414,5598,0,0,0,4045,7786,3072,0,0,0,1483,736,0,0,0,0,7542,1408,0,0,0,0,9284,1771,0,0,1290.880952
유부도,충청남도,서천군,8187,7872,11993,7981,8450,15308,21128,4821,11798,10154,9474,6222,24767,8972,5209,4474,11314,7948,0,0,8794,7996,7814,0,0,0,22720,20448,0,0,0,0,8233,11180,0,0,0,23915,19039,10847,7236,11931,8243.452381
금강하구,충청남도,서천군,4948,13798,23526,21513,18353,12069,4736,8263,16542,21983,28898,6540,1907,5880,6602,8232,310364,4159,0,0,8703,7643,7439,0,0,0,14283,12633,0,0,0,0,11746,11521,0,0,0,15525,10509,8197,4272,6606,15175.95238
금강호,충청남도,서천군,4303,6677,8906,108644,61457,40420,1529,6298,4849,39442,179736,30729,1166,7287,7732,210375,0,10866,866,5962,8761,10855,10394,38634,838,5764,11293,355499,283274,8086,755,9454,308359,408659,4575,4576,1297,3979,31510,178023,5628,1660,57836.11905
만경강,전라북도,익산시,58573,62256,24755,39409,16671,9405,8776,25574,15675,11352,6861,4154,8783,4804,3634,9360,6815,7701,4337,7166,9462,27328,9947,1692,17281,8477,12653,8110,7159,6175,12292,14428,7189,9284,5493,9025,31953,25002,26655,64426,26190,12417,16397.59524
옥구저수지,전라북도,군산시,0,0,1594,0,0,0,0,0,3071,2587,0,0,0,0,1779,1697,1557,437,0,0,3163,1529,1517,0,0,0,3560,3227,0,0,0,0,5694,715,0,0,0,0,4232,3230,0,0,942.5952381
옥려저수지,전라북도,군산시,0,0,1711,0,0,0,0,0,4102,3641,0,0,0,0,7094,778,1607,628,0,0,351,576,970,0,0,0,1637,1109,0,0,0,0,2306,793,0,0,0,0,3558,730,0,0,752.1666667
만경강 중류,전라북도,정읍시,853,9448,5793,14942,14311,5757,2517,38497,19091,23325,20549,15347,2794,12845,15216,14428,14647,7684,2386,12073,15492,27562,16754,4008,3360,5654,28626,18995,14008,6940,2119,10341,16412,23826,10761,9197,2091,12828,29673,44217,7356,2260,13451.97619
동진강,전라북도,정읍시,7575,70529,2096,869,3708,2935,2462,4933,3192,1161,4671,2222,3683,13380,10359,8282,2827,12070,1918,4660,8668,5589,6647,7869,3240,5075,4921,4267,27005,3733,1633,2962,36105,10505,2520,5358,6824,14563,21513,29004,7384,7528,9201.071429
청호저수지,전라북도,부안군,0,0,654,0,0,0,0,0,729,2121,0,0,0,0,1114,1363,1642,0,0,0,1727,1262,117,0,0,0,1839,2769,0,0,0,0,4672,6750,0,0,0,0,4239,2610,0,0,800.1904762
조류지,전라북도,부안군,0,0,85,0,0,0,0,0,135,149,0,0,0,0,1021,335,0,0,0,0,492,1570,579,0,0,0,441,435,0,0,0,0,539,715,0,0,0,380,299,12445,487,657,494.3809524
능제,전라북도,김제시,0,0,936,0,0,0,0,0,225,1359,0,0,0,0,469,417,416,0,0,0,1086,681,665,0,0,0,1099,703,0,0,0,0,621,997,0,0,0,0,622,658,0,0,260.8095238
백산저수지,전라북도,김제시,0,0,1820,0,0,0,0,0,3932,2059,0,0,0,0,2027,546,1489,0,0,0,1503,2075,584,0,0,0,927,3261,0,0,0,0,3411,2391,0,0,0,0,814,1040,0,0,663.7857143
고마제,전라북도,부안군,0,0,390,0,0,0,0,0,232,1155,0,0,0,0,385,336,3642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.1904762
장성호,전라북도,장성군,0,0,298,0,0,0,0,0,455,1067,0,0,0,0,672,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0952381
옥정호,전라북도,임실군,0,0,1294,0,0,0,0,0,1323,1285,0,0,0,0,1290,1151,0,0,0,0,526,832,901,0,0,0,502,640,0,0,0,0,543,2221,0,0,0,0,480,873,0,0,330.0238095
담양호,전라북도,담양군,0,0,163,0,0,0,0,0,166,533,0,0,0,0,425,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.21428571
영산강 상류(승촌보 상류-담양호 하류),광주광역시,남구,0,0,2123,0,0,0,0,0,2176,5278,0,0,0,0,3106,3376,0,0,0,0,8628,10984,9934,0,0,0,3890,5324,0,0,0,0,2258,2173,0,0,0,3759,2655,3493,2658,1676,1749.785714
동복호,전라남도 ,화순군,0,0,302,0,0,0,0,0,636,465,0,0,0,0,354,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.80952381
