주소,축종,진단일,발생일,지역코드,사육수,location,date,avg_temperature(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%)
경기도 여주시 가남읍 은봉리,닭-산란계,20201207,20201206,203,193000,이천,20201206,2.1,0.0,0.9,76.9
경기도 여주시 가남읍 하귀리,닭-산란계,20150121,20150114,203,300000,이천,20150114,0.3,0.0,0.5,56.1
경기도 여주시 가남읍 하귀리,닭-산란계,20161218,20161213,203,409447,이천,20161213,2.2,0.0,1.0,64.1
경기도 여주시 능서면 광대리,닭-산란계,20110223,20110223,203,30000,이천,20110223,4.4,0.0,1.1,60.5
경기도 여주시 능서면 광대리,오리-종오리,20150202,20150123,203,41200,이천,20150123,-1.2,0.0,0.6,81.4
경기도 여주시 능서면 광대리,오리-종오리,20161214,20161209,203,29386,이천,20161209,2.1,1.4,1.7,64.5
경기도 여주시 능서면 마래리,닭-산란계,20161210,20161207,203,208100,이천,20161207,-1.9,0.1,0.7,71.0
경기도 여주시 능서면 마래리,닭-산란계,20201229,20201228,203,208300,이천,20201228,4.0,0.0,0.5,74.5
경기도 여주시 능서면 마래리,닭-육계,20161230,20161226,203,55000,이천,20161226,1.7,1.1,0.6,84.9
경기도 여주시 능서면 마래리,메추리-비분류,20170101,20161224,203,100000,이천,20161224,-2.1,0.0,0.9,64.5
경기도 여주시 능서면 용은리,닭-산란계,20161220,20161218,203,48000,이천,20161218,1.9,0.0,0.7,76.3
경기도 여주시 점동면 당진리,닭-산란계,20201222,20201221,203,153600,이천,20201221,-3.8,0.0,0.6,72.9
경기도 여주시 흥천면 율극리,닭-산란계,20161228,20161223,203,120417,이천,20161223,-0.5,0.5,2.6,66.1
경기도 여주시 흥천면 율극리,닭-산란계,20161228,20161224,203,250000,이천,20161224,-2.1,0.0,0.9,64.5
경기도 연천군 미산면 백석리,닭-산란계,20110524,20110524,98,16000,동두천,20110524,19.7,0.0,0.7,46.5
경기도 연천군 연천읍 상리,닭-산란계,20170118,20170112,98,9874,동두천,20170112,-3.2,0.0,2.4,44.4
경기도 용인시 처인구 백암면 박곡리,닭-산란계,20110306,20110306,203,200000,이천,20110306,2.9,0.0,1.4,69.3
경기도 용인시 처인구 백암면 박곡리,닭-산란계,20161214,20161209,203,196000,이천,20161209,2.1,1.4,1.7,64.5
경기도 용인시 처인구 백암면 석천리,닭-산란계,20161218,20161213,203,313000,이천,20161213,2.2,0.0,1.0,64.1
경기도 용인시 처인구 백암면 옥산리,닭-산란계,20161218,20161213,203,240000,이천,20161213,2.2,0.0,1.0,64.1
경기도 용인시 처인구 백암면 옥산리,닭-산란계,20210119,20210118,203,188000,이천,20210118,-3.6,1.3,1.8,72.0
경기도 용인시 처인구 백암면 장평리,닭-산란계,20210201,20210129,203,19000,이천,20210129,-7.5,0.0,2.4,37.0
경기도 용인시 처인구 원삼면 문촌리,오리-종오리,20201223,20201220,203,6000,이천,20201220,-5.1,0.0,0.9,60.1
경기도 의정부시 용현동,닭-토종닭,20150420,20150416,98,48,동두천,20150416,10.4,3.9,3.1,62.0
경기도 이천시 대월면 대대리,오리-육용오리,20161216,20161211,203,5500,이천,20161211,-2.9,0.0,0.8,57.8
경기도 이천시 대월면 대흥리,닭-산란계,20161216,20161211,203,54000,이천,20161211,-2.9,0.0,0.8,57.8
경기도 이천시 대월면 초지리,닭-산란계,20161207,20161203,203,360000,이천,20161203,1.3,0.0,0.7,63.4
경기도 이천시 마장면 이치리,오리-종오리,20160323,20160323,203,10907,이천,20160323,7.6,0.0,1.8,53.4
경기도 이천시 모가면 원두리,오리-육용오리,20161207,20161201,203,18600,이천,20161201,4.8,0.0,2.4,48.6
경기도 이천시 백사면 도립리,닭-산란계,20210214,20210213,203,119000,이천,20210213,5.0,0.0,0.5,58.4
경기도 이천시 부발읍 가산리,닭-산란계,20161129,20161127,203,200000,이천,20161127,1.6,0.0,0.6,88.6
경기도 이천시 부발읍 가산리,닭-산란계,20210214,20210213,203,241000,이천,20210213,5.0,0.0,0.5,58.4
경기도 이천시 설성면 상봉리,닭-종계,20110217,20110217,203,21000,이천,20110217,0.3,1.3,1.4,77.5
경기도 이천시 설성면 신필리,닭-산란계,20161209,20161204,203,10000,이천,20161204,1.6,0.0,0.5,74.1
경기도 이천시 설성면 신필리,닭-토종닭,20161218,20161214,203,27300,이천,20161214,-0.5,0.7,1.5,75.8
경기도 이천시 설성면 신필리,오리-육용오리,20161203,20161130,203,3000,이천,20161130,4.4,0.4,0.9,66.4
경기도 이천시 설성면 암산리,닭-토종닭,20161210,20161205,203,23000,이천,20161205,5.5,0.1,1.7,65.9
경기도 이천시 설성면 장능리,닭-산란계,20161209,20161204,203,95000,이천,20161204,1.6,0.0,0.5,74.1
경기도 이천시 설성면 장능리,닭-토종닭,20110121,20110121,203,26500,이천,20110121,-8.5,0.0,1.3,60.0
경기도 이천시 설성면 장천리,닭-산란계,20150225,20150210,203,156704,이천,20150210,2.0,0.0,2.1,59.0
경기도 이천시 설성면 장천리,닭-산란계,20161129,20161125,203,160000,이천,20161125,-1.5,0.0,0.9,60.5
경기도 이천시 설성면 장천리,닭-산란계,20210202,20210201,203,146000,이천,20210201,4.3,3.2,1.3,85.1
경기도 이천시 설성면 장천리,오리-종오리,20110122,20110122,203,8300,이천,20110122,-6.0,0.0,1.0,68.5
경기도 이천시 설성면 행죽리,닭-종계,20110114,20110114,203,16000,이천,20110114,-7.1,1.6,0.7,69.9
경기도 이천시 설성면 행죽리,닭-종계,20161207,20161202,203,60000,이천,20161202,0.3,0.0,1.1,47.9
경기도 이천시 율면 본죽리,닭-산란계,20140422,20140420,203,90000,이천,20140420,13.7,0.0,1.8,44.9
경기도 이천시 율면 본죽리,닭-산란계,20161214,20161208,203,75500,이천,20161208,-1.5,1.7,0.5,85.6
경기도 이천시 율면 석산리,메추리-비분류,20140508,20140430,203,430000,이천,20140430,16.0,0.0,1.4,56.8
경기도 이천시 율면 석산리,메추리-비분류,20161206,20161203,203,620000,이천,20161203,1.3,0.0,0.7,63.4
경기도 이천시 율면 신추리,닭-산란계,20031225,20031225,203,87456,이천,20031225,0.0,0.0,1.6,66.1
경기도 이천시 율면 신추리,닭-산란계,20161220,20161215,203,47060,이천,20161215,-2.8,0.0,2.0,42.4
경기도 이천시 율면 신추리,닭-산란계,20210130,20210129,203,50000,이천,20210129,-7.5,0.0,2.4,37.0
경기도 이천시 율면 월포리,닭-육계,20161220,20161214,203,71700,이천,20161214,-0.5,0.7,1.5,75.8
경기도 이천시 장호원읍 나래리,닭-산란계,20150126,20150121,203,289800,이천,20150121,1.1,4.1,0.5,69.0
경기도 이천시 장호원읍 나래리,닭-산란계,20161224,20161218,203,278100,이천,20161218,1.9,0.0,0.7,76.3
경기도 이천시 장호원읍 나래리,닭-산란계,20210122,20210121,203,478000,이천,20210121,1.8,5.8,0.4,75.9
경기도 이천시 장호원읍 선읍리,닭-산란계,20161216,20161210,203,18000,이천,20161210,-1.4,0.0,1.1,52.8
경기도 이천시 장호원읍 선읍리,메추리-비분류,20161224,20161218,203,164482,이천,20161218,1.9,0.0,0.7,76.3
경기도 이천시 장호원읍 어석리,닭-종계,20210223,20210222,203,87900,이천,20210222,7.9,0.0,1.8,58.1
경기도 이천시 장호원읍 와현리,닭-산란계,20161230,20161225,203,14860,이천,20161225,-0.6,0.0,0.6,78.0
경기도 이천시 장호원읍 와현리,닭-종계,20161220,20161216,203,25506,이천,20161216,-4.6,0.0,1.4,44.9
경기도 이천시 장호원읍 와현리,닭-종계,20210127,20210126,203,24000,이천,20210126,3.6,3.3,0.7,91.1
경기도 이천시 장호원읍 와현리,닭-종계,20210128,20210127,203,22200,이천,20210127,2.3,0.0,1.3,54.1
경기도 이천시 장호원읍 진암리,닭-산란계,20161214,20161209,203,25000,이천,20161209,2.1,1.4,1.7,64.5
경기도 파주시 광탄면 창만리,닭-산란계,20110118,20110118,99,7000,파주,20110118,-11.6,0.0,0.8,64.4
경기도 파주시 법원읍 갈곡리,닭-일괄,20170606,20170603,99,1600,파주,20170603,19.0,0.0,1.5,48.0
경기도 파주시 적성면 어유지리,닭-산란계,20210127,20210126,99,130000,파주,20210126,2.0,0.8,0.9,90.5
경기도 평택시 고덕면 동고리,닭-산란계,20161222,20161216,232,620000,천안,20161216,-4.4,0.0,1.3,58.4
경기도 평택시 고덕면 동고리,닭-산란계,20210216,20210215,232,370000,천안,20210215,1.8,1.3,3.5,73.8
경기도 평택시 고덕면 두릉리,오리-산란오리,20161201,20161128,232,4500,천안,20161128,2.3,0.0,1.5,63.6
경기도 평택시 고덕면 문곡리,오리-기타,20161220,20161216,232,11500,천안,20161216,-4.4,0.0,1.3,58.4
경기도 평택시 고덕면 율포리,닭-육계,20140304,20140228,232,7300,천안,20140228,6.2,0.0,1.9,70.8
경기도 평택시 서탄면 회화리,닭-산란계,20161216,20161211,232,121000,천안,20161211,-3.1,0.0,0.6,64.4
경기도 평택시 안중읍 성해리,닭-기타,20110207,20110207,232,35000,천안,20110207,1.5,0.0,1.8,70.4
경기도 평택시 오성면 길음리,닭-산란계,20161228,20161222,232,35000,천안,20161222,7.5,11.0,3.3,85.5
경기도 평택시 오성면 안화리,닭-비분류,20161226,20161220,232,72962,천안,20161220,5.4,0.0,0.6,86.3
경기도 평택시 오성면 양교리,닭-산란계,20180318,20180316,232,486000,천안,20180316,5.5,0.1,3.5,67.6
경기도 평택시 청북면 고잔리,닭-산란계,20140312,20140306,232,110,천안,20140306,1.3,0.0,2.9,40.8
경기도 평택시 청북면 고잔리,닭-산란계,20161207,20161203,232,570100,천안,20161203,1.4,0.0,0.5,72.0
경기도 평택시 청북면 삼계리,닭-종계,20161220,20161215,232,25113,천안,20161215,-2.2,0.0,2.1,46.6
경기도 평택시 청북면 현곡리,꿩,20110125,20110125,232,2000,천안,20110125,-9.0,0.0,1.2,76.5
경기도 평택시 청북읍 고잔리,닭-산란계,20180128,20180127,232,143000,천안,20180127,-10.4,0.0,1.1,53.0
경기도 평택시 청북읍 고잔리,닭-산란계,20201229,20201228,232,26500,천안,20201228,3.3,0.0,0.5,82.6
경기도 평택시 청북읍 한산리,닭-종계,20161218,20161211,232,20000,천안,20161211,-3.1,0.0,0.6,64.4
경기도 평택시 팽성읍 대사리,닭-산란계,20161224,20161222,232,370000,천안,20161222,7.5,11.0,3.3,85.5
경기도 평택시 팽성읍 대사리,닭-산란계,20210211,20210209,129,239200,서산,20210209,-1.6,0.0,1.2,61.8
경기도 평택시 팽성읍 대사리,닭-종계,20110125,20110125,232,25000,천안,20110125,-9.0,0.0,1.2,76.5
경기도 평택시 팽성읍 대사리,오리-종오리,20140225,20140223,232,18600,천안,20140223,1.6,0.0,1.1,64.5
경기도 평택시 팽성읍 대사리,오리-종오리,20161216,20161210,232,12800,천안,20161210,-1.7,0.0,0.9,60.4
경기도 평택시 포승면 석정리,닭-산란계,20080414,20080414,232,22597,천안,20080414,11.0,0.0,1.6,61.4
경기도 평택시 포승면 석정리,닭-산란계,20080416,20080416,232,22597,천안,20080416,15.1,0.0,1.4,57.8
경기도 평택시 포승읍 도곡리,닭-종계,20161230,20161225,232,25000,천안,20161225,-0.4,0.0,0.5,83.9
경기도 평택시 포승읍 석정리,오리-육용오리,20161228,20161223,232,10000,천안,20161223,-0.3,2.3,2.6,82.3
경기도 평택시 포승읍 홍원리,닭-산란계,20161224,20161218,232,66000,천안,20161218,2.0,0.0,0.7,82.3
경기도 포천시 관인면 사정리,닭-종계,20161222,20161217,98,38496,동두천,20161217,2.5,0.0,1.0,59.1
경기도 포천시 관인면 탄동리,닭-산란계,20161209,20161203,98,160000,동두천,20161203,3.7,0.0,0.9,62.6
경기도 포천시 선단동,닭-산란계,20210113,20210112,98,180000,동두천,20210112,-6.6,1.9,1.0,85.5
경기도 포천시 신북면 삼성당리,닭-산란계,20210127,20210126,98,39000,동두천,20210126,3.5,0.8,1.2,87.1
경기도 포천시 영북면 문암리,닭-산란계,20161216,20161210,98,30000,동두천,20161210,-2.2,0.0,1.4,49.5
경기도 포천시 영북면 야미리,닭-산란계,20161209,20161204,98,188000,동두천,20161204,3.9,0.0,0.7,69.9
경기도 포천시 영북면 야미리,닭-산란계,20161216,20161210,98,50000,동두천,20161210,-2.2,0.0,1.4,49.5
경기도 포천시 영북면 야미리,닭-산란계,20161220,20161210,98,25926,동두천,20161210,-2.2,0.0,1.4,49.5
경기도 포천시 영북면 야미리,닭-산란계,20161220,20161213,98,37000,동두천,20161213,2.6,0.0,1.7,58.1
경기도 포천시 영북면 야미리,닭-산란계,20161222,20161216,98,11000,동두천,20161216,-5.3,0.0,1.2,46.1
경기도 포천시 영북면 자일리,고양이-코리아숏헤어,20161231,20161226,98,14,동두천,20161226,1.5,0.0,0.9,74.6
경기도 포천시 영북면 자일리,고양이-코리아숏헤어,20170102,20161230,98,7,동두천,20161230,-4.3,0.0,0.9,54.4
경기도 포천시 영북면 자일리,닭-산란계,20161125,20161122,98,299000,동두천,20161122,2.3,0.0,2.9,40.0
경기도 포천시 영북면 자일리,닭-산란계,20161207,20161202,98,120224,동두천,20161202,0.9,0.0,1.1,50.3
경기도 포천시 영북면 자일리,닭-산란계,20161209,20161202,98,37000,동두천,20161202,0.9,0.0,1.1,50.3
경기도 포천시 영북면 자일리,닭-산란계,20161209,20161204,98,54030,동두천,20161204,3.9,0.0,0.7,69.9
경기도 포천시 영북면 자일리,닭-산란계,20161210,20161205,98,71200,동두천,20161205,5.8,0.2,2.4,64.8
경기도 포천시 영북면 자일리,닭-산란계,20161210,20161206,98,68014,동두천,20161206,-1.4,0.0,1.7,35.6
경기도 포천시 영북면 자일리,닭-산란계,20180104,20180103,98,198400,동두천,20180103,-5.4,0.0,1.5,42.9
경기도 포천시 영중면 거사리,닭-산란계,20150126,20150122,98,134000,동두천,20150122,1.7,0.0,1.9,63.6
경기도 포천시 영중면 거사리,닭-산란계,20210227,20210226,98,189738,동두천,20210226,4.8,0.0,1.6,48.0
경기도 포천시 영중면 성동리,닭-산란계,20161222,20161216,98,43000,동두천,20161216,-5.3,0.0,1.2,46.1
경기도 포천시 이동면 노곡리,닭-산란계,20170127,20170124,98,106503,동두천,20170124,-8.1,0.0,1.1,51.6
경기도 포천시 일동면 길명리,닭-토종닭,20150428,20150424,98,1135,동두천,20150424,15.3,0.0,2.1,37.4
