시도,시군구,year,cnt,강원도  강릉시,강원도  고성군,강원도  동해시,강원도  삼척시,강원도  속초시,강원도  양양군,강원도  원주시,강원도  철원군,강원도  춘천시,강원도  화천군,강원도  횡성군,경기도  가평군,경기도  광주시,경기도  김포시,경기도  남양주시,경기도  동두천시,경기도  수원시,경기도  시흥시,경기도  안산시,경기도  안성시,경기도  양평군,경기도  여주시,경기도  연천군,경기도  용인시,경기도  의왕시,경기도  이천시,경기도  처인구,경기도  파주시,경기도  평택시,경기도  포천시,경기도  화성시,경상남도 거제시,경상남도 고성군,경상남도 김해시,경상남도 남해군,경상남도 밀양시,경상남도 사천시,경상남도 양산시,경상남도 진주시,경상남도 창녕군,경상남도 창원시,경상남도 합천군,경상북도 경주시,경상북도 구미시,경상북도 김천시,경상북도 봉화군,경상북도 안동시,경상북도 영덕군,경상북도 영천시,경상북도 예천군,경상북도 울진군,경상북도 의성군,경상북도 포항시,광주광역시 광산구,광주광역시 남구,광주광역시 서구,대구광역시 달성군,부산광역시 강서구,부산광역시 남구,부산광역시 사하구,서울특별시 강남구,서울특별시 마포구,서울특별시 성동구,서울특별시 송파구,서울특별시 영등포구,서울특별시 중랑구,세종특별자치시 세종시,울산광역시 남구,울산광역시 북구,울산광역시 울주군,울산광역시 중구,인천광역시 강화군,인천광역시 서구,인천광역시 연수구,인천광역시 중구,전라남도 강진군,전라남도 고흥군,전라남도 광양시,전라남도 담양군,전라남도 보성군,전라남도 순천시,전라남도 여수시,전라남도 완도군,전라남도 장성군,전라남도 장흥군,전라남도 해남군,전라남도  나주시,전라남도  목포시,전라남도  무안군,전라남도  보성군,전라남도  순천시,전라남도  신안군,전라남도  영광군,전라남도  영암군,전라남도  진도군,전라남도  함평군,전라남도  해남군,전라남도  화순군,전라북도 고창군,전라북도 군산시,전라북도 김제시,전라북도 부안군,전라북도 완주군,전라북도 익산시,전라북도 임실군,전라북도 장수군,전라북도 전주시,전라북도 정읍시,전라북도  부안군,제주특별자치도 서귀포시,제주특별자치도 제주시,충청남도 논산시,충청남도 당진시,충청남도 보령시,충청남도 서산시,충청남도 서천군,충청남도 아산시,충청남도 예산군,충청남도 천안시,충청남도 태안군,충청북도 괴산군,충청북도 음성군,충청북도 증평군,충청북도 진천군,충청북도 청주시,충청북도 충주시
경상남도,고성군,2016,2,312.97,379.12,292.48,285.6,360.42,345.99,265.87,364.22,327.7,352.67,281.7,326.05,289.43,327.18,312.23,344.84,279.93,300.38,293.5,244.94,289.9,265.77,364.77,272.36,290.39,267.79,270.85,339.27,249.51,340.03,281.48,29.13,0.0,58.89,41.98,70.49,23.78,76.46,30.21,65.4,43.28,67.51,127.8,127.5,131.09,216.67,181.16,185.95,124.43,186.41,244.66,157.1,148.56,140.36,130.46,131.84,89.67,65.52,71.69,61.18,305.12,315.22,310.22,302.91,311.38,312.85,191.78,111.36,116.15,103.47,113.19,349.38,321.86,308.53,317.15,146.67,104.0,57.2,127.32,115.52,76.13,64.69,161.18,144.5,133.18,163.53,146.87,176.93,167.69,115.52,76.13,180.42,168.07,149.5,195.75,164.75,163.53,122.07,155.95,181.22,160.0,166.99,147.58,164.41,118.03,104.43,142.42,148.73,166.99,250.73,232.28,174.56,261.16,216.18,262.73,192.16,234.42,231.95,231.95,268.55,210.46,226.01,212.27,224.02,200.26,227.21
경상남도,양산시,2016,1,269.16,342.42,243.58,235.44,321.82,306.99,244.57,348.34,306.23,330.11,257.64,309.29,282.28,327.68,303.23,335.68,279.96,302.88,296.43,243.91,277.02,251.78,353.39,269.64,290.31,258.87,267.73,336.7,252.6,328.47,286.51,63.15,76.46,17.91,117.94,32.34,95.86,0.0,86.15,54.6,34.4,83.04,60.38,107.35,122.3,175.4,139.92,123.67,71.52,155.54,187.22,117.24,80.92,204.92,195.2,196.04,73.44,14.6,22.48,26.25,300.94,313.11,305.62,297.63,309.94,306.61,202.48,35.25,40.24,27.88,37.35,351.77,324.06,312.79,321.37,220.69,179.9,129.62,185.9,188.86,147.28,140.54,237.42,204.4,207.17,237.78,214.41,247.63,235.45,188.86,147.28,250.69,229.24,221.15,269.93,230.98,237.78,188.76,212.0,219.43,201.88,213.11,180.96,199.9,161.4,141.59,179.3,199.29,213.11,324.55,307.4,198.94,275.74,245.13,282.95,227.41,244.18,247.56,238.67,291.99,199.31,215.61,207.68,222.01,201.35,209.43
부산광역시,기장군,2016,1,280.56,355.13,253.74,245.29,334.19,319.35,260.8,364.83,322.07,345.65,273.34,325.81,300.11,346.08,320.77,353.09,298.46,321.51,315.11,262.46,294.21,268.97,370.47,287.95,308.77,276.62,286.0,354.8,271.43,345.61,305.36,68.06,87.26,30.29,129.24,51.88,108.71,19.58,101.52,74.11,49.12,102.23,68.02,125.53,141.19,188.53,153.76,130.79,85.0,171.2,195.09,132.02,86.82,221.0,211.18,212.14,92.73,22.26,17.37,27.35,319.0,331.32,323.62,315.59,328.23,324.45,221.86,34.69,39.66,30.92,37.49,370.28,342.61,331.53,340.09,233.58,191.21,142.93,202.97,202.07,161.19,151.94,248.1,221.36,220.06,250.55,229.8,262.12,250.86,202.07,161.19,265.35,246.1,235.22,282.78,246.78,250.55,204.25,229.59,238.64,220.82,231.78,200.27,219.19,180.01,160.48,198.45,217.48,231.78,329.94,314.07,218.51,295.11,264.68,302.47,246.77,263.41,267.01,257.76,311.55,217.2,233.44,226.12,240.59,220.25,226.44
세종특별자치시,세종시,2016,17,199.46,235.53,199.36,198.48,223.88,212.84,111.0,185.32,160.6,184.54,128.32,151.5,105.58,136.09,128.66,159.56,90.12,109.0,102.08,58.68,113.84,96.07,180.73,85.19,100.28,89.01,84.21,149.31,59.07,157.49,89.76,214.74,191.78,200.41,190.61,170.23,178.47,202.48,162.29,150.11,187.46,128.58,187.07,102.69,82.99,136.62,129.05,185.81,158.31,104.18,196.55,126.76,191.19,155.65,153.83,152.03,129.14,207.63,220.26,215.65,117.29,125.57,122.51,116.15,121.45,126.42,0.0,211.03,211.35,205.45,209.81,157.7,130.36,116.79,125.39,209.79,208.57,175.09,131.72,190.96,171.02,194.19,246.03,138.69,202.98,221.03,171.02,202.46,181.0,190.96,171.02,201.78,151.01,194.35,240.34,172.04,221.03,159.79,127.61,75.55,83.72,97.09,65.02,66.22,95.91,94.94,74.06,108.48,97.09,364.88,338.57,36.8,73.26,62.72,82.18,69.64,42.91,45.54,40.39,93.28,57.93,62.4,42.77,43.7,25.35,80.27
인천광역시,서구,2016,1,195.03,182.48,215.0,219.84,183.54,180.59,112.12,87.21,99.96,110.03,115.6,79.95,52.69,8.52,48.67,52.26,44.2,21.52,28.37,80.15,71.83,89.21,70.6,55.74,34.11,73.6,57.89,25.57,72.63,60.3,40.84,343.88,321.86,324.98,320.26,292.85,308.81,324.06,292.56,275.35,314.07,257.13,294.79,217.21,201.98,196.01,212.15,269.92,266.8,185.43,248.77,223.26,291.94,267.74,269.02,266.83,251.57,331.44,343.88,340.67,32.91,20.01,31.87,38.07,19.51,37.33,130.36,325.17,324.24,321.2,323.37,27.81,0.0,15.04,9.3,322.94,331.4,303.73,248.9,310.58,297.55,322.09,359.72,249.66,319.12,330.53,281.3,305.02,284.63,310.58,297.55,302.95,252.64,305.27,342.12,276.08,330.53,277.27,234.59,175.53,194.55,201.74,187.51,179.36,221.22,224.14,195.97,220.26,201.74,477.31,450.07,155.64,72.93,134.89,86.9,162.92,88.84,97.29,90.0,95.04,127.56,112.22,116.54,102.05,123.61,126.63
전라남도,구례군,2016,1,310.37,364.54,297.55,292.74,348.92,335.7,241.4,327.67,298.83,323.61,258.82,292.36,248.32,276.5,271.49,302.5,232.46,249.26,242.38,201.44,254.57,233.57,323.68,228.14,242.31,230.17,227.15,290.88,201.49,300.29,229.18,111.36,82.24,129.61,56.35,121.15,58.98,143.69,58.64,100.79,110.77,75.5,175.22,129.38,119.65,219.92,189.97,218.18,158.59,183.01,264.46,169.57,192.72,61.23,51.53,52.35,108.33,137.88,147.54,137.88,260.07,267.6,265.28,259.07,263.35,269.34,142.95,173.49,177.19,165.21,174.34,296.0,269.88,255.35,263.55,88.92,68.64,36.02,45.08,59.28,28.09,52.41,118.37,62.56,76.95,105.34,71.5,106.74,92.33,59.28,28.09,109.24,86.76,82.89,135.33,87.39,105.34,45.96,73.76,107.47,85.11,88.49,82.69,94.68,48.8,49.74,74.77,68.52,88.49,232.03,207.78,114.33,201.5,147.3,198.14,119.93,181.32,173.55,182.04,201.07,181.69,194.31,176.33,183.81,160.14,203.19
전라남도,나주시,2016,10,360.72,405.6,352.47,348.85,392.55,380.52,280.49,352.29,331.41,354.99,298.08,321.14,272.78,289.06,294.85,322.63,251.55,263.04,256.65,227.36,283.99,267.08,344.12,250.98,260.01,259.2,250.59,305.22,222.73,323.11,243.06,174.76,146.87,199.54,109.53,192.65,123.24,214.41,128.39,172.07,180.81,145.57,246.18,192.07,178.08,276.91,250.9,285.71,228.05,238.99,326.89,232.98,263.07,15.69,21.77,22.27,177.32,207.59,216.39,206.3,279.79,284.12,284.79,280.1,279.66,290.08,171.02,244.89,248.65,236.6,245.78,304.29,281.3,266.26,273.43,41.87,68.9,90.14,42.29,43.27,71.11,91.31,78.47,32.52,41.25,50.22,0.0,36.84,21.06,43.27,71.11,38.55,34.23,24.01,71.63,18.54,50.22,25.67,46.71,105.86,88.94,79.63,106.96,106.07,85.05,101.65,98.23,63.0,79.63,196.41,169.41,134.89,208.48,146.78,198.11,118.38,199.02,185.54,203.34,195.91,222.32,231.43,211.81,214.71,194.01,245.33
전라남도,무안군,2016,1,374.46,416.47,367.56,364.3,404.22,392.58,291.6,358.74,340.29,363.35,309.07,329.02,279.93,292.62,301.44,328.04,257.47,267.28,261.13,235.55,292.39,276.79,349.44,257.96,265.41,267.78,257.74,309.13,229.72,329.28,247.64,195.41,167.69,220.59,129.75,213.45,144.12,235.45,149.44,192.65,201.86,165.75,266.53,210.12,195.24,292.93,268.13,304.75,247.84,254.97,344.26,250.97,283.15,32.88,41.44,41.29,197.09,228.64,237.41,227.3,285.51,288.88,290.39,286.19,284.42,295.97,181.0,265.81,269.52,257.52,266.67,306.46,284.63,269.63,276.41,46.69,84.22,110.78,58.92,59.77,91.73,110.7,79.58,44.26,51.83,47.59,21.06,21.47,0.0,59.77,91.73,21.12,32.0,28.86,59.45,8.97,47.59,46.69,53.41,111.08,97.38,85.52,118.88,114.9,101.16,119.28,110.64,72.84,85.52,193.23,165.85,144.29,211.73,149.8,199.55,122.66,205.52,190.79,210.73,195.86,234.5,242.56,222.81,224.45,204.92,257.62
전라남도,영암군,2016,2,381.94,428.35,372.64,368.7,414.96,402.73,303.25,376.2,354.89,378.57,320.86,344.84,296.63,313.04,318.76,346.63,275.53,287.04,280.66,251.06,307.6,290.36,368.12,274.86,284.01,282.79,274.45,329.22,246.62,347.06,267.08,175.85,149.5,205.27,109.23,202.12,126.7,221.15,135.3,182.99,186.93,158.39,257.64,209.25,196.59,296.34,268.99,300.71,241.48,258.55,344.59,250.05,275.48,38.75,41.48,42.91,191.12,212.97,220.73,210.35,303.77,308.13,308.78,304.05,303.67,314.04,194.35,253.22,257.28,244.91,254.35,328.15,305.27,290.22,297.37,18.72,57.19,92.48,63.72,35.15,74.02,88.29,54.65,56.37,23.3,26.73,24.01,27.83,28.86,35.15,74.02,31.77,55.65,0.0,52.78,33.81,26.73,39.52,70.69,129.87,112.82,103.64,129.86,129.84,105.65,120.33,121.0,86.8,103.64,172.4,145.42,158.47,232.42,170.66,221.81,142.34,222.97,209.55,227.19,219.3,244.68,254.25,234.72,238.04,216.98,267.6
전라남도,장성군,2016,1,330.34,373.64,323.31,320.07,360.92,349.07,248.58,319.83,298.97,322.5,266.14,288.62,240.28,257.31,262.39,290.34,219.2,231.1,224.65,194.85,251.49,234.76,311.84,218.5,227.76,226.72,218.09,273.34,190.26,290.69,211.05,173.52,144.5,191.24,113.25,179.23,120.93,204.4,120.89,157.06,172.43,128.53,229.1,167.6,151.88,248.84,224.69,263.42,208.46,210.89,300.84,208.26,244.51,18.08,21.61,19.23,157.99,199.61,209.68,200.18,247.46,252.0,252.48,247.7,247.55,257.71,138.69,232.19,235.48,224.04,232.74,273.11,249.66,234.62,241.94,73.39,89.5,92.09,18.58,64.82,74.88,100.05,110.22,0.0,69.87,82.74,32.52,65.16,44.26,64.82,74.88,65.34,24.91,56.37,102.35,35.82,82.74,32.14,16.68,74.15,56.45,48.02,75.2,73.55,57.62,76.94,66.72,30.48,48.02,228.67,201.76,102.43,177.02,115.74,167.62,86.96,166.62,153.43,170.84,166.39,190.87,199.51,179.83,182.37,161.97,213.95
