시군구,발생주기(년)
강진군,1.3
거창군,-1.0
경산시,-1.0
경주시,8.5
고성군,2.0
고양시,3.0
고창군,2.0
고흥군,3.5
곡성군,3.0
공주시,3.0
과천시,-1.0
광주광역시,-1.0
광주시,1.0
괴산군,5.0
구례군,2.5
구미시,-1.0
군산시,1.5
김제시,2.5
김포시,1.5
나주시,2.2
남양주시,-1.0
남원시,-1.0
논산시,4.0
담양군,2.0
당진시,4.0
대구광역시,4.5
동두천시,-1.0
무안군,1.8
문경시,-1.0
밀양시,-1.0
보성군,5.0
부산광역시,3.0
부안군,1.4
부여군,-1.0
상주시,-1.0
서산시,-1.0
서울특별시,-1.0
서천군,-1.0
성남시,-1.0
성주군,-1.0
세종특별자치시,3.5
수원시,1.0
순창군,4.5
순천시,-1.0
신안군,-1.0
아산시,2.3
안성시,2.0
양산시,2.6
양주시,2.8
양평군,-1.0
여수시,-1.0
여주시,3.0
연천군,6.0
영광군,-1.0
영암군,1.9
영주시,-1.0
영천시,3.0
예산군,-1.0
옥천군,-1.0
완주군,-1.0
용인시,3.3
울산광역시,3.5
원주시,-1.0
음성군,3.0
의정부시,-1.0
이천시,3.6
익산시,2.3
인제군,-1.0
인천광역시,2.0
임실군,3.0
장성군,4.0
장흥군,2.5
전주시,3.0
정읍시,2.2
제주특별자치도,4.0
증평군,-1.0
진도군,-1.0
진안군,-1.0
진주시,-1.0
진천군,4.3
천안시,1.6
철원군,-1.0
청양군,1.5
청원군,-1.0
청주시,2.0
춘천시,-1.0
충주시,5.0
통영시,-1.0
파주시,5.0
평택시,2.2
포천시,1.5
포항시,-1.0
하동군,3.5
함평군,7.0
해남군,1.5
홍성군,2.3
화성시,1.7
화순군,3.0
횡성군,3.0
