구분,시도,시군,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,평균
아산호,경기도 ,평택시,2389,8305,3888,816,9361,16711,9156,18409,44387,11361,4621,7299,6047,3906,7981,7090,12849,6628,5690,9836.526316
아산호,충청남도,아산시,2389,8305,3888,816,9361,16711,9156,18409,44387,11361,4621,7299,6047,3906,7981,7090,12849,6628,5690,9836.526316
삽교호,충청남도,아산시,10847,10881,12133,646,79208,17247,72703,20141,3301,19231,6893,47900,13962,50315,14396,11700,17914,14463,8819,22773.68421
예당저수지,충청남도,예산군,4579,4509,7081,4470,4024,6329,12367,1237,1255,2004,696,4319,4546,14285,4270,2444,1119,1846,702,4320.105263
석문간척지,충청남도,당진시,3280,11379,17397,17208,13724,4004,4336,5655,2841,23253,4272,9250,4555,4563,9145,7046,5536,7289,5225,8418.842105
대호,충청남도,당진시,21229,10025,14930,18758,15786,11741,9644,6856,2908,6496,3587,8374,5710,6582,9218,11048,7263,4593,5334,9478
가로림만,충청남도,태안군,0,0,0,0,0,0,0,0,5907,4575,3464,9804,11452,19001,10601,11566,11376,6629,9700,5477.631579
태안군 이원면 해안,충청남도,태안군,2343,0,0,0,0,7378,0,771,1777,825,9208,12237,27557,19920,9285,24377,10751,20772,8267,8182.526316
태안군 근흥면 해안,충청남도,태안군,2022,5018,2381,2480,5202,0,5565,4705,2749,1870,6342,12585,13598,5525,7046,9360,5937,9124,8654,5798.052632
수룡저수지,충청남도,태안군,0,0,0,0,0,0,0,232,52,196,608,3199,0,2682,796,3401,2215,448,5031,992.6315789
태안군 남면 해안,충청남도,태안군,0,4470,3062,1083,610,1172,913,1335,1768,1508,2434,2327,0,3061,3153,1605,1835,2791,2812,1891.526316
안면도,충청남도,태안군,0,0,0,0,0,0,0,826,925,714,548,2278,0,2826,954,1295,714,2318,3232,875.2631579
대청호,충청북도,청주시,3311,2368,2092,1663,1236,2080,1875,2472,1296,1609,2122,2338,0,2364,2372,3999,2911,3211,2191,2184.736842
백곡지,충청북도,진천군,1165,139,2282,2813,1638,1031,1533,20,35,538,155,97,0,2154,608,55,912,985,466,875.0526316
초평지,경상북도,영천시,172,58,1001,62,173,755,132,32,22,587,7,203,0,3202,875,672,564,1035,234,515.0526316
괴산호,충청북도,괴산군,0,0,0,0,0,0,0,380,121,75,46,50,0,119,77,0,0,0,0,45.68421053
충주호,충청북도,충주시,3242,3003,3261,5533,5012,7483,4674,6283,5588,6453,5403,5174,0,6754,4432,4012,7159,6294,8918,5193.578947
간월호,충청남도,서산시,24444,36712,47304,27351,9049,10342,14561,9425,5106,7267,9335,8562,16210,12902,8214,16509,7186,12078,8434,15315.31579
부남호,충청남도,서산시,13922,19506,16863,24055,12764,14325,20827,14610,4958,16792,12979,17154,26188,17252,9365,28509,13948,25294,7947,16697.78947
미호천,충청북도,음성군,0,0,0,0,0,6306,4226,3788,4116,5366,3989,5780,5194,4238,3947,1969,2618,3202,4042,3093.736842
금강상류,전라북도,장수군,0,0,0,0,0,5232,2613,3925,2847,2175,1833,2091,0,4168,1595,2007,2336,4635,2787,2012.842105
금강중류(황산대교-청벽대교),충청남도,논산시,0,0,0,0,0,0,0,10346,9350,3379,4965,5440,0,7637,6151,6695,5890,7706,4832,3810.052632
금강중류(황산대교-청벽대교),세종특별자치시,장군면,0,0,0,0,0,0,0,10346,9350,3379,4965,5440,0,7637,6151,6695,5890,7706,4832,3810.052632
잠홍저수지,충청남도,서산시,3627,2260,6346,424,5311,5673,11749,3248,1410,1957,722,1173,0,1362,2175,1395,5184,2850,3406,3172.210526
성암저수지,충청남도,서산시,239,2470,12763,42,27914,2997,68442,5393,4953,1750,2384,1956,0,5422,2242,11970,4464,3680,4128,8589.947368
인평저수지,충청남도,태안군,830,1129,3300,100,9013,2477,2175,3532,1772,604,390,1332,0,1385,1222,1759,2715,2383,3004,2059.052632
풍전저수지,충청남도,서산시,415,717,10445,126,8241,6531,6757,1677,460,1842,480,565,0,4075,1962,1317,1332,1362,1829,2638.578947
탑정저수지,충청남도,논산시,5968,5359,9031,6820,5336,7444,6389,6499,6367,1301,46,2489,0,11164,2701,4169,2319,4845,1313,4713.684211
경천저수지,전라북도,완주군,1215,1460,1305,592,580,1748,285,587,586,448,429,723,0,2440,2536,1391,896,1240,354,990.2631579
장항 해안,충청남도,서천군,7830,6250,5163,9192,6078,3569,4285,3775,3104,3660,5952,6074,12701,7740,10612,12537,16989,20399,33089,9421
봉선저수지,충청남도,서천군,5546,3897,6515,7661,5408,4411,4595,2381,798,12172,3575,5658,4147,3618,6400,3641,5115,6560,5940,5159.894737
부사간척지,충청남도,서천군,0,0,6380,4464,1533,3481,3314,6970,2926,2897,5254,2173,0,1152,3414,7786,736,1408,1771,2929.421053
유부도,충청남도,서천군,12010,8492,9718,7628,6558,5494,9010,12038,6450,4261,15890,2625,7981,10154,4474,7996,20448,11180,10847,9118.631579
금강하구,충청남도,서천군,22546,14082,21802,7617,5765,5382,5234,6183,9213,7837,8652,14619,21513,21983,8232,7643,12633,11521,8197,11613.36842
금강호,충청남도,서천군,341329,108443,116338,276901,747986,310385,210612,12325,2497,255975,7346,258056,108644,39442,210375,10855,355499,408659,178023,208404.7368
만경강,전라북도,익산시,31307,43855,51420,43829,24659,32611,45052,51945,14554,13691,17000,8510,39409,11352,9360,27328,8110,9284,64426,28826.42105
옥구저수지,전라북도,군산시,7120,0,412,673,955,1005,5432,5302,4,195,0,530,0,2587,1697,1529,3227,715,3230,1821.736842
옥려저수지,전라북도,군산시,0,0,0,0,0,0,0,0,7,767,750,2318,0,3641,778,576,1109,793,730,603.6315789
만경강 중류,전라북도,정읍시,0,0,0,0,0,0,0,0,0,23012,25417,12443,14942,23325,14428,27562,18995,23826,44217,12008.78947
동진강,전라북도,정읍시,34018,20018,16978,50697,22097,50069,19127,30632,16118,15305,3697,15741,869,1161,8282,5589,4267,10505,29004,18640.73684
청호저수지,전라북도,부안군,2180,94,3323,21623,1264,1009,1631,335,60,557,20,2407,0,2121,1363,1262,2769,6750,2610,2704.105263
조류지,전라북도,부안군,3352,1512,1910,515,218,6894,1137,1052,122,356,5954,368,0,149,335,1570,435,715,12445,2054.684211
능제,전라북도,김제시,0,0,0,0,0,0,0,483,93,815,189,948,0,1359,417,681,703,997,658,386.4736842
백산저수지,전라북도,김제시,0,0,0,0,0,0,0,690,1289,1598,1300,381,0,2059,546,2075,3261,2391,1040,875.2631579
고마제,전라북도,부안군,0,0,0,0,0,0,0,197,115,708,118,266,0,1155,336,0,0,0,0,152.3684211
장성호,전라북도,장성군,0,0,0,0,0,568,289,231,288,538,622,379,0,1067,578,0,0,0,0,240
옥정호,전라북도,임실군,0,0,0,0,0,213,259,174,205,700,562,1645,0,1285,1151,832,640,2221,873,566.3157895
담양호,전라북도,담양군,0,0,0,0,0,159,84,567,386,404,288,214,0,533,486,0,0,0,0,164.2631579
영산강 상류(승촌보 상류-담양호 하류),광주광역시,남구,0,0,0,0,0,0,0,0,288,2287,2275,6043,0,5278,3376,10984,5324,2173,3493,2185.315789
동복호,전라남도 ,화순군,0,0,0,0,0,0,0,0,386,0,495,327,0,465,839,0,0,0,0,132.2105263
지석천,전라남도 ,화순군,0,0,0,0,0,0,0,0,0,0,1162,850,1053,1147,1049,1902,454,1190,1343,534.2105263
황룡강,광주광역시,광산구,0,0,0,0,0,0,0,0,0,0,0,0,1303,438,629,757,1389,1555,830,363.2105263
동림저수지,전라북도,고창군,2052,250418,1836,2309,836,201121,200582,77988,5272,54552,25736,70862,211464,421339,122226,323438,3364,5867,63983,107644.4737
곰소만,전라북도 ,부안군,216,212,495,400,949,10454,4865,6227,2315,9254,11799,4882,12136,10105,6037,7523,8488,5346,8383,5794
고창해안(동호항-계마항),전라북도,고창군,0,0,0,0,0,0,0,3168,5272,1120,5519,1349,0,1305,1466,2631,5807,2794,5010,1865.315789
법성포,전라남도 ,영광군,0,0,0,0,0,0,0,687,1927,761,2314,813,0,694,781,1341,1667,1734,3320,844.1578947
영광-함평 해안,전라남도 ,영광군,0,0,0,0,0,0,0,0,3975,829,657,553,0,1451,1694,1678,2363,2305,3419,996
대동댐,전라남도 ,함평군,0,0,0,4714,2515,1415,2132,1210,719,751,1144,1091,0,2541,1054,1905,1174,925,216,1237.157895
무안군 현경면·운남면,전라남도 ,무안군,6411,21034,33224,12687,9220,7862,6284,9435,12414,6491,9619,7066,4001,7036,3444,4673,3479,11758,15723,10097.94737
무안군 해제면·신안군 지도읍,전라남도 ,무안군,855,2588,50,316,76,283,188,163,72,22,96,694,0,635,434,156,678,756,2492,555.4736842
무안저수지,전라남도 ,무안군,3884,4856,2629,4253,3740,2767,2306,1264,6577,2871,3266,4294,0,1986,2101,1986,1541,1163,2038,2816.947368
무안-목포해안,전라남도 ,목포시,0,0,0,0,0,3291,5724,4205,24782,6191,3304,5371,0,3083,2610,8536,5488,6446,40977,6316.210526
압해도,전라남도 ,신안군,0,0,0,0,0,2717,3020,67217,5912,4798,2472,2090,0,990,982,1567,5607,1135,4763,5435.263158
암태도,전라남도 ,신안군,0,0,0,0,0,0,0,0,0,0,0,0,1784,1066,3250,563,966,815,1094,502
영산호,전라남도 ,영암군,48994,50186,85341,3208,1468,2380,7691,5737,3496,1437,16419,5245,0,6176,4367,8869,4601,2130,4426,13798.47368
우습제,전라남도 ,나주시,0,0,0,0,0,0,3504,2239,113,535,1095,893,0,3215,1175,895,1880,1832,2594,1051.052632
영산강 중류(몽탄대교-승촌보),전라남도 ,나주시,0,0,0,0,0,0,0,4828,1482,3007,2756,2950,0,1797,2976,2663,2359,3386,2846,1634.210526
영암호,전라남도 ,영암군,11594,8460,22165,11776,6947,30134,443759,488172,228879,11684,15372,34750,6180,9460,26630,24710,7406,6064,6388,73712.10526
금호호,전라남도 ,해남군,2981,7676,7346,14418,4811,16948,14883,31776,5247,11901,318602,6955,5496,12771,12324,11260,71168,8278,5196,30001.94737
고천암호,전라남도 ,해남군,7655,87393,137133,3387,8947,106031,26358,2627,153278,4205,3786,4080,3188,11800,8073,4217,12132,3100,10103,31447
랑초(개초)저수지,전라남도 ,해남군,487,432,284,962,1057,1442,1113,1211,1947,555,370,268,0,822,890,1069,753,1138,1146,839.2631579
군내간척지,전라남도 ,진도군,2584,1899,4561,5726,1696,3249,2976,425,11914,1796,1103,1869,0,5003,3816,2898,1938,3482,2158,3110.157895
둔전저수지,전라남도 ,진도군,1240,1141,1263,538,624,210,510,922,7185,323,1289,1323,0,1641,1013,1386,1891,794,2829,1374.842105
주암호,전라남도 ,순천시,0,0,0,0,0,0,0,561,1680,2131,1017,1249,0,907,1977,699,1098,1744,685,723.5789474
상사호,전라남도 ,순천시,0,0,0,0,0,0,0,0,557,707,740,1092,0,359,534,0,0,0,0,209.9473684
보성강저수지,전라남도 ,보성군,0,0,0,0,0,0,0,0,885,725,836,1023,0,596,462,0,0,0,0,238.2631579
완도호,전라남도,완도군,0,0,0,0,0,0,0,1036,1218,2005,506,931,0,477,1237,2563,2289,667,1996,785.5263158
해남군 신방지,전라남도,해남군,0,0,0,0,0,0,0,569,1089,0,0,0,0,367,438,0,0,0,0,129.6315789
군곡저수지,전라남도,해남군,0,0,0,0,0,0,0,310,188,247,270,81,0,920,145,0,0,0,0,113.7368421
해원저수지,전라남도,해남군,0,0,0,0,0,0,0,233,331,188,71,217,0,98,606,0,0,0,0,91.78947368
강진만,전라남도,강진군,1753,6843,3179,4434,4177,3033,3533,2021,2833,2320,2075,3051,0,1682,1339,3155,673,5667,4210,2946.210526
사내간척지,전라남도,강진군,1354,1943,5857,1329,2708,3482,75277,2870,29428,1397,454,624,0,1325,734,4758,3868,3190,8534,7849.052632
만덕간척지,전라남도,강진군,736,154,886,137,431,333,945,98,709,317,1088,338,0,852,3607,1927,510,1727,1685,867.3684211
고금도,전라남도,완도군,0,0,0,0,0,0,0,0,2122,1953,1229,2082,0,1231,798,740,774,1571,1142,718
조약도,전라남도,완도군,0,0,0,0,0,0,0,0,2322,1155,532,589,0,406,1731,0,0,0,0,354.4736842
장흥해안,전라남도,장흥군,0,0,0,0,0,0,0,0,4305,4379,3500,9521,0,6194,3736,7300,10046,16932,6296,3800.473684
보성만-득량만,광주광역시,서구,5818,1812,4612,2186,2487,2908,4141,3162,5145,3577,6566,1180,0,2552,1656,2993,1246,2342,1597,2946.315789
보성만-득량만,전라남도,보성군,5818,1812,4612,2186,2487,2908,4141,3162,5145,3577,6566,1180,0,2552,1656,2993,1246,2342,1597,2946.315789
점암저수지,전라남도,고흥군,724,863,561,549,316,212,790,378,687,40,413,429,0,293,454,0,0,0,0,353.1052632
고흥호,전라남도,고흥군,2307,1533,3546,6748,1536,3996,4238,498,6599,952,463,2725,0,3978,1961,2871,4768,4008,4698,3022.368421
포두면 간척지·해창만,전라남도,고흥군,622,554,462,754,1261,1040,2774,540,826,1230,610,665,0,6038,1871,2332,1406,3608,4368,1629.526316
여자만,전라남도,여수시,14824,9114,5048,6730,5215,6964,7416,2262,6344,3234,3979,6461,5249,4720,6818,5877,5059,17552,10584,7023.684211
순천만,전라남도,순천시,12448,7444,5449,9558,11512,9975,9257,10795,13141,9014,11282,11467,11862,9305,19020,13006,23531,28768,21566,13073.68421
광양만·갈사만,전라남도,여수시,3477,5458,4185,7586,5718,3390,2629,2467,5948,3330,12380,6651,13654,7743,31405,9293,8401,10201,18801,8564.052632
섬진강 하구·수어천 하류,전라남도,광양시,0,0,0,0,0,0,0,0,581,964,2305,824,0,249,2489,1420,769,4019,916,765.0526316
남해 해안,경상남도,남해군,0,0,0,0,0,0,0,945,30128,2689,1440,4047,0,3300,2503,3017,3045,4048,3665,3096.157895
창선도,경상남도,남해군,0,0,0,0,0,0,0,2067,9286,2370,2409,1367,0,1576,3281,18912,6815,3373,4980,2970.315789
사천만,경상남도,사천시,4446,1919,3865,2283,0,3940,5014,2936,7479,1501,4578,3718,0,2484,5816,997,4474,2938,3167,3239.736842
진양호,경상남도,진주시,1684,2812,1982,1474,1671,4829,3766,4335,1382,1919,1226,2216,0,2345,3736,2081,2662,1486,2464,2319.473684
고성군 거류면 동해면(당도만),경상남도,고성군,5956,2850,3789,9682,3072,8180,1917,7563,1980,2716,2685,2078,0,7780,4090,2744,2984,2202,1908,3904
대가저수지,경상남도,고성군,0,0,0,0,4833,0,0,753,340,518,620,1018,0,946,357,1176,2081,1034,743,758.8947368
거제도 해안,경상남도,거제시,0,0,0,0,0,0,0,0,6088,2030,4631,6738,0,3742,1149,10635,8273,10609,7039,3207.052632
주남저수지,경상남도,창원시,846,4168,7993,4725,8253,3462,4711,6580,4179,4601,2592,6029,8825,7931,9033,13735,6255,10222,12148,6646.736842
산남저수지,경상남도,창원시,184,287,504,1374,1342,2637,1356,1946,1685,1647,821,1123,1383,714,1823,1670,936,1400,1031,1255.947368
동판저수지,경상남도,창원시,3257,3771,483,5040,8061,15316,6247,5143,1888,1712,2696,3706,2625,2310,3706,1416,2178,3100,2660,3963.947368
봉암갯벌,경상남도,창원시,0,0,0,0,0,0,0,5707,3121,2474,1763,2629,0,715,961,2743,885,2835,1667,1342.105263
우포저수지,경상남도,창녕군,2936,6300,3845,4919,3035,5200,5914,7887,1796,4836,5126,1351,1653,3962,2270,2666,3646,3240,1931,3816.473684
목포,경상남도,창녕군,1065,1131,963,799,267,279,275,1416,696,382,79,361,428,107,1390,172,202,289,546,570.8947368
사지포,경상남도,창녕군,413,1154,609,753,1703,1033,347,1107,15,361,400,4352,807,440,238,1134,959,1705,851,967.4210526
합천호,경상남도,합천군,0,0,0,0,0,568,717,1168,407,1014,871,635,0,1202,1149,766,173,655,1409,564.9473684
황강,경상남도,합천군,0,0,0,0,0,1199,1964,2539,1451,955,1623,1034,0,1080,2553,2211,1595,1006,2258,1129.894737
화원(도흥리-부리),충청남도,보령시,4070,2136,5848,1668,3367,6042,5549,4947,2282,3437,2178,3045,0,2708,3408,4242,2420,3615,2218,3325.263158
금호강,경상북도,영천시,2627,4016,4346,2438,4833,3956,3573,1278,998,1242,2343,1295,0,1229,1572,1858,1984,1927,2778,2331.210526
구미 해평(도흥리-일선교),경상북도,구미시,7773,8229,6797,21507,7013,13844,7044,5013,6564,3978,8702,6893,6630,5089,3442,9474,17392,12111,3961,8497.684211
감천,경상북도,김천시,0,0,0,0,0,0,0,0,693,665,532,898,683,1102,1192,2273,1041,1237,1391,616.1578947
낙동강(일선교-안동시),경상북도,안동시,0,0,0,0,0,0,0,2878,1142,1663,3031,3016,0,4360,3847,5377,1878,2954,2118,1698.105263
낙동강(일선교-안동시),경상북도,구미시,0,0,0,0,0,0,0,2878,1142,1663,3031,3016,0,4360,3847,5377,1878,2954,2118,1698.105263
내성천,경상북도,예천군,0,0,0,0,0,0,0,0,128,106,111,492,0,715,868,229,91,230,249,169.4210526
내성천,경상북도,봉화군,0,0,0,0,0,0,0,0,128,106,111,492,0,715,868,229,91,230,249,169.4210526
안동호,경상북도,안동시,973,961,1496,716,818,1601,1129,1528,1267,725,1831,903,0,4166,1838,2309,1922,2214,573,1419.473684
임하호,경상북도,안동시,365,360,208,541,376,458,611,476,805,826,785,501,0,2107,2084,610,558,539,446,666.1052632
낙동강(달성-남지),대구광역시,달성군,0,0,0,0,0,0,10592,2879,2030,2434,1504,6855,0,2482,2044,5139,1307,2924,3110,2278.947368
낙동강(남지-삼랑진),경상남도,창녕군,0,0,0,0,0,7376,0,2170,1579,3146,5241,1530,0,1809,789,1525,885,2338,1802,1588.947368
낙동강(삼랑진-대동),경상남도,밀양시,0,0,0,0,0,0,0,2068,1485,668,1022,910,0,1631,1388,456,771,1008,694,636.8947368
오륜대(회동)저수지,경상남도,김해시,712,641,401,320,414,502,320,119,406,465,333,485,0,631,358,1078,858,349,307,457.8421053
회야호,울산광역시,울주군,686,1706,1167,1046,1202,864,751,559,395,308,232,240,0,399,711,817,918,1256,2631,836.2105263
"낙동강하류(하구둑 대저수문, 서낙동강,맥도강)",부산광역시,강서구,13270,17619,21504,24725,16765,10804,48654,21341,19318,14879,15746,21597,17139,21263,24548,23754,27093,23768,29019,21726.63158
낙동강 하구,부산광역시,사하구,15817,14938,44396,40179,41525,29649,24467,24939,33454,24819,39908,28409,21708,25783,26894,28234,18097,17104,18772,27320.63158
덕동호,경상북도,경주시,510,611,1,38,346,351,282,50,349,97,157,155,0,131,199,0,0,0,0,172.4736842
보문호,경상북도,경주시,505,1288,422,990,480,1578,2153,574,162,562,110,176,0,360,681,0,0,0,0,528.4736842
형산강(나정교-강동교),경상북도,경주시,0,0,4020,4777,3835,4681,974,3379,3375,7213,1982,3642,0,2674,4300,2391,2345,3385,4623,3031.368421
형산강(나정교-강동교),부산광역시,강서구,0,0,4020,4777,3835,4681,974,3379,3375,7213,1982,3642,0,2674,4300,2391,2345,3385,4623,3031.368421
형산강(형산교-제1강동교),경상북도,포항시,1670,2661,1071,3153,1026,3268,1696,3654,3563,5140,1279,2263,0,3398,5132,4744,3236,3572,2725,2802.684211
안계저수지,경상북도,경주시,587,844,1038,7524,5175,7173,2925,1602,2576,1128,2316,3131,0,544,129,229,1692,1156,2601,2230
용연지,경상북도,의성군,0,0,952,3835,350,2559,734,644,3345,6791,296,276,0,313,377,0,0,0,0,1077.473684
하곡지(딱실못),경상북도,경주시,0,0,686,592,407,750,309,229,578,300,134,426,0,580,542,0,0,0,0,291.2105263
부산-울산 해안,울산광역시,북구,11300,4332,12229,6980,7843,5992,4102,1510,6538,15022,16499,8839,2481,3635,4462,5264,4686,32730,15079,8922.263158
부산-울산 해안,부산광역시,남구,11300,4332,12229,6980,7843,5992,4102,1510,6538,15022,16499,8839,2481,3635,4462,5264,4686,32730,15079,8922.263158
