시도,시군,실제지목 구분,지급필지수(개),지급면적(ha)
경상남도,남해군,임야, 1 , 0.03 
경상남도,남해군,기타, 2 , 0.11 
경상남도,하동군,밭," 16,115 "," 1,842.82 "
경상남도,하동군,논," 23,755 "," 3,885.11 "
경상남도,하동군,과수," 11,325 "," 1,157.19 "
경상남도,하동군,임야, 1 , 0.11 
경상남도,하동군,기타, 148 , 21.50 
경상남도,산청군,밭," 12,794 "," 1,580.21 "
경상남도,산청군,논," 24,465 "," 3,721.08 "
경상남도,산청군,과수," 5,338 ", 779.52 
경상남도,산청군,임야, 3 , 0.44 
경상남도,산청군,기타, 26 , 4.10 
경상남도,함양군,밭," 17,379 "," 1,967.18 "
경상남도,함양군,논," 22,308 "," 3,488.21 "
경상남도,함양군,과수," 6,373 "," 1,045.33 "
경상남도,함양군,임야, 3 , 0.26 
경상남도,함양군,초지, 1 , 0.04 
경상남도,함양군,기타, 11 , 1.25 
경상남도,거창군,밭," 18,049 "," 2,240.81 "
경상남도,거창군,논," 27,723 "," 4,201.32 "
경상남도,거창군,과수," 12,430 "," 2,063.96 "
경상남도,거창군,임야, 8 , 6.84 
경상남도,거창군,초지, 1 , 0.35 
경상남도,거창군,기타, 56 , 10.75 
경상남도,합천군,밭," 19,322 "," 2,140.35 "
경상남도,합천군,논," 44,894 "," 6,706.90 "
경상남도,합천군,과수," 3,110 ", 406.90 
경상남도,합천군,임야, 6 , 1.88 
경상남도,합천군,기타, 40 , 5.43 
제주특별자치도,제주시,밭," 37,515 "," 9,176.18 "
제주특별자치도,제주시,논, 59 , 6.83 
제주특별자치도,제주시,과수," 19,844 "," 5,007.31 "
제주특별자치도,제주시,임야, 17 , 6.20 
제주특별자치도,제주시,초지, 110 , 59.80 
제주특별자치도,제주시,기타, 22 , 4.63 
제주특별자치도,서귀포시,밭," 20,729 "," 6,510.49 "
제주특별자치도,서귀포시,논, 148 , 13.25 
제주특별자치도,서귀포시,과수," 38,174 "," 10,135.29 "
제주특별자치도,서귀포시,임야, 11 , 3.41 
제주특별자치도,서귀포시,초지, 86 , 25.93 
제주특별자치도,서귀포시,기타, 17 , 5.42 
세종특별자치시,세종시,밭," 7,840 "," 1,121.68 "
세종특별자치시,세종시,논," 14,838 "," 3,037.76 "
세종특별자치시,세종시,과수," 3,429 ", 640.15 
세종특별자치시,세종시,초지, 7 , 0.74 
세종특별자치시,세종시,기타, 5 , 0.81 
