month,시도,발생건수(타겟),철새수,range,result,철새수/result,표준 risk,risk,,리스크 기준(이상/미만),점수
11,충청남도,4,1888526,"4,5",952427,198%,5,9,,,
11,충청북도,46,134560,"46,47",1051012,13%,5,0,,,
12,강원도,1,770420,"1,2",945386,81%,5,4,,,
12,경기도,111,1443051,"111,112",1203584,120%,5,6,,,
12,경상남도,4,381023,"4,5",952427,40%,5,2,,,
12,경상북도,4,556454,"4,5",952427,58%,5,2,,,
12,광주광역시,0,40944,"0,1",943038,4%,5,0,,,
12,대구광역시,0,17882,"0,1",943038,2%,5,0,,,
12,부산광역시,1,370711,"1,0",945386,39%,5,1,,,
12,서울특별시,0,136044,"0,1",943038,14%,5,0,,,
12,세종특별자치시,16,54182,"16,17",980595,6%,5,0,,,
12,울산광역시,0,632486,"0,1",943038,67%,5,3,,,
12,인천광역시,1,281113,"1,2",945386,30%,5,1,,,
12,전라남도,31,2099384,"31,32",1015803,207%,5,10,,,
12,전라북도,39,965887,"39,40",1034582,93%,5,4,,,
12,제주특별자치도,0,213369,"0,1",943038,23%,5,1,,,
12,충청남도,53,2737777,"53,54",1067443,256%,5,10,,,
12,충청북도,41,212265,"41,42",1039276,20%,5,1,,,
