주소,축종,사육수,진단일,발생일,지역코드,지역명,시도,시군구,location,date,avg_temperature(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%)
경기도 안성시 공도읍 용두리,닭-산란계,62500,20210201,20210130,203,이천,경기도,안성시,이천,20210130,-2.7,0.3,0.9,60.9
경기도 안성시 공도읍 용두리,닭-산란계,41500,20170101,20161228,203,이천,경기도,안성시,이천,20161228,-3.5,0.0,1.2,54.5
경기도 안성시 공도읍 중복리,닭-기타,15392,20080508,20080508,203,이천,경기도,안성시,이천,20080508,16.7,0.0,1.1,67.5
경기도 안성시 공도읍 중복리,닭-기타,15392,20080508,20080508,203,이천,경기도,안성시,이천,20080508,16.7,0.0,1.1,67.5
경기도 안성시 공도읍 진사리,닭-종계,59788,20161228,20161223,203,이천,경기도,안성시,이천,20161223,-0.5,0.5,2.6,66.1
경기도 안성시 금광면 개산리,오리-육용오리,8600,20161230,20161224,203,이천,경기도,안성시,이천,20161224,-2.1,0.0,0.9,64.5
경기도 안성시 금광면 개산리,오리-육용오리,9000,20150310,20150305,203,이천,경기도,안성시,이천,20150305,-1.4,0.0,1.0,45.5
경기도 안성시 금광면 내우리,오리-육용오리,9000,20150308,20150304,203,이천,경기도,안성시,이천,20150304,-1.5,0.0,3.1,34.3
경기도 안성시 금광면 삼흥리,닭-산란계,390000,20210113,20210112,203,이천,경기도,안성시,이천,20210112,-7.0,1.4,0.5,87.3
경기도 안성시 대덕면 명당리,닭-산란계,376000,20170105,20170101,203,이천,경기도,안성시,이천,20170101,0.4,0.0,0.5,80.3
경기도 안성시 대덕면 보동리,닭-토종닭,27500,20161129,20161125,203,이천,경기도,안성시,이천,20161125,-1.5,0.0,0.9,60.5
경기도 안성시 미양면 강덕리,오리-종오리,6500,20150130,20150129,203,이천,경기도,안성시,이천,20150129,-1.6,0.0,0.6,68.9
경기도 안성시 미양면 강덕리,오리-종오리,16000,20150129,20150126,203,이천,경기도,안성시,이천,20150126,3.0,2.2,0.7,86.9
경기도 안성시 미양면 강덕리,오리-종오리,7,20140217,20140214,203,이천,경기도,안성시,이천,20140214,1.3,0.0,1.0,55.8
경기도 안성시 미양면 강덕리,오리-종오리,22760,20140213,20140211,203,이천,경기도,안성시,이천,20140211,-1.2,0.0,1.3,53.3
경기도 안성시 미양면 강덕리,오리-종오리,45000,20110113,20110113,203,이천,경기도,안성시,이천,20110113,-10.3,0.0,0.6,63.4
경기도 안성시 미양면 강덕리,닭-육계,55802,20080505,20080505,203,이천,경기도,안성시,이천,20080505,16.4,0.2,3.0,48.0
경기도 안성시 미양면 강덕리,닭-육계,55802,20080503,20080503,203,이천,경기도,안성시,이천,20080503,20.9,0.0,0.9,61.9
경기도 안성시 미양면 고지리,오리-종오리,7441,20150116,20150113,203,이천,경기도,안성시,이천,20150113,-2.7,0.0,0.6,58.5
경기도 안성시 미양면 고지리,오리-종오리,1878,20140219,20140217,203,이천,경기도,안성시,이천,20140217,3.4,0.0,1.1,53.0
경기도 안성시 미양면 고지리,오리-종오리,9000,20140217,20140215,203,이천,경기도,안성시,이천,20140215,1.7,0.0,1.0,59.9
경기도 안성시 미양면 고지리,오리-육용오리,20200,20110116,20110116,203,이천,경기도,안성시,이천,20110116,-14.2,0.0,1.8,47.8
경기도 안성시 미양면 법전리,닭-산란계,161400,20150417,20150414,203,이천,경기도,안성시,이천,20150414,6.4,17.7,1.2,80.3
경기도 안성시 미양면 보체리,닭-육계,100000,20170112,20170109,203,이천,경기도,안성시,이천,20170109,3.1,0.0,2.6,56.9
경기도 안성시 미양면 정동리,오리-육용오리,60,20150123,20150122,203,이천,경기도,안성시,이천,20150122,2.2,0.7,0.7,71.4
경기도 안성시 미양면 정동리,오리-육용오리,17300,20150126,20150120,203,이천,경기도,안성시,이천,20150120,-2.2,0.0,0.7,64.6
경기도 안성시 미양면 정동리,오리-육용오리,10000,20140224,20140218,203,이천,경기도,안성시,이천,20140218,1.7,0.0,1.7,50.4
경기도 안성시 보개면 기좌리,닭-토종닭,108607,20170118,20170114,203,이천,경기도,안성시,이천,20170114,-7.4,0.0,2.2,31.8
경기도 안성시 보개면 남풍리,닭-산란계,170500,20161224,20161218,203,이천,경기도,안성시,이천,20161218,1.9,0.0,0.7,76.3
경기도 안성시 보개면 내방리,오리-육용오리,9000,20150209,20150204,203,이천,경기도,안성시,이천,20150204,-1.1,0.0,1.1,66.5
경기도 안성시 보개면 동신리,닭-산란계,29000,20210128,20210127,203,이천,경기도,안성시,이천,20210127,2.3,0.0,1.3,54.1
경기도 안성시 보개면 동신리,닭-산란계,40000,20170106,20161230,203,이천,경기도,안성시,이천,20161230,-4.4,0.0,0.8,56.5
경기도 안성시 보개면 동평리,오리-육용오리,10500,20161216,20161211,203,이천,경기도,안성시,이천,20161211,-2.9,0.0,0.8,57.8
경기도 안성시 보개면 복평리,오리-육용오리,6000,20161218,20161209,203,이천,경기도,안성시,이천,20161209,2.1,1.4,1.7,64.5
경기도 안성시 보개면 양복리,오리-육용오리,16500,20150209,20150205,203,이천,경기도,안성시,이천,20150205,-0.8,0.0,1.5,69.0
경기도 안성시 보개면 적가리,닭-일괄,241000,20161226,20161220,203,이천,경기도,안성시,이천,20161220,5.5,0.0,0.6,76.0
경기도 안성시 삼죽면 덕산리,닭-산란계,43200,20161218,20161213,203,이천,경기도,안성시,이천,20161213,2.2,0.0,1.0,64.1
경기도 안성시 삼죽면 마전리,오리-육용오리,9500,20150225,20150212,203,이천,경기도,안성시,이천,20150212,-1.5,0.0,2.4,29.5
경기도 안성시 서운면 신촌리,닭-산란계,280000,20210114,20210113,203,이천,경기도,안성시,이천,20210113,1.5,0.0,1.0,87.1
경기도 안성시 서운면 신촌리,닭-산란계,230000,20161228,20161223,203,이천,경기도,안성시,이천,20161223,-0.5,0.5,2.6,66.1
경기도 안성시 서운면 신촌리,닭-산란계,54000,20161228,20161222,203,이천,경기도,안성시,이천,20161222,6.7,18.2,2.8,83.8
경기도 안성시 서운면 신흥리,오리-육용오리,20000,20150211,20150208,203,이천,경기도,안성시,이천,20150208,-8.3,0.0,3.6,26.3
경기도 안성시 서운면 신흥리,오리-종오리,6500,20150205,20150202,203,이천,경기도,안성시,이천,20150202,-2.9,0.0,0.7,55.9
경기도 안성시 서운면 신흥리,오리-육용오리,33000,20110108,20110108,203,이천,경기도,안성시,이천,20110108,-8.9,0.1,0.6,85.3
경기도 안성시 원곡면 외가천리,닭-토종닭,45500,20161207,20161201,203,이천,경기도,안성시,이천,20161201,4.8,0.0,2.4,48.6
경기도 안성시 일죽면 능국리,닭-산란계,400000,20161218,20161211,203,이천,경기도,안성시,이천,20161211,-2.9,0.0,0.8,57.8
경기도 안성시 일죽면 능국리,닭-산란계,50000,20161214,20161207,203,이천,경기도,안성시,이천,20161207,-1.9,0.1,0.7,71.0
경기도 안성시 일죽면 능국리,닭-산란계,110000,20140401,20140329,203,이천,경기도,안성시,이천,20140329,12.9,2.6,0.8,70.0
경기도 안성시 일죽면 능국리,닭-산란계,443000,20140321,20140318,203,이천,경기도,안성시,이천,20140318,11.4,0.0,2.7,63.8
경기도 안성시 일죽면 방초리,닭-토종닭,1500,20170114,20170109,203,이천,경기도,안성시,이천,20170109,3.1,0.0,2.6,56.9
경기도 안성시 일죽면 산북리,닭-일괄,290000,20161220,20161214,203,이천,경기도,안성시,이천,20161214,-0.5,0.7,1.5,75.8
경기도 안성시 일죽면 산북리,오리-육용오리,5500,20161210,20161207,203,이천,경기도,안성시,이천,20161207,-1.9,0.1,0.7,71.0
경기도 안성시 일죽면 산북리,오리-육용오리,14800,20110111,20110111,203,이천,경기도,안성시,이천,20110111,-7.7,2.7,0.8,72.4
경기도 안성시 일죽면 신흥리,닭-산란계,60000,20210201,20210131,203,이천,경기도,안성시,이천,20210131,0.6,0.0,0.6,69.1
경기도 안성시 일죽면 신흥리,오리-육용오리,1,20140315,20140313,203,이천,경기도,안성시,이천,20140313,4.4,0.0,2.8,55.6
경기도 안성시 일죽면 장암리,닭-종계,18780,20210127,20210126,203,이천,경기도,안성시,이천,20210126,3.6,3.3,0.7,91.1
경기도 안성시 일죽면 장암리,닭-산란계,100000,20161226,20161220,203,이천,경기도,안성시,이천,20161220,5.5,0.0,0.6,76.0
경기도 안성시 일죽면 장암리,닭-육계,133003,20070210,20070210,203,이천,경기도,안성시,이천,20070210,3.3,0.0,2.4,62.6
경기도 안성시 일죽면 화곡리,오리-육용오리,5500,20161218,20161208,203,이천,경기도,안성시,이천,20161208,-1.5,1.7,0.5,85.6
경기도 안성시 일죽면 화봉리,닭-산란계,30000,20140312,20140306,203,이천,경기도,안성시,이천,20140306,0.4,0.0,2.4,37.6
경기도 안성시 중리동,오리-육용오리,4000,20140626,20140625,203,이천,경기도,안성시,이천,20140625,22.5,0.0,1.1,66.0
경기도 양주시 광적면 우고리,오리-비분류,210,20150524,20150522,98,동두천,경기도,양주시,동두천,20150522,19.7,0.0,2.1,47.4
경기도 양주시 광적면 우고리,오리-비분류,700,20150524,20150521,98,동두천,경기도,양주시,동두천,20150521,18.1,0.0,2.0,50.9
경기도 양주시 남면 경신리,닭-산란계,11830,20170111,20170107,98,동두천,경기도,양주시,동두천,20170107,2.5,0.0,1.1,70.1
경기도 양주시 남면 경신리,닭-산란계,8000,20110120,20110120,98,동두천,경기도,양주시,동두천,20110120,-9.6,0.0,0.8,51.1
경기도 양주시 남면 상수리,닭-산란계,17070,20170214,20170209,98,동두천,경기도,양주시,동두천,20170209,-4.7,0.0,3.2,43.9
경기도 양주시 백석읍 가업리,닭-산란계,102783,20161129,20161126,98,동두천,경기도,양주시,동두천,20161126,0.2,1.4,0.9,73.6
경기도 양주시 백석읍 가업리,닭-산란계,15500,20161123,20161120,98,동두천,경기도,양주시,동두천,20161120,9.2,0.0,2.0,48.9
경기도 양주시 백석읍 오산리,닭-산란계,16000,20161201,20161128,98,동두천,경기도,양주시,동두천,20161128,0.7,0.0,1.3,59.3
경기도 양주시 은현면 도하리,닭-산란계,31500,20170111,20170105,98,동두천,경기도,양주시,동두천,20170105,2.7,0.0,1.3,60.1
경기도 양주시 은현면 봉암리,닭-산란계,26000,20180318,20180316,98,동두천,경기도,양주시,동두천,20180316,5.8,0.0,1.7,50.6
경기도 양주시 은현면 봉암리,닭-산란계,9800,20170118,20170112,98,동두천,경기도,양주시,동두천,20170112,-3.2,0.0,2.4,44.4
경기도 양주시 은현면 하패리,닭-산란계,22000,20040321,20040321,98,동두천,경기도,양주시,동두천,20040321,7.6,0.0,1.2,44.8
경기도 양주시 은현면 하패리,닭-산란계,22000,20040321,20040321,98,동두천,경기도,양주시,동두천,20040321,7.6,0.0,1.2,44.8
경기도 양평군 지평면 수곡리,오리-육용오리,4500,20161207,20161203,202,양평,경기도,양평군,양평,20161203,1.5,0.0,0.7,67.6
경기도 여주시 가남읍 금당리,닭-산란계,416271,20161218,20161213,203,이천,경기도,여주시,이천,20161213,2.2,0.0,1.0,64.1
경기도 여주시 가남읍 금당리,닭-산란계,541023,20150202,20150123,203,이천,경기도,여주시,이천,20150123,-1.2,0.0,0.6,81.4
경기도 여주시 가남읍 삼군리,메추리-비분류,110000,20201209,20201208,203,이천,경기도,여주시,이천,20201208,-1.1,0.0,0.9,54.3
경기도 여주시 가남읍 은봉리,닭-산란계,193000,20201207,20201206,203,이천,경기도,여주시,이천,20201206,2.1,0.0,0.9,76.9
경기도 여주시 가남읍 은봉리,닭-산란계,120000,20161210,20161206,203,이천,경기도,여주시,이천,20161206,-0.5,0.0,1.8,38.5
경기도 여주시 가남읍 하귀리,닭-산란계,409447,20161218,20161213,203,이천,경기도,여주시,이천,20161213,2.2,0.0,1.0,64.1
경기도 여주시 가남읍 하귀리,닭-산란계,300000,20150121,20150114,203,이천,경기도,여주시,이천,20150114,0.3,0.0,0.5,56.1
경기도 여주시 능서면 광대리,오리-종오리,29386,20161214,20161209,203,이천,경기도,여주시,이천,20161209,2.1,1.4,1.7,64.5
경기도 여주시 능서면 광대리,오리-종오리,41200,20150202,20150123,203,이천,경기도,여주시,이천,20150123,-1.2,0.0,0.6,81.4
경기도 여주시 능서면 광대리,닭-산란계,30000,20110223,20110223,203,이천,경기도,여주시,이천,20110223,4.4,0.0,1.1,60.5
경기도 여주시 능서면 마래리,닭-산란계,208300,20201229,20201228,203,이천,경기도,여주시,이천,20201228,4.0,0.0,0.5,74.5
경기도 여주시 능서면 마래리,닭-육계,55000,20161230,20161226,203,이천,경기도,여주시,이천,20161226,1.7,1.1,0.6,84.9
경기도 여주시 능서면 마래리,메추리-비분류,100000,20170101,20161224,203,이천,경기도,여주시,이천,20161224,-2.1,0.0,0.9,64.5
경기도 여주시 능서면 마래리,닭-산란계,208100,20161210,20161207,203,이천,경기도,여주시,이천,20161207,-1.9,0.1,0.7,71.0
경기도 여주시 능서면 용은리,닭-산란계,48000,20161220,20161218,203,이천,경기도,여주시,이천,20161218,1.9,0.0,0.7,76.3
경기도 여주시 점동면 당진리,닭-산란계,153600,20201222,20201221,203,이천,경기도,여주시,이천,20201221,-3.8,0.0,0.6,72.9
경기도 여주시 흥천면 율극리,닭-산란계,250000,20161228,20161224,203,이천,경기도,여주시,이천,20161224,-2.1,0.0,0.9,64.5
경기도 여주시 흥천면 율극리,닭-산란계,120417,20161228,20161223,203,이천,경기도,여주시,이천,20161223,-0.5,0.5,2.6,66.1
경기도 연천군 미산면 백석리,닭-산란계,16000,20110524,20110524,98,동두천,경기도,연천군,동두천,20110524,19.7,0.0,0.7,46.5
경기도 연천군 연천읍 상리,닭-산란계,9874,20170118,20170112,98,동두천,경기도,연천군,동두천,20170112,-3.2,0.0,2.4,44.4
