번호,주소,축종,"사육
두수",진단일,발생일
1094,전라북도 익산시 함열읍 석매리,닭-원종계,13000,2006-11-25,2006-11-25
1095,전라북도 익산시 함열읍 석매리,닭-원종계,13000,2006-11-25,2006-11-25
1096,경기도 양주시 은현면 하패리,닭-산란계,22000,2004-03-21,2004-03-21
1097,경기도 양주시 은현면 하패리,닭-산란계,22000,2004-03-21,2004-03-21
1098,충청남도 아산시 탕정면 용두리,오리,14910,2004-02-05,2004-02-05
1099,충청남도 천안시 풍세면 용정리,닭-산란계,22200,2004-01-26,2004-01-26
1100,충청남도 천안시 서북구 직산읍 석곡리,오리-산란오리,8500,2004-01-04,2004-01-04
1101,경상남도 양산시 하북면 백록리,닭-산란계,17000,2004-01-13,2004-01-13
1102,충청남도 천안시 직산읍 판정리,오리,8800,2003-12-24,2003-12-24
1103,충청남도 천안시 동남구 북면 운용리,오리,4758,2003-12-24,2003-12-24
1104,충청남도 천안시 서북구 직산읍 신갈리,닭-육계,17800,2003-12-26,2003-12-26
1105,충청북도 진천군 진천읍 신정리,오리,5000,2003-12-24,2003-12-24
1106,충청북도 음성군 대소면 태생리,오리,6500,2003-12-24,2003-12-24
1107,충청북도 음성군 대소면 태생리,오리,8000,2003-12-24,2003-12-24
1108,충청북도 음성군 삼성면 용성리,닭,15000,2003-12-19,2003-12-19
1109,충청북도 음성군 삼성면 덕정리,오리,3200,2003-12-17,2003-12-17
1110,충청북도 음성군 삼성면 용성리,닭-육계,24000,2003-12-12,2003-12-12
1111,울산광역시 울주군 상북면 명촌리,닭-육계,3610,2003-12-27,2003-12-27
1112,울산광역시 울주군 상북면 명촌리,닭-육계,3610,2003-12-27,2003-12-27
1113,전라남도 나주시 산포면 매성리,오리,14900,2003-12-25,2003-12-25
1114,전라남도 나주시 산포면 매성리,오리,14900,2003-12-21,2003-12-21
1115,경상북도 경주시 안강읍 육통리,닭-산란계,10650,2003-12-24,2003-12-24
1116,경상북도 경주시 안강읍 육통리,닭-산란계,10650,2003-12-21,2003-12-21
1117,경상북도 경주시 안강읍 육통리,닭-산란계,144000,2003-12-24,2003-12-24
1118,경상북도 경주시 안강읍 육통리,닭-산란계,144000,2003-12-24,2003-12-24
1119,경기도 이천시 율면 신추리,닭-산란계,43728,2003-12-25,2003-12-25
1120,경기도 이천시 율면 신추리,닭-산란계,43728,2003-12-25,2003-12-25
1121,전라북도 정읍시 소성면 기린리,오리-육용오리,19000,2020-11-28,2020-11-26
1122,충청북도 청주시 청원구 오창읍 성재리,오리-육용오리,10300,2016-12-26,2016-12-23
