지역,month,year,밀집도,발생건수
경기도,5,2012,98.01373109,2.0
경기도,5,2013,92.10335535,2.0
경기도,5,2014,90.24689117,2.0
경기도,5,2015,89.86802093,2.0
경기도,5,2016,83.73032304,2.0
경기도,5,2017,70.35620357,2.0
경기도,5,2018,75.16785562,2.0
경기도,5,2019,77.28952896,2.0
경기도,5,2020,74.33434109,2.0
경기도,6,2012,98.01373109,2.0
경기도,6,2013,92.10335535,2.0
경기도,6,2014,90.24689117,2.0
경기도,6,2015,89.86802093,2.0
경기도,6,2016,83.73032304,2.0
경기도,6,2017,70.35620357,2.0
경기도,6,2018,75.16785562,2.0
경기도,6,2019,77.28952896,2.0
경기도,6,2020,74.33434109,2.0
경기도,7,2012,98.01373109,0.0
경기도,7,2013,92.10335535,0.0
경기도,7,2014,90.24689117,0.0
경기도,7,2015,89.86802093,0.0
경기도,7,2016,83.73032304,0.0
경기도,7,2017,70.35620357,0.0
경기도,7,2018,75.16785562,0.0
경기도,7,2019,77.28952896,0.0
경기도,7,2020,74.33434109,0.0
경기도,8,2012,98.01373109,0.0
경기도,8,2013,92.10335535,0.0
경기도,8,2014,90.24689117,0.0
경기도,8,2015,89.86802093,0.0
경기도,8,2016,83.73032304,0.0
경기도,8,2017,70.35620357,0.0
경기도,8,2018,75.16785562,0.0
경기도,8,2019,77.28952896,0.0
경기도,8,2020,74.33434109,0.0
경기도,9,2012,98.01373109,0.0
경기도,9,2013,92.10335535,0.0
경기도,9,2014,90.24689117,0.0
경기도,9,2015,89.86802093,0.0
경기도,9,2016,83.73032304,0.0
경기도,9,2017,70.35620357,0.0
경기도,9,2018,75.16785562,0.0
경기도,9,2019,77.28952896,0.0
경기도,9,2020,74.33434109,0.0
경기도,10,2012,98.01373109,0.0
경기도,10,2013,92.10335535,0.0
경기도,10,2014,90.24689117,0.0
경기도,10,2015,89.86802093,0.0
경기도,10,2016,83.73032304,0.0
경기도,10,2017,70.35620357,0.0
경기도,10,2018,75.16785562,0.0
경기도,10,2019,77.28952896,0.0
경기도,10,2020,74.33434109,0.0
경기도,11,2012,98.01373109,10.0
경기도,11,2013,92.10335535,10.0
경기도,11,2014,90.24689117,10.0
경기도,11,2015,89.86802093,10.0
경기도,11,2016,83.73032304,10.0
경기도,11,2017,70.35620357,10.0
경기도,11,2018,75.16785562,10.0
경기도,11,2019,77.28952896,10.0
경기도,11,2020,74.33434109,10.0
경기도,12,2012,98.01373109,111.0
경기도,12,2013,92.10335535,111.0
경기도,12,2014,90.24689117,111.0
경기도,12,2015,89.86802093,111.0
경기도,12,2016,83.73032304,111.0
경기도,12,2017,70.35620357,111.0
경기도,12,2018,75.16785562,111.0
경기도,12,2019,77.28952896,111.0
경기도,12,2020,74.33434109,111.0
경상남도,1,2012,129.84861370000002,3.0
경상남도,1,2013,122.06742340000002,3.0
경상남도,1,2014,113.3135842,3.0
경상남도,1,2015,111.04407040000001,3.0
경상남도,1,2016,109.42298909999998,3.0
경상남도,1,2017,105.85661019999999,3.0
경상남도,1,2018,107.1534752,3.0
경상남도,1,2019,113.7999086,3.0
경상남도,1,2020,107.8019078,3.0
경상남도,2,2012,129.84861370000002,1.0
경상남도,2,2013,122.06742340000002,1.0
경상남도,2,2014,113.3135842,1.0
경상남도,2,2015,111.04407040000001,1.0
경상남도,2,2016,109.42298909999998,1.0
경상남도,2,2017,105.85661019999999,1.0
경상남도,2,2018,107.1534752,1.0
경상남도,2,2019,113.7999086,1.0
경상남도,2,2020,107.8019078,1.0
경상남도,3,2012,129.84861370000002,0.0
경상남도,3,2013,122.06742340000002,0.0
경상남도,3,2014,113.3135842,0.0
경상남도,3,2015,111.04407040000001,0.0
경상남도,3,2016,109.42298909999998,0.0
경상남도,3,2017,105.85661019999999,0.0
경상남도,3,2018,107.1534752,0.0
경상남도,3,2019,113.7999086,0.0
경상남도,3,2020,107.8019078,0.0
경상남도,4,2012,129.84861370000002,1.0
경상남도,4,2013,122.06742340000002,1.0
경상남도,4,2014,113.3135842,1.0
경상남도,4,2015,111.04407040000001,1.0
경상남도,4,2016,109.42298909999998,1.0
경상남도,4,2017,105.85661019999999,1.0
경상남도,4,2018,107.1534752,1.0
경상남도,4,2019,113.7999086,1.0
경상남도,4,2020,107.8019078,1.0
경상남도,5,2012,129.84861370000002,0.0
경상남도,5,2013,122.06742340000002,0.0
경상남도,5,2014,113.3135842,0.0
경상남도,5,2015,111.04407040000001,0.0
경상남도,5,2016,109.42298909999998,0.0
경상남도,5,2017,105.85661019999999,0.0
경상남도,5,2018,107.1534752,0.0
경상남도,5,2019,113.7999086,0.0
경상남도,5,2020,107.8019078,0.0
경상남도,6,2012,129.84861370000002,3.0
경상남도,6,2013,122.06742340000002,3.0
경상남도,6,2014,113.3135842,3.0
경상남도,6,2015,111.04407040000001,3.0
