주소,x,y
전라북도 군산시,126.7368405,35.96746656
전라북도 익산시,126.9577445,35.94826286
전라북도 정읍시,126.8560056,35.56987803
전라북도 남원시,127.3903964,35.41636275
전라북도 김제시,126.8806551,35.80358528
전라북도 완주군,127.162119,35.9048146
전라북도 진안군,127.4248655,35.7917723
전라북도 무주군,127.6608063,36.00684374
전라북도 장수군,127.5215991,35.64734798
전라북도 임실군,127.2890875,35.61785451
전라북도 순창군,127.1373649,35.37444523
전라북도 고창군,126.7021204,35.43569822
전라북도 부안군,126.7330202,35.73166142
전라남도 목포시,126.392266,34.81182388
전라남도 여수시,127.6623313,34.76040106
전라남도 순천시,127.4873829,34.95060978
전라남도 나주시,126.7108293,35.01589769
전라남도 광양시,127.6959308,34.94042525
전라남도 담양군,126.9882107,35.32121077
전라남도 곡성군,127.2919296,35.28202584
전라남도 구례군,127.4627036,35.20249636
전라남도 고흥군,127.2849687,34.61108202
전라남도 보성군,127.0798327,34.77132024
전라남도 화순군,126.9865024,35.06451198
전라남도 장흥군,126.9070584,34.68161207
전라남도 강진군,126.7672135,34.64206153
전라남도 해남군,126.5992701,34.57351659
전라남도 영암군,126.6967626,34.80005911
전라남도 무안군,126.4817048,34.99034062
전라남도 함평군,126.5166248,35.06591117
전라남도 영광군,126.5120138,35.27719003
전라남도 장성군,126.7849189,35.30185768
전라남도 완도군,126.7549987,34.31097892
전라남도 진도군,126.2634462,34.48682862
전라남도 신안군,126.351408,34.83364292
경상북도 포항시,129.3431646,36.01899543
경상북도 경주시,129.2247817,35.85621846
경상북도 김천시,128.1136245,36.13988817
경상북도 안동시,128.7295874,36.56846076
경상북도 구미시,128.3442464,36.11957085
경상북도 영주시,128.623937,36.80561928
경상북도 영천시,128.9385509,35.9732205
경상북도 상주시,128.1591451,36.4109398
경상북도 문경시,128.1867719,36.58652737
경상북도 경산시,128.7413166,35.82508159
경상북도 군위군,128.5728148,36.24291309
경상북도 의성군,128.6970778,36.35271644
경상북도 청송군,129.0570706,36.43622996
경상북도 영양군,129.1125102,36.66670286
경상북도 영덕군,129.3653068,36.41506188
경상북도 청도군,128.7340153,35.64738481
경상북도 고령군,128.2628958,35.72606532
경상북도 성주군,128.2829346,35.9190934
경상북도 칠곡군,128.4016622,35.99558969
경상북도 예천군,128.4529249,36.65765386
경상북도 봉화군,128.7323867,36.8931351
경상북도 울진군,129.400547,36.99303492
경상북도 울릉군,130.9057218,37.48444129
경상남도 진주시,128.1077063,35.18022283
경상남도 통영시,128.4331492,34.85444482
경상남도 사천시,128.0642126,35.00367718
경상남도 김해시,128.8893627,35.22856536
경상남도 밀양시,128.7466075,35.50381727
경상남도 거제시,128.6211295,34.88053905
경상남도 양산시,129.0372728,35.33499206
경상남도 창원시,128.6818341,35.22793981
경상남도 의령군,128.2616865,35.32223522
경상남도 함안군,128.4064235,35.27240684
경상남도 창녕군,128.4921681,35.54461538
경상남도 고성군,128.3223613,34.97306184
경상남도 남해군,127.8926532,34.83771055
경상남도 하동군,127.751308,35.0673056
경상남도 산청군,127.87335,35.41553039
경상남도 함양군,127.7251605,35.52052717
경상남도 거창군,127.909503,35.68668463
경상남도 합천군,128.1657908,35.56667034
제주특별자치도 제주시,126.5311711,33.49953424
제주특별자치도 서귀포시,126.5595635,33.25406463
