주소,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
울산광역시 중구,4.89 태화강 3,12.39 양산발생지 3,39.35 양산천 2,40.26 형산강 1,43.51 낙동강 3,43.69 낙동강 2,57.1 화포천 2,62.24 안심습지 3,62.44 낙동강하구 2,65.71 동판저수지 2,66.15 주남저수지 3,77.55 장척저수지 3,81.35 사지포 3,81.7 금호강 1,83.13 창녕우포 3,83.81 목포늪 3,84.25 낙동강 2,107.67 산남저수지 3,110.67 구미 3,123.55 김천 2,132.29 사천만 3,182.35 순천만 1,191.86 충주호 3,196.88 전주천 2,198.22 주암댐 2,199.18 무심천 2,207.61 보강천 2,209.33 논산천 2,209.37 미호천 1,214.13 만경강 1,217.2 원평천 3,220.35 병천천 2,220.95 송정저수지 2,223.77 동진강 1,224.94 담양습지 3,225.54 백곡지 2,228.42 지석천 2,231.19 황룡강 2,233.84 곡교천 1,236.4 동림저수지 1,236.77 풍세천 1,236.9 원주천 2,238.43 봉선저수지 2,238.45 금강하구둑 1,238.84 금강호 2,241.2 봉강천 1,244.77 청미천 1,244.79 조류지 2,245.74 남대천 3,245.88 섬강 1,247.7 안성천 1,254.85 고막원천 2,259.16 무한천 2,259.24 만덕간척지 2,259.59 우습제 2,260.92 함평대동저수지 2,262.06 강진만 2,263.5 아산호 2,263.54 진위천 2,266.33 삽교호 2,266.72 남한강 2,266.79 사내간척지 2,269.52 경안천 2,275.39 황구지천 2,277.33 영암호 1,277.7 남양호 2,277.95 원천리천 3,278.21 산수저수지 2,278.82 해미천 2,282.62 팔당호 2,283.21 서호 3,285.04 간월호 2,285.07 고천암 2,285.26 영산강 2,285.98 천수만 1,287.04 금호호 1,287.11 도당천 2,287.88 왕송호수 3,288.85 남대천 3,292.12 잠홍지 2,292.54 탄천 2,292.97 화성호 2,294.59 부남호 2,294.93 소양강 하류 2,295.33 석문간척지 2,302.01 대호 2,303.08 중랑천 2,306.37 시화호 1,308.12 안양천  3,317.91 강서지구 3,319.97 하도리 2,320.88 포천천 2,321.5 종달리 3,322.1 오조리 3,325.59 공릉천 1,326.39 한강하구 1,330.88 상패천 2,342.34 문산천 2,342.75 임진강 2,345.01 한탄강 2,352.76 토교저수지 2,356.59 철원평야 2,381.91 용수저수지 2
울산광역시 남구,3.67 태화강 3,9.82 양산발생지 3,37.25 양산천 2,41.28 낙동강 3,41.96 낙동강 2,43.01 형산강 1,55.52 화포천 2,59.97 낙동강하구 2,63.61 안심습지 3,64.26 동판저수지 2,64.77 주남저수지 3,76.82 장척저수지 3,81.15 사지포 3,82.5 금호강 1,82.89 창녕우포 3,83.61 목포늪 3,85.11 낙동강 2,106.85 산남저수지 3,112.29 구미 3,124.73 김천 2,130.83 사천만 3,180.99 순천만 1,194.04 충주호 3,197.08 전주천 2,197.24 주암댐 2,200.64 무심천 2,209.32 보강천 2,210.09 논산천 2,210.65 미호천 1,214.43 만경강 1,217.28 원평천 3,221.86 병천천 2,222.53 송정저수지 2,223.75 동진강 1,224.29 담양습지 3,227.22 백곡지 2,227.46 지석천 2,230.68 황룡강 2,235.24 곡교천 1,236.19 동림저수지 1,238.18 풍세천 1,238.87 금강하구둑 1,239.0 봉선저수지 2,239.22 원주천 2,239.24 금강호 2,242.61 봉강천 1,244.89 조류지 2,246.65 청미천 1,248.27 섬강 1,248.53 남대천 3,249.38 안성천 1,254.05 고막원천 2,257.84 만덕간척지 2,258.65 우습제 2,260.21 함평대동저수지 2,260.41 무한천 2,260.59 강진만 2,264.95 아산호 2,265.24 진위천 2,265.31 사내간척지 2,267.73 삽교호 2,268.85 남한강 2,271.44 경안천 2,276.17 영암호 1,277.14 황구지천 2,279.2 남양호 2,279.34 산수저수지 2,279.75 원천리천 3,279.95 해미천 2,283.74 고천암 2,284.2 영산강 2,284.68 팔당호 2,284.99 서호 3,285.82 금호호 1,286.08 간월호 2,286.97 천수만 1,288.32 도당천 2,289.65 왕송호수 3,291.59 남대천 3,293.37 잠홍지 2,294.49 화성호 2,294.5 탄천 2,295.62 부남호 2,296.69 석문간척지 2,297.34 소양강 하류 2,303.38 대호 2,305.09 중랑천 2,308.03 시화호 1,309.99 안양천  3,317.8 하도리 2,319.32 종달리 3,319.8 강서지구 3,319.89 오조리 3,323.06 포천천 2,327.55 공릉천 1,328.27 한강하구 1,333.02 상패천 2,344.33 문산천 2,344.67 임진강 2,347.33 한탄강 2,355.11 토교저수지 2,358.92 철원평야 2,379.9 용수저수지 2
울산광역시 동구,5.58 태화강 3,13.88 양산발생지 3,41.19 양산천 2,44.56 낙동강 3,47.1 낙동강 2,49.24 형산강 1,60.92 화포천 2,61.66 낙동강하구 2,69.95 동판저수지 2,70.65 주남저수지 3,72.52 안심습지 3,84.08 장척저수지 3,89.19 사지포 3,90.89 창녕우포 3,91.39 금호강 1,91.66 목포늪 3,94.01 낙동강 2,113.84 산남저수지 3,121.09 구미 3,133.68 김천 2,136.26 사천만 3,186.61 순천만 1,202.14 충주호 3,203.77 주암댐 2,205.51 전주천 2,209.53 무심천 2,218.05 보강천 2,218.95 논산천 2,219.59 미호천 1,222.96 만경강 1,225.58 원평천 3,230.72 병천천 2,231.36 송정저수지 2,231.52 담양습지 3,231.94 동진강 1,234.05 지석천 2,235.98 백곡지 2,238.13 황룡강 2,244.13 동림저수지 1,244.15 곡교천 1,247.0 원주천 2,247.09 풍세천 1,247.51 금강하구둑 1,247.74 봉선저수지 2,247.86 금강호 2,251.52 봉강천 1,253.21 조류지 2,254.09 남대천 3,255.22 청미천 1,255.85 섬강 1,258.14 안성천 1,260.95 고막원천 2,263.31 만덕간척지 2,265.24 우습제 2,265.84 강진만 2,267.3 함평대동저수지 2,269.36 무한천 2,270.53 사내간척지 2,273.84 아산호 2,273.99 진위천 2,276.64 삽교호 2,277.04 남한강 2,279.96 경안천 2,282.23 영암호 1,285.84 황구지천 2,288.07 남양호 2,288.28 산수저수지 2,288.41 원천리천 3,288.89 해미천 2,289.37 고천암 2,290.51 영산강 2,291.76 금호호 1,292.99 팔당호 2,293.67 서호 3,295.02 간월호 2,295.9 천수만 1,297.26 도당천 2,297.52 남대천 3,298.33 왕송호수 3,302.31 잠홍지 2,302.96 탄천 2,303.35 화성호 2,304.56 부남호 2,304.86 소양강 하류 2,305.61 석문간척지 2,312.3 대호 2,313.49 중랑천 2,316.8 시화호 1,318.57 안양천  3,320.47 하도리 2,321.93 종달리 3,322.39 오조리 3,328.36 강서지구 3,331.14 포천천 2,336.01 공릉천 1,336.84 한강하구 1,341.2 상패천 2,352.75 문산천 2,353.18 임진강 2,355.11 한탄강 2,362.81 토교저수지 2,366.68 철원평야 2,383.25 용수저수지 2
울산광역시 북구,5.07 태화강 3,14.99 양산발생지 3,39.47 형산강 1,42.24 양산천 2,46.35 낙동강 3,46.66 낙동강 2,60.08 화포천 2,63.71 안심습지 3,65.13 낙동강하구 2,68.69 동판저수지 2,69.12 주남저수지 3,80.37 장척저수지 3,83.66 금호강 1,83.96 사지포 3,85.76 창녕우포 3,86.16 낙동강 2,86.41 목포늪 3,110.52 산남저수지 3,111.8 구미 3,125.15 김천 2,135.26 사천만 3,185.31 순천만 1,192.2 충주호 3,199.24 전주천 2,200.48 무심천 2,201.12 주암댐 2,208.6 보강천 2,210.86 미호천 1,211.29 논산천 2,216.42 만경강 1,219.63 원평천 3,221.57 병천천 2,222.1 송정저수지 2,226.26 동진강 1,226.58 백곡지 2,227.72 담양습지 3,231.3 지석천 2,233.92 황룡강 2,235.18 곡교천 1,237.0 원주천 2,238.12 풍세천 1,238.98 동림저수지 1,240.54 봉선저수지 2,240.65 금강하구둑 1,241.06 금강호 2,242.53 봉강천 1,244.7 남대천 3,245.56 청미천 1,245.85 섬강 1,247.2 조류지 2,248.73 안성천 1,257.69 고막원천 2,260.67 무한천 2,262.21 만덕간척지 2,262.47 우습제 2,263.72 함평대동저수지 2,264.55 진위천 2,264.79 아산호 2,265.03 강진만 2,267.13 남한강 2,267.68 삽교호 2,269.77 사내간척지 2,270.25 경안천 2,276.33 황구지천 2,278.84 원천리천 3,278.94 남양호 2,279.83 산수저수지 2,280.27 영암호 1,280.43 해미천 2,283.13 팔당호 2,284.12 서호 3,286.74 간월호 2,287.73 천수만 1,287.96 남대천 3,288.03 고천암 2,288.17 영산강 2,288.64 도당천 2,288.78 왕송호수 3,289.98 금호호 1,293.2 탄천 2,293.62 잠홍지 2,294.17 화성호 2,294.87 소양강 하류 2,296.3 부남호 2,296.71 석문간척지 2,303.38 대호 2,303.69 중랑천 2,307.42 시화호 1,308.91 안양천  3,318.68 강서지구 3,321.2 포천천 2,322.84 하도리 2,324.37 종달리 3,324.96 오조리 3,326.25 공릉천 1,327.16 한강하구 1,331.28 상패천 2,342.95 문산천 2,343.45 임진강 2,345.11 한탄강 2,352.81 토교저수지 2,356.69 철원평야 2,384.84 용수저수지 2
울산광역시 울주군,6.21 양산발생지 3,11.69 태화강 3,29.86 양산천 2,33.96 낙동강 2,34.2 낙동강 3,44.63 형산강 1,47.38 화포천 2,53.61 낙동강하구 2,56.04 동판저수지 2,56.52 주남저수지 3,58.76 안심습지 3,68.6 장척저수지 3,73.31 사지포 3,75.02 창녕우포 3,75.78 목포늪 3,76.2 금호강 1,78.91 낙동강 2,98.59 산남저수지 3,107.96 구미 3,119.16 김천 2,122.62 사천만 3,172.73 순천만 1,188.93 주암댐 2,189.63 전주천 2,191.57 충주호 3,195.69 무심천 2,203.54 논산천 2,205.13 보강천 2,205.21 미호천 1,207.12 만경강 1,209.68 원평천 3,216.05 동진강 1,216.09 담양습지 3,217.05 병천천 2,217.93 송정저수지 2,219.16 지석천 2,222.54 황룡강 2,222.9 백곡지 2,228.29 동림저수지 1,230.13 곡교천 1,231.74 금강하구둑 1,232.08 금강호 2,232.09 봉선저수지 2,233.06 풍세천 1,237.31 조류지 2,237.35 원주천 2,237.53 봉강천 1,242.96 청미천 1,245.03 안성천 1,245.78 고막원천 2,246.75 섬강 1,249.6 만덕간척지 2,249.84 남대천 3,250.35 우습제 2,251.97 함평대동저수지 2,252.39 강진만 2,254.9 무한천 2,257.11 사내간척지 2,259.96 아산호 2,260.95 진위천 2,262.59 삽교호 2,266.1 남한강 2,267.86 영암호 1,267.87 경안천 2,273.0 황구지천 2,273.53 산수저수지 2,274.14 해미천 2,274.34 남양호 2,275.47 고천암 2,275.78 원천리천 3,275.89 영산강 2,277.53 금호호 1,280.07 간월호 2,280.85 천수만 1,280.96 서호 3,281.66 팔당호 2,282.7 도당천 2,285.61 왕송호수 3,287.84 잠홍지 2,289.59 부남호 2,289.69 화성호 2,291.08 탄천 2,291.46 석문간척지 2,292.43 남대천 3,295.86 소양강 하류 2,298.15 대호 2,301.82 중랑천 2,303.6 시화호 1,306.25 안양천  3,310.46 하도리 2,312.01 종달리 3,312.63 오조리 3,316.11 강서지구 3,320.52 포천천 2,324.12 공릉천 1,324.56 한강하구 1,330.27 상패천 2,341.02 문산천 2,341.12 임진강 2,345.38 한탄강 2,353.29 토교저수지 2,356.98 철원평야 2,372.26 용수저수지 2
세종특별자치시 세종시,4.83 미호천 1,22.15 무심천 2,27.66 병천천 2,29.22 곡교천 1,31.77 풍세천 1,33.85 송정저수지 2,35.83 논산천 2,36.25 봉강천 1,42.71 보강천 2,44.06 백곡지 2,49.47 무한천 2,57.32 안성천 1,58.21 아산호 2,59.12 삽교호 2,60.79 봉선저수지 2,68.82 산수저수지 2,69.42 해미천 2,70.57 만경강 1,70.6 금강하구둑 1,71.07 진위천 2,71.95 청미천 1,72.46 금강호 2,73.41 남양호 2,76.16 전주천 2,76.86 간월호 2,77.29 도당천 2,78.91 천수만 1,82.39 잠홍지 2,84.25 황구지천 2,86.31 김천 2,86.51 부남호 2,86.88 석문간척지 2,87.42 충주호 3,87.48 원평천 3,88.86 화성호 2,89.8 원천리천 3,92.37 경안천 2,92.93 서호 3,93.55 대호 2,96.59 동진강 1,96.87 왕송호수 3,97.23 조류지 2,102.13 구미 3,106.89 시화호 1,110.52 남한강 2,114.06 탄천 2,115.36 팔당호 2,115.48 동림저수지 1,115.87 원주천 2,120.65 안양천  3,126.32 중랑천 2,127.02 낙동강 2,129.49 섬강 1,129.93 금호강 1,130.44 강서지구 3,135.67 황룡강 2,137.77 한강하구 1,142.48 공릉천 1,142.67 담양습지 3,143.18 목포늪 3,144.52 창녕우포 3,144.98 사지포 3,147.66 안심습지 3,148.71 산남저수지 3,155.64 임진강 2,157.53 포천천 2,157.59 주암댐 2,158.88 장척저수지 3,159.89 문산천 2,161.36 상패천 2,162.62 소양강 하류 2,165.73 함평대동저수지 2,167.11 지석천 2,169.15 고막원천 2,174.19 사천만 3,178.29 순천만 1,179.78 주남저수지 3,181.72 동판저수지 2,182.86 우습제 2,185.55 형산강 1,187.34 화포천 2,191.35 한탄강 2,194.23 낙동강 2,201.06 남대천 3,201.15 토교저수지 2,201.68 철원평야 2,202.08 양산천 2,204.55 낙동강 3,208.34 영산강 2,210.57 양산발생지 3,211.49 영암호 1,213.8 낙동강하구 2,214.49 태화강 3,217.03 남대천 3,218.18 만덕간척지 2,221.95 금호호 1,226.11 강진만 2,229.95 사내간척지 2,229.95 고천암 2,331.58 하도리 2,334.22 종달리 3,337.12 오조리 3,365.77 용수저수지 2
경기도 수원시,1.87 원천리천 3,4.09 서호 3,6.18 황구지천 2,8.7 왕송호수 3,19.02 경안천 2,19.05 진위천 2,26.55 탄천 2,30.96 안양천  3,31.8 시화호 1,34.01 남양호 2,34.07 안성천 1,34.67 화성호 2,36.06 청미천 1,37.12 팔당호 2,37.96 중랑천 2,40.99 강서지구 3,41.62 아산호 2,46.62 삽교호 2,46.78 남한강 2,48.95 한강하구 1,52.41 공릉천 1,53.06 석문간척지 2,55.06 백곡지 2,55.57 대호 2,55.76 봉강천 1,59.54 풍세천 1,61.55 곡교천 1,62.37 송정저수지 2,63.16 무한천 2,64.93 잠홍지 2,65.86 병천천 2,66.62 임진강 2,67.64 도당천 2,69.91 문산천 2,71.88 포천천 2,72.08 보강천 2,72.96 상패천 2,74.86 산수저수지 2,74.89 해미천 2,81.8 원주천 2,85.16 간월호 2,86.85 무심천 2,87.02 미호천 1,89.07 부남호 2,89.12 섬강 1,90.87 천수만 1,94.61 소양강 하류 2,97.99 충주호 3,106.54 한탄강 2,115.65 철원평야 2,116.35 토교저수지 2,120.55 논산천 2,128.86 봉선저수지 2,140.57 금강하구둑 1,142.51 금강호 2,152.51 만경강 1,162.77 김천 2,163.0 전주천 2,168.27 조류지 2,168.87 원평천 3,169.12 구미 3,170.33 남대천 3,173.89 남대천 3,176.3 동진강 1,192.55 동림저수지 1,203.53 낙동강 2,206.61 금호강 1,216.32 황룡강 2,218.48 안심습지 3,225.36 담양습지 3,225.75 목포늪 3,227.12 창녕우포 3,227.18 사지포 3,236.11 산남저수지 3,241.59 함평대동저수지 2,241.94 장척저수지 3,245.32 주암댐 2,247.21 고막원천 2,247.25 형산강 1,250.89 지석천 2,261.47 우습제 2,262.02 주남저수지 3,263.74 사천만 3,263.96 동판저수지 2,267.75 순천만 1,268.24 화포천 2,272.79 낙동강 2,279.94 양산천 2,282.8 양산발생지 3,283.17 낙동강 3,283.99 영산강 2,284.13 태화강 3,289.66 영암호 1,295.31 낙동강하구 2,299.3 금호호 1,300.93 만덕간척지 2,308.94 고천암 2,309.16 강진만 2,312.59 사내간척지 2,416.8 하도리 2,419.51 종달리 3,422.62 오조리 3,445.37 용수저수지 2
경기도 성남시,8.64 탄천 2,15.56 경안천 2,18.55 원천리천 3,18.82 팔당호 2,19.81 서호 3,20.2 왕송호수 3,20.92 중랑천 2,24.57 안양천  3,25.22 황구지천 2,32.94 남한강 2,33.48 강서지구 3,36.02 진위천 2,40.77 청미천 1,40.87 공릉천 1,41.96 한강하구 1,42.05 시화호 1,48.17 안성천 1,51.77 화성호 2,53.25 포천천 2,53.3 남양호 2,55.88 상패천 2,57.76 임진강 2,58.2 문산천 2,60.83 아산호 2,66.01 삽교호 2,66.12 백곡지 2,70.85 석문간척지 2,72.08 원주천 2,72.47 대호 2,72.97 봉강천 1,74.92 송정저수지 2,76.02 소양강 하류 2,76.34 풍세천 1,76.9 섬강 1,78.01 곡교천 1,79.47 병천천 2,81.04 보강천 2,82.4 무한천 2,83.45 잠홍지 2,86.57 도당천 2,87.86 한탄강 2,94.2 산수저수지 2,94.21 해미천 2,97.38 철원평야 2,97.67 충주호 3,97.71 토교저수지 2,99.12 무심천 2,101.94 미호천 1,104.35 간월호 2,107.88 부남호 2,110.07 천수만 1,137.58 논산천 2,147.63 봉선저수지 2,153.72 남대천 3,159.34 금강하구둑 1,160.67 남대천 3,161.3 금강호 2,170.3 만경강 1,172.29 김천 2,176.15 구미 3,179.95 전주천 2,186.85 원평천 3,187.18 조류지 2,194.52 동진강 1,211.12 동림저수지 1,212.24 낙동강 2,215.32 금호강 1,225.38 안심습지 3,234.59 황룡강 2,236.09 목포늪 3,237.37 사지포 3,237.46 창녕우포 3,243.37 담양습지 3,248.41 산남저수지 3,251.33 형산강 1,252.31 장척저수지 3,260.42 함평대동저수지 2,262.2 주암댐 2,265.85 고막원천 2,268.77 지석천 2,271.94 주남저수지 3,273.86 동판저수지 2,277.43 사천만 3,277.62 화포천 2,280.09 우습제 2,281.34 낙동강 2,283.75 순천만 1,288.2 양산천 2,289.3 양산발생지 3,289.87 태화강 3,291.65 낙동강 3,302.91 영산강 2,304.73 낙동강하구 2,308.37 영암호 1,318.1 금호호 1,319.07 만덕간척지 2,327.26 강진만 2,327.59 고천암 2,330.76 사내간척지 2,434.56 하도리 2,437.25 종달리 3,440.31 오조리 3,464.06 용수저수지 2
경기도 의정부시,15.39 중랑천 2,16.92 공릉천 1,20.23 상패천 2,22.83 포천천 2,25.41 강서지구 3,27.44 문산천 2,27.67 탄천 2,28.16 한강하구 1,28.63 안양천  3,32.94 임진강 2,33.96 팔당호 2,48.48 왕송호수 3,50.82 경안천 2,51.05 서호 3,51.13 남한강 2,52.64 원천리천 3,55.75 한탄강 2,57.64 시화호 1,58.95 황구지천 2,63.71 철원평야 2,64.96 소양강 하류 2,65.26 토교저수지 2,71.32 진위천 2,75.58 청미천 1,75.79 화성호 2,82.93 남양호 2,84.4 안성천 1,88.44 섬강 1,89.24 원주천 2,93.6 아산호 2,93.69 대호 2,94.4 석문간척지 2,97.82 삽교호 2,102.17 백곡지 2,108.37 잠홍지 2,108.38 봉강천 1,111.16 송정저수지 2,111.99 풍세천 1,112.89 도당천 2,113.82 곡교천 1,114.75 무한천 2,115.77 병천천 2,116.28 보강천 2,122.5 해미천 2,122.62 산수저수지 2,125.73 충주호 3,131.41 간월호 2,132.96 부남호 2,135.24 무심천 2,137.05 천수만 1,138.2 미호천 1,147.07 남대천 3,164.22 남대천 3,173.18 논산천 2,181.11 봉선저수지 2,192.77 금강하구둑 1,194.7 금강호 2,205.28 만경강 1,207.07 김천 2,209.32 구미 3,215.63 전주천 2,220.22 조류지 2,221.62 원평천 3,228.95 동진강 1,244.94 동림저수지 1,246.37 낙동강 2,249.45 금호강 1,258.16 안심습지 3,268.93 황룡강 2,271.12 목포늪 3,272.32 사지포 3,272.49 창녕우포 3,278.09 담양습지 3,281.46 형산강 1,284.29 산남저수지 3,287.33 장척저수지 3,293.59 함평대동저수지 2,297.94 주암댐 2,299.48 고막원천 2,303.64 지석천 2,306.66 주남저수지 3,308.57 동판저수지 2,312.0 화포천 2,313.65 사천만 3,313.76 우습제 2,315.16 낙동강 2,319.88 순천만 1,321.41 태화강 3,321.51 양산발생지 3,321.8 양산천 2,325.41 낙동강 3,335.78 영산강 2,339.09 낙동강하구 2,341.81 영암호 1,351.31 금호호 1,353.59 만덕간척지 2,361.16 고천암 2,361.84 강진만 2,365.22 사내간척지 2,469.56 하도리 2,472.27 종달리 3,475.39 오조리 3,497.48 용수저수지 2
경기도 안양시,9.69 왕송호수 3,12.95 서호 3,15.12 안양천  3,16.58 원천리천 3,17.0 탄천 2,21.59 황구지천 2,25.18 강서지구 3,25.35 중랑천 2,26.37 경안천 2,26.93 시화호 1,33.29 한강하구 1,33.33 팔당호 2,34.82 진위천 2,36.64 공릉천 1,39.27 화성호 2,44.28 남양호 2,48.22 남한강 2,49.2 청미천 1,49.92 안성천 1,50.83 임진강 2,54.08 문산천 2,54.87 아산호 2,58.5 석문간척지 2,58.99 삽교호 2,59.0 상패천 2,59.27 대호 2,59.72 포천천 2,70.6 백곡지 2,71.03 봉강천 1,71.85 잠홍지 2,74.97 풍세천 1,75.7 도당천 2,75.93 무한천 2,77.08 곡교천 1,78.17 송정저수지 2,81.73 병천천 2,84.53 해미천 2,84.6 산수저수지 2,87.01 원주천 2,87.23 보강천 2,89.14 소양강 하류 2,92.16 섬강 1,94.0 간월호 2,94.04 한탄강 2,96.55 부남호 2,99.7 천수만 1,102.47 철원평야 2,102.65 무심천 2,102.82 미호천 1,103.72 토교저수지 2,109.5 충주호 3,135.66 논산천 2,142.34 봉선저수지 2,153.99 금강하구둑 1,155.91 금강호 2,167.06 만경강 1,168.2 남대천 3,175.93 남대천 3,178.08 전주천 2,178.24 김천 2,181.39 조류지 2,183.24 원평천 3,183.95 구미 3,190.4 동진강 1,206.19 동림저수지 1,218.85 낙동강 2,221.93 금호강 1,230.31 황룡강 2,233.32 안심습지 3,239.62 담양습지 3,241.41 목포늪 3,242.78 창녕우포 3,242.81 사지포 3,251.97 산남저수지 3,254.77 함평대동저수지 2,257.6 장척저수지 3,260.37 주암댐 2,260.69 고막원천 2,261.11 형산강 1,265.24 지석천 2,274.98 우습제 2,277.62 주남저수지 3,279.55 동판저수지 2,279.58 사천만 3,283.17 순천만 1,283.73 화포천 2,288.11 낙동강 2,295.18 양산천 2,296.96 영산강 2,297.55 양산발생지 3,298.47 낙동강 3,298.63 태화강 3,303.0 영암호 1,310.82 낙동강하구 2,312.48 금호호 1,315.01 만덕간척지 2,322.36 고천암 2,323.28 강진만 2,326.62 사내간척지 2,431.19 하도리 2,433.91 종달리 3,437.06 오조리 3,458.66 용수저수지 2
경기도 부천시,9.64 안양천  3,10.51 강서지구 3,15.24 한강하구 1,23.48 시화호 1,24.13 공릉천 1,27.05 왕송호수 3,29.16 중랑천 2,29.61 탄천 2,31.61 서호 3,32.9 임진강 2,36.52 원천리천 3,39.04 문산천 2,40.08 황구지천 2,43.74 화성호 2,46.73 경안천 2,47.2 팔당호 2,52.7 상패천 2,53.16 진위천 2,54.47 남양호 2,57.98 포천천 2,59.51 대호 2,61.06 석문간척지 2,64.63 남한강 2,67.92 아산호 2,68.97 안성천 1,69.96 청미천 1,70.56 삽교호 2,75.22 잠홍지 2,80.34 도당천 2,87.07 봉강천 1,87.28 무한천 2,89.63 한탄강 2,90.38 백곡지 2,90.92 해미천 2,91.12 산수저수지 2,91.34 풍세천 1,93.73 곡교천 1,96.2 철원평야 2,96.64 소양강 하류 2,97.32 송정저수지 2,98.71 토교저수지 2,98.86 간월호 2,99.41 부남호 2,100.34 병천천 2,104.34 천수만 1,104.64 원주천 2,107.44 보강천 2,108.16 섬강 1,120.29 미호천 1,121.7 무심천 2,130.0 충주호 3,150.51 논산천 2,153.59 봉선저수지 2,165.02 금강하구둑 1,166.87 금강호 2,178.12 남대천 3,180.33 만경강 1,190.07 남대천 3,191.62 조류지 2,192.63 전주천 2,195.99 원평천 3,198.08 김천 2,202.54 동진강 1,204.4 구미 3,217.29 동림저수지 1,238.9 낙동강 2,241.98 금호강 1,242.04 황룡강 2,251.91 담양습지 3,253.77 안심습지 3,260.87 목포늪 3,262.24 창녕우포 3,262.33 사지포 3,264.72 함평대동저수지 2,270.47 산남저수지 3,271.23 고막원천 2,274.57 주암댐 2,277.04 장척저수지 3,277.67 지석천 2,281.87 형산강 1,285.53 우습제 2,297.1 사천만 3,297.22 주남저수지 3,298.48 순천만 1,299.15 동판저수지 2,303.52 화포천 2,306.35 영산강 2,308.15 낙동강 2,313.14 영암호 1,315.31 양산천 2,318.06 양산발생지 3,318.53 낙동강 3,319.25 태화강 3,322.27 금호호 1,326.67 만덕간척지 2,330.58 낙동강하구 2,332.62 고천암 2,335.01 강진만 2,338.17 사내간척지 2,443.42 하도리 2,446.16 종달리 3,449.41 오조리 3,468.42 용수저수지 2
경기도 광명시,3.98 안양천  3,13.2 강서지구 3,20.38 왕송호수 3,20.98 탄천 2,20.98 한강하구 1,22.94 중랑천 2,24.57 서호 3,25.61 시화호 1,25.96 공릉천 1,28.86 원천리천 3,33.28 황구지천 2,37.75 경안천 2,38.69 임진강 2,38.73 팔당호 2,42.84 문산천 2,43.4 화성호 2,46.56 진위천 2,51.75 상패천 2,51.85 남양호 2,54.98 포천천 2,55.79 남한강 2,61.35 대호 2,61.43 청미천 1,61.93 석문간척지 2,62.01 안성천 1,64.14 아산호 2,67.5 삽교호 2,75.91 잠홍지 2,80.51 도당천 2,81.89 봉강천 1,82.94 백곡지 2,84.45 무한천 2,86.0 풍세천 1,88.14 한탄강 2,88.24 곡교천 1,90.33 송정저수지 2,90.39 소양강 하류 2,90.39 해미천 2,90.54 산수저수지 2,93.71 병천천 2,95.62 철원평야 2,95.68 원주천 2,97.55 토교저수지 2,99.06 간월호 2,99.51 섬강 1,99.64 보강천 2,100.49 부남호 2,104.67 천수만 1,114.38 미호천 1,114.8 무심천 2,121.0 충주호 3,146.1 논산천 2,151.01 봉선저수지 2,162.57 금강하구둑 1,164.45 금강호 2,171.26 남대천 3,176.78 만경강 1,181.95 남대천 3,188.43 전주천 2,189.59 조류지 2,190.61 김천 2,192.72 원평천 3,196.35 구미 3,199.58 동진강 1,214.87 동림저수지 1,231.25 낙동강 2,234.33 금호강 1,239.32 황룡강 2,245.72 안심습지 3,248.92 담양습지 3,253.7 목포늪 3,255.07 창녕우포 3,255.12 사지포 3,262.89 함평대동저수지 2,263.99 산남저수지 3,269.12 고막원천 2,269.89 장척저수지 3,270.6 주암댐 2,273.31 형산강 1,274.62 지석천 2,283.42 우습제 2,289.95 주남저수지 3,291.25 사천만 3,291.88 동판저수지 2,293.91 순천만 1,296.1 화포천 2,300.51 낙동강 2,304.81 영산강 2,307.59 양산천 2,309.94 양산발생지 3,310.87 낙동강 3,310.97 태화강 3,311.25 영암호 1,320.55 금호호 1,323.18 낙동강하구 2,324.03 만덕간척지 2,330.67 고천암 2,332.33 강진만 2,335.58 사내간척지 2,440.52 하도리 2,443.25 종달리 3,446.45 오조리 3,466.75 용수저수지 2
