시도,시군구,year,cnt,사육 규모,강원도  강릉시,강원도  고성군,강원도  동해시,강원도  삼척시,강원도  속초시,강원도  양양군,강원도  원주시,강원도  철원군,강원도  춘천시,강원도  화천군,강원도  횡성군,경기도  가평군,경기도  광주시,경기도  김포시,경기도  남양주시,경기도  동두천시,경기도  수원시,경기도  시흥시,경기도  안산시,경기도  안성시,경기도  양평군,경기도  여주시,경기도  연천군,경기도  용인시,경기도  의왕시,경기도  이천시,경기도  처인구,경기도  파주시,경기도  평택시,경기도  포천시,경기도  화성시,경상남도 거제시,경상남도 고성군,경상남도 김해시,경상남도 남해군,경상남도 밀양시,경상남도 사천시,경상남도 양산시,경상남도 진주시,경상남도 창녕군,경상남도 창원시,경상남도 합천군,경상북도 경주시,경상북도 구미시,경상북도 김천시,경상북도 봉화군,경상북도 안동시,경상북도 영덕군,경상북도 영천시,경상북도 예천군,경상북도 울진군,경상북도 의성군,경상북도 포항시,광주광역시 광산구,광주광역시 남구,광주광역시 서구,대구광역시 달성군,부산광역시 강서구,부산광역시 남구,부산광역시 사하구,서울특별시 강남구,서울특별시 마포구,서울특별시 성동구,서울특별시 송파구,서울특별시 영등포구,서울특별시 중랑구,세종특별자치시 세종시,울산광역시 남구,울산광역시 북구,울산광역시 울주군,울산광역시 중구,인천광역시 강화군,인천광역시 서구,인천광역시 연수구,인천광역시 중구,전라남도 강진군,전라남도 고흥군,전라남도 광양시,전라남도 담양군,전라남도 보성군,전라남도 순천시,전라남도 여수시,전라남도 완도군,전라남도 장성군,전라남도 장흥군,전라남도 해남군,전라남도  나주시,전라남도  목포시,전라남도  무안군,전라남도  보성군,전라남도  순천시,전라남도  신안군,전라남도  영광군,전라남도  영암군,전라남도  진도군,전라남도  함평군,전라남도  해남군,전라남도  화순군,전라북도 고창군,전라북도 군산시,전라북도 김제시,전라북도 부안군,전라북도 완주군,전라북도 익산시,전라북도 임실군,전라북도 장수군,전라북도 전주시,전라북도 정읍시,전라북도  부안군,제주특별자치도 서귀포시,제주특별자치도 제주시,충청남도 논산시,충청남도 당진시,충청남도 보령시,충청남도 서산시,충청남도 서천군,충청남도 아산시,충청남도 예산군,충청남도 천안시,충청남도 태안군,충청북도 괴산군,충청북도 음성군,충청북도 증평군,충청북도 진천군,충청북도 청주시,충청북도 충주시
전라남도,곡성군,2016,73,3611394.0,308.98,360.08,297.96,293.65,345.26,332.39,235.86,318.56,291.67,316.22,253.43,284.16,238.8,264.53,261.84,292.24,221.59,237.38,230.56,191.93,246.34,226.33,313.58,218.1,231.21,221.69,217.24,279.33,190.86,290.65,217.18,128.93,99.8,145.16,73.68,134.15,76.71,158.48,74.94,112.63,126.35,85.27,186.11,133.05,120.83,221.01,192.91,225.36,167.5,183.46,268.4,173.86,202.66,47.96,39.08,39.25,116.76,153.52,163.62,154.19,249.51,256.39,254.71,248.81,252.07,259.07,133.25,186.98,190.44,178.76,187.65,283.3,257.65,242.94,250.99,85.73,75.33,52.83,27.91,59.96,40.9,67.09,118.59,46.08,75.41,100.97,60.57,97.16,80.5,59.96,40.9,99.09,70.8,76.2,128.92,74.46,100.97,36.82,56.17,91.26,68.9,71.13,70.23,80.01,37.34,45.61,61.67,50.84,71.13,235.33,210.13,102.16,187.99,131.98,183.45,104.01,169.69,160.67,171.23,185.68,176.21,187.83,169.18,175.43,152.31,198.39
전라남도,광양시,2016,37,111385.0,330.0,388.65,314.23,308.59,371.92,358.21,267.77,358.15,327.01,351.99,284.86,321.88,279.55,310.12,302.77,334.34,265.15,282.86,275.94,232.91,284.29,262.22,355.3,260.02,275.2,260.33,258.89,324.07,234.1,331.47,262.92,84.64,57.2,113.21,21.27,114.16,34.25,129.62,45.99,98.7,95.23,81.64,171.95,143.62,138.59,236.32,203.62,222.73,160.79,201.16,274.97,181.21,191.39,85.06,75.34,77.01,114.23,120.73,128.25,117.88,292.35,300.52,297.57,291.06,296.34,301.3,175.09,162.86,167.21,154.61,164.24,330.21,303.73,289.38,297.7,91.07,53.57,0.0,77.02,59.26,19.05,20.27,110.98,92.09,77.56,108.18,90.14,119.77,110.78,59.26,19.05,123.23,114.01,92.48,140.32,108.31,108.18,66.07,105.78,143.48,121.11,123.95,117.61,130.48,83.87,80.16,110.08,103.49,123.95,214.75,192.73,148.77,236.48,183.21,233.78,155.94,214.92,208.17,214.93,236.97,208.62,222.35,205.38,214.2,190.15,228.94
전라남도,담양군,2016,54,1408930.0,318.59,364.77,310.18,306.58,351.25,339.02,239.7,315.54,292.28,316.26,257.32,282.99,235.64,256.26,258.2,287.23,216.0,229.55,222.92,189.39,245.46,227.41,308.73,214.18,225.03,220.62,213.59,271.84,186.16,286.81,209.34,156.43,127.32,172.89,98.29,160.65,103.97,185.9,102.85,138.52,154.1,110.12,210.81,151.23,136.4,234.74,209.3,246.31,190.57,196.8,285.4,192.06,226.46,26.84,22.33,20.81,139.97,181.28,191.48,182.08,244.26,249.77,249.37,244.12,245.35,254.27,131.72,213.62,216.91,205.46,214.17,273.36,248.9,233.94,241.6,78.15,83.86,77.02,0.0,61.7,61.29,87.49,114.32,18.58,71.5,90.37,42.29,78.41,58.92,61.7,61.29,79.37,43.49,63.72,113.91,51.4,90.37,28.54,28.91,75.38,54.51,51.15,66.76,69.79,42.79,60.36,57.77,30.13,51.15,233.21,206.85,96.82,177.13,117.54,169.79,88.55,163.33,151.74,166.51,170.12,180.99,190.76,171.32,175.27,153.68,203.88
전라남도,목포시,2016,4,65285.0,395.5,437.92,388.16,384.74,425.61,413.93,313.03,379.86,361.72,384.74,330.51,350.36,301.19,313.08,322.61,348.96,278.54,287.95,281.87,256.95,313.79,298.26,370.32,279.21,286.37,289.2,279.02,329.67,250.99,350.36,268.42,203.53,176.93,232.05,136.96,227.44,153.9,247.63,161.53,207.52,213.56,181.7,281.95,228.89,214.69,313.09,287.56,322.47,264.47,275.14,363.6,269.8,299.2,51.62,58.61,59.06,213.79,239.86,247.9,237.58,306.52,309.67,311.38,307.27,305.21,317.01,202.46,279.12,283.05,270.81,280.15,326.43,305.02,290.06,296.71,39.12,83.95,119.77,78.41,62.96,101.06,116.12,64.83,65.16,49.21,32.56,36.84,0.0,21.47,62.96,101.06,4.47,52.88,27.83,38.02,30.44,32.56,61.01,74.88,132.25,118.85,106.86,140.14,136.37,121.11,138.35,131.8,94.23,106.86,173.92,146.48,165.76,232.2,170.36,219.46,143.62,226.74,211.8,232.06,215.19,255.8,263.98,244.24,245.92,226.35,278.92
전라남도,보성군,2016,56,1396094.0,368.46,420.0,356.47,351.81,405.22,392.33,295.62,375.91,350.67,375.03,313.21,342.43,295.97,317.91,318.76,348.29,277.14,291.14,284.48,249.35,304.69,285.4,369.76,274.77,286.33,279.91,274.08,333.42,246.97,347.47,270.92,141.19,115.52,172.45,74.54,172.04,93.37,188.86,104.08,154.51,154.47,132.5,228.94,188.64,178.64,279.0,249.24,275.84,215.06,241.87,323.59,228.71,247.64,48.54,43.34,45.71,165.8,179.91,187.1,176.64,305.34,311.19,310.48,305.03,306.79,315.23,190.96,221.84,226.1,213.56,223.14,335.04,310.58,295.62,303.29,32.02,25.75,59.26,61.7,0.0,42.16,53.2,59.23,64.82,18.7,49.17,43.27,62.96,59.77,0.0,42.16,66.92,76.41,35.15,81.14,60.93,49.17,33.69,81.49,136.6,116.18,111.33,126.23,131.33,96.01,105.31,117.22,91.08,111.33,175.42,150.18,157.44,238.8,178.76,230.98,149.73,224.56,213.38,227.27,230.58,236.04,247.36,228.46,233.93,211.3,258.31
전라남도,순천시,2016,74,1467371.0,335.4,391.28,321.26,316.05,375.29,361.88,268.72,355.74,326.6,351.43,286.06,320.34,276.41,304.26,299.57,330.56,260.45,277.04,270.17,229.53,282.56,261.39,351.76,256.21,270.27,258.2,255.23,318.76,229.51,328.38,256.91,103.68,76.13,131.26,39.04,129.89,52.86,147.28,61.97,112.66,112.98,92.12,186.91,151.35,143.85,243.35,211.95,235.12,173.8,207.16,284.97,190.4,205.8,66.54,56.97,58.77,125.39,138.95,146.84,136.53,288.11,295.55,293.32,287.13,291.27,297.4,171.02,179.87,184.08,171.58,181.13,323.5,297.55,282.95,291.1,74.16,43.06,19.05,61.29,42.16,0.0,26.51,97.72,74.88,60.83,91.32,71.11,101.06,91.73,42.16,0.0,104.43,95.85,74.02,123.17,89.33,91.32,47.33,89.45,131.93,109.62,110.55,110.1,120.85,76.33,77.52,101.88,89.58,110.55,207.09,183.75,141.92,228.56,172.87,224.34,144.78,209.13,200.92,210.03,226.55,209.09,221.99,204.18,211.85,188.12,230.29
전라남도,신안군,2016,12,3480.0,395.58,437.29,388.61,385.3,425.18,413.6,312.5,378.32,360.68,383.58,329.95,349.12,299.83,311.04,321.12,347.23,276.97,286.06,280.02,255.83,312.68,297.43,368.56,277.83,284.69,288.14,277.68,327.68,249.64,348.78,266.6,207.19,180.42,235.23,140.68,230.15,157.3,250.69,164.56,210.02,216.69,183.93,284.35,230.26,215.77,313.81,288.66,324.23,266.55,275.86,364.75,271.15,301.45,52.75,60.25,60.54,215.83,243.09,251.25,240.95,304.88,307.85,309.71,305.71,303.39,315.4,201.78,281.98,285.87,273.68,282.98,324.13,302.95,288.0,294.57,43.58,88.24,123.23,79.37,66.92,104.43,120.0,68.87,65.34,53.53,36.75,38.55,4.47,21.12,66.92,104.43,0.0,51.45,31.77,39.39,29.91,36.75,63.34,74.17,130.85,118.08,105.72,139.97,135.6,121.91,139.55,131.75,93.84,105.72,176.7,149.26,165.02,230.19,168.44,217.16,142.01,225.33,210.18,230.82,212.66,255.55,263.49,243.73,245.14,225.83,278.68
전라남도,여수시,2016,114,577447.0,350.0,408.92,333.87,328.11,392.16,378.42,287.98,377.84,347.09,372.05,305.09,341.76,299.03,328.62,322.24,353.64,284.1,301.37,294.47,252.29,304.12,282.21,374.68,279.28,294.07,280.06,278.19,342.81,253.07,350.98,281.33,88.54,64.69,123.3,22.7,128.68,45.52,140.54,61.86,115.32,106.43,100.66,186.94,163.27,158.73,256.02,222.96,239.91,177.71,221.13,293.51,200.28,206.9,89.69,80.71,82.74,132.64,130.17,136.17,125.62,311.48,319.39,316.7,310.29,315.17,320.55,194.19,174.86,179.46,166.76,176.48,348.32,322.09,307.62,315.86,82.88,39.38,20.27,87.49,53.2,26.51,0.0,96.99,100.05,69.58,99.42,91.31,116.12,110.7,53.2,26.51,120.0,119.48,88.29,131.56,109.85,99.42,70.29,115.21,158.3,135.96,137.05,135.09,146.73,101.19,99.45,127.16,116.07,137.05,195.93,174.63,166.66,253.9,199.02,250.26,171.09,233.4,225.94,233.77,252.75,228.78,242.4,225.28,233.85,209.86,249.18
전라남도,영광군,2016,57,3438840.0,346.9,386.48,341.58,338.8,374.79,363.47,261.96,326.99,309.31,332.15,279.32,297.67,248.39,260.63,269.74,296.13,225.67,235.29,229.15,204.43,261.27,246.32,317.51,226.39,233.52,236.77,226.23,277.13,198.2,297.48,215.67,196.93,168.07,215.93,134.82,204.13,144.35,229.24,145.33,181.91,197.1,153.27,253.67,190.13,173.52,268.5,245.93,286.59,232.57,230.69,321.98,230.48,268.79,29.82,38.93,37.08,182.29,224.28,234.21,224.62,253.65,256.91,258.52,254.4,252.45,264.14,151.01,257.1,260.38,248.95,257.64,274.58,252.64,237.64,244.44,74.35,102.15,114.01,43.49,76.41,95.85,119.48,109.7,24.91,75.37,78.65,34.23,52.88,32.0,76.41,95.85,51.45,0.0,55.65,90.76,23.5,78.65,49.19,24.65,79.42,67.38,54.36,91.23,84.81,79.93,100.23,83.72,45.06,54.36,225.02,197.67,114.21,179.73,117.8,167.74,90.76,173.9,158.93,179.37,164.41,205.88,213.08,193.31,194.13,175.44,229.0
전라남도,완도군,2016,8,286.0,427.5,477.79,415.7,411.03,463.45,450.75,353.0,429.45,406.55,430.57,370.62,397.29,349.66,367.44,372.04,400.42,329.22,341.3,334.86,303.62,359.79,341.56,421.93,328.05,337.9,334.95,327.54,383.53,299.9,400.51,321.26,182.18,161.18,220.04,119.49,224.9,142.35,237.42,156.91,209.53,203.4,189.82,282.88,247.56,237.86,338.21,308.22,332.79,271.26,301.1,382.16,287.36,302.36,92.19,92.39,94.32,223.11,226.65,231.82,221.27,357.49,362.21,362.54,357.62,357.76,367.68,246.03,271.85,276.45,263.75,273.47,382.76,359.72,344.68,351.89,36.83,57.84,110.98,114.32,59.23,97.72,96.99,0.0,110.22,43.5,32.49,78.47,64.83,79.58,59.23,97.72,68.87,109.7,54.65,49.14,86.72,32.49,86.42,125.16,184.21,166.36,157.99,181.04,182.99,153.25,164.17,172.02,140.28,157.99,118.92,92.56,210.95,286.93,225.25,276.46,196.82,276.56,263.64,280.33,273.85,293.69,304.34,285.11,289.54,267.63,316.23
