ZONE ID,시도,시군구,2017_트럭일평균수,2018_트럭일평균수,평균
3435000,충청남도,청양군,620,654,637
3436000,충청남도,홍성군,1127,1211,1169
3437000,충청남도,예산군,1028,1122,1075
3438000,충청남도,태안군,702,841,772
3501000,전라북도,전주시,2382,2465,2423
3502000,전라북도,군산시,1114,1268,1191
3503000,전라북도,익산시,1304,1421,1362
3504000,전라북도,정읍시,862,931,896
3505000,전라북도,남원시,627,565,596
3506000,전라북도,김제시,1195,1219,1207
3531000,전라북도,완주군,1315,1375,1345
3532000,전라북도,진안군,451,439,445
3533000,전라북도,무주군,525,504,514
3534000,전라북도,장수군,547,511,529
3535000,전라북도,임실군,700,663,682
3536000,전라북도,순창군,366,305,336
3537000,전라북도,고창군,665,698,682
3538000,전라북도,부안군,547,536,542
3601000,전라남도,목포시,2011,2038,2024
3602000,전라남도,여수시,1454,1315,1384
3603000,전라남도,순천시,1205,1385,1295
3604000,전라남도,나주시,861,955,908
3606000,전라남도,광양시,1341,1351,1346
3631000,전라남도,담양군,1079,1196,1138
3632000,전라남도,곡성군,817,871,844
3633000,전라남도,구례군,696,617,656
3635000,전라남도,고흥군,356,356,356
3636000,전라남도,보성군,526,502,514
3637000,전라남도,화순군,595,520,558
3638000,전라남도,장흥군,417,385,401
3639000,전라남도,강진군,656,652,654
3640000,전라남도,해남군,538,627,582
3641000,전라남도,영암군,765,809,787
3642000,전라남도,무안군,845,865,855
3643000,전라남도,함평군,735,673,704
3644000,전라남도,영광군,437,567,502
3645000,전라남도,장성군,1212,1309,1260
3646000,전라남도,완도군,421,438,430
3647000,전라남도,진도군,198,294,246
3648000,전라남도,신안군,398,689,544
3701000,경상북도,포항시,1277,1138,1208
3702000,경상북도,경주시,1766,1541,1654
3703000,경상북도,김천시,1337,1217,1277
3704000,경상북도,안동시,781,705,743
3705000,경상북도,구미시,2554,2350,2452
3706000,경상북도,영주시,758,624,691
3707000,경상북도,영천시,1753,1711,1732
3708000,경상북도,상주시,1632,1660,1646
3709000,경상북도,문경시,1019,946,982
3710000,경상북도,경산시,1989,1824,1906
3731000,경상북도,군위군,1100,1391,1246
3732000,경상북도,의성군,655,550,602
3733000,경상북도,청송군,381,316,348
3734000,경상북도,영양군,121,141,131
3735000,경상북도,영덕군,531,429,480
3736000,경상북도,청도군,908,742,825
3737000,경상북도,고령군,1444,1528,1486
3738000,경상북도,성주군,1289,1287,1288
3739000,경상북도,칠곡군,3887,3666,3776
3740000,경상북도,예천군,542,524,533
3741000,경상북도,봉화군,287,248,268
3742000,경상북도,울진군,499,456,478
3743000,경상북도,울릉군,153,182,168
3803000,경상남도,진주시,1523,1611,1567
3805000,경상남도,통영시,1004,790,897
3806000,경상남도,사천시,1010,1131,1070
3807000,경상남도,김해시,4032,3386,3709
3808000,경상남도,밀양시,1278,1062,1170
3809000,경상남도,거제시,2050,1043,1546
3810000,경상남도,양산시,2934,2740,2837
3811000,경상남도,창원시,2668,2616,2642
3831000,경상남도,의령군,310,288,299
3832000,경상남도,함안군,3175,3194,3184
3833000,경상남도,창녕군,2004,1952,1978
3834000,경상남도,고성군,597,650,624
3835000,경상남도,남해군,241,254,248
3836000,경상남도,하동군,665,736,700
3837000,경상남도,산청군,834,875,854
3838000,경상남도,함양군,929,972,950
3839000,경상남도,거창군,492,490,491
3840000,경상남도,합천군,400,366,383
3901000,제주특별자치도,제주시,973,1097,1035
3902000,제주특별자치도,서귀포시,706,704,705
