구분,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,평균
관찰지역수,75,75,200,200,72,74,116
합계,500205,905642,1188443,1320000,890509,413302,869683.5
들꿩,0,0,0,0,0,0,0
멧닭,0,0,0,0,0,0,0
메추라기,1,6,7,4,5,0,3.83
꿩,152,168,270,275,167,223,209.17
개리,36,89,72,11,36,249,82.17
큰기러기,86899,118512,101927,62387,67670,9236,74438.5
회색기러기,0,0,0,0,89,0,14.83
쇠기러기,106171,159386,157143,113373,77886,31118,107512.83
흰이마기러기,0,3,4,1,0,0,1.33
줄기러기,0,0,0,0,0,0,0
흰머리기러기,0,0,0,0,0,0,0
흰기러기,3,4,4,4,4,2,3.5
붉은가슴기러기,0,0,0,0,0,0,0
캐나다기러기,0,0,0,0,0,0,0
흑기러기,0,1,4,10,5,1,3.5
흰얼굴기러기,0,0,0,0,0,0,0
혹고니,0,0,2,0,0,0,0.33
고니,0,23,16,28,8,0,12.5
큰고니,3,4784,5615,4806,3804,244,3209.33
혹부리오리,760,3704,6972,14836,9861,11336,7911.5
황오리,21,633,2817,1689,1597,115,1145.33
원앙사촌,0,0,0,0,0,0,0
원앙,522,278,733,1412,386,183,585.67
알락오리,694,7338,6862,5999,1170,4434,4416.17
청머리오리,26503,1329,3078,6023,1173,1150,6542.67
홍머리오리,13356,7004,10327,10930,3850,5079,8424.33
아메리카홍머리오리,0,1,2,2,2,2,1.5
미국오리,0,0,0,0,0,0,0
청둥오리,10549,217478,160972,173052,97553,46815,117736.5
흰뺨검둥오리,40571,65815,92341,94961,42172,30833,61115.5
넓적부리,648,5546,6516,4263,4615,7206,4799
고방오리,3962,24125,13219,12484,6773,4877,10906.67
발구지,0,6,0,0,1,10,2.83
가창오리,2291,34173,118953,346757,323987,10202,139393.83
쇠오리,6482,11671,14113,15364,6626,6975,10205.17
미국쇠오리,0,0,0,0,0,0,0
붉은부리흰죽지,0,0,0,0,0,0,0
큰흰죽지,0,0,0,0,0,0,0
미국흰죽지,0,0,0,0,0,0,0
흰죽지,13149,11693,18145,18814,9365,18045,14868.5
붉은가슴흰죽지,0,0,0,0,1,0,0.17
적갈색흰죽지,0,0,1,3,0,0,0.67
북미댕기흰죽지,0,0,0,0,0,0,0
댕기흰죽지,1062,4119,5284,4093,2939,6903,4066.67
검은머리흰죽지,3208,7718,22083,5687,1077,1554,6887.83
쇠검은머리흰죽지,0,0,0,0,0,0,0
호사북방오리,0,0,0,0,0,0,0
흰줄박이오리,0,0,12,6,25,23,11
검둥오리사촌,0,49,600,256,40,38,163.83
검둥오리,0,5,152,416,64,89,121
바다꿩,0,0,1,0,0,0,0.17
꼬마오리,0,0,0,0,0,0,0
흰뺨오리,0,969,3047,2784,1748,1204,1625.33
