년도,주소,시도,시군,축종명,경영체수 합계(건),시설여부(경영체 수),,경영형태(시설 개수),,사육 규모,단위
,,,,,,시설 없음,시설 있음,자영,임차,,
2019,서울특별시서초구,서울특별시,서초구,육계,2,0,2,2,0,140,마리
2019,부산광역시해운대구,부산광역시,해운대구,육계,1,0,1,1,0,150,마리
2019,부산광역시금정구,부산광역시,금정구,육계,2,0,2,2,0,1030,마리
2019,부산광역시강서구,부산광역시,강서구,육계,8,0,8,5,3,99000,마리
2019,부산광역시강서구,부산광역시,강서구,오리,1,0,1,1,0,40,마리
2019,부산광역시강서구,부산광역시,강서구,꿩,1,0,1,1,0,10,마리
2019,부산광역시연제구,부산광역시,연제구,육계,1,0,1,1,0,50,마리
2019,부산광역시기장군,부산광역시,기장군,육계,12,0,14,13,1,19139,마리
2019,부산광역시기장군,부산광역시,기장군,오리,2,0,2,2,0,2005,마리
2019,대구광역시동구,대구광역시,동구,육계,3,0,3,3,0,398,마리
2019,대구광역시동구,대구광역시,동구,꿩,1,0,1,1,0,1300,마리
2019,대구광역시달성군,대구광역시,달성군,육계,5,0,5,5,0,64080,마리
2019,대구광역시달성군,대구광역시,달성군,메추리,1,0,1,1,0,100000,마리
2019,인천광역시중구,인천광역시,중구,육계,2,0,2,2,0,8000,마리
2019,인천광역시연수구,인천광역시,연수구,육계,1,0,1,1,0,200,마리
2019,인천광역시남동구,인천광역시,남동구,육계,4,0,4,3,1,2290,마리
2019,인천광역시계양구,인천광역시,계양구,육계,1,0,1,1,0,500,마리
2019,인천광역시서구,인천광역시,서구,육계,2,0,2,2,0,45000,마리
2019,인천광역시서구,인천광역시,서구,메추리,1,0,1,0,1,100000,마리
2019,인천광역시강화군,인천광역시,강화군,육계,28,0,31,26,5,981503,마리
2019,인천광역시강화군,인천광역시,강화군,메추리,4,0,4,4,0,358000,마리
2019,인천광역시옹진군,인천광역시,옹진군,육계,1,0,1,1,0,1000,마리
2019,광주광역시서구,광주광역시,서구,육계,1,0,1,1,0,200,마리
2019,광주광역시서구,광주광역시,서구,오리,1,0,3,0,3,20000,마리
2019,광주광역시남구,광주광역시,남구,육계,4,0,4,4,0,135,마리
2019,광주광역시남구,광주광역시,남구,오리,1,0,1,1,0,2000,마리
2019,광주광역시북구,광주광역시,북구,육계,7,0,7,6,1,6675,마리
2019,광주광역시광산구,광주광역시,광산구,육계,13,0,14,10,4,133530,마리
2019,광주광역시광산구,광주광역시,광산구,오리,7,0,9,6,3,22807,마리
2019,광주광역시광산구,광주광역시,광산구,메추리,1,0,1,1,0,50000,마리
2019,대전광역시동구,대전광역시,동구,육계,4,0,4,4,0,485,마리
2019,대전광역시중구,대전광역시,중구,육계,3,0,3,2,1,200,마리
2019,대전광역시서구,대전광역시,서구,육계,8,0,8,7,1,30802,마리
2019,대전광역시유성구,대전광역시,유성구,육계,21,0,23,20,3,95169,마리
2019,대전광역시대덕구,대전광역시,대덕구,육계,6,0,6,6,0,290,마리
2019,대전광역시대덕구,대전광역시,대덕구,오리,1,0,1,1,0,7,마리
2019,울산광역시중구,울산광역시,중구,육계,2,0,2,1,1,1500,마리
2019,울산광역시북구,울산광역시,북구,육계,9,0,9,9,0,2620,마리
2019,울산광역시북구,울산광역시,북구,타조,1,0,1,1,0,6,마리
2019,울산광역시울주군,울산광역시,울주군,육계,17,0,20,15,5,67090,마리
2019,울산광역시울주군,울산광역시,울주군,오리,2,0,2,2,0,240,마리
2019,울산광역시울주군,울산광역시,울주군,꿩,5,0,6,2,4,6900,마리
2019,세종특별자치시세종시,세종특별자치시,세종시,육계,23,0,29,28,1,648660,마리
2019,세종특별자치시세종시,세종특별자치시,세종시,오리,1,0,1,1,0,30,마리
2019,세종특별자치시세종시,세종특별자치시,세종시,메추리,2,0,3,3,0,122600,마리
2019,경기도수원시 장안구,경기도,수원시 장안구,육계,2,0,2,2,0,200,마리
2019,경기도수원시 권선구,경기도,수원시 권선구,오리,1,0,1,1,0,1500,마리
2019,경기도성남시 수정구,경기도,성남시 수정구,육계,1,0,1,1,0,150,마리
2019,경기도성남시 중원구,경기도,성남시 중원구,육계,1,0,2,2,0,2500,마리
2019,경기도성남시 분당구,경기도,성남시 분당구,육계,1,0,1,1,0,25000,마리
2019,경기도성남시 분당구,경기도,성남시 분당구,오리,1,0,1,1,0,3000,마리
2019,경기도의정부시,경기도,의정부시,육계,1,0,1,1,0,500,마리
2019,경기도광명시,경기도,광명시,육계,16,0,16,15,1,4930,마리
2019,경기도광명시,경기도,광명시,오리,2,0,2,2,0,80,마리
2019,경기도평택시,경기도,평택시,육계,47,0,65,54,11,1961950,마리
2019,경기도평택시,경기도,평택시,칠면조,1,0,1,1,0,30,마리
2019,경기도평택시,경기도,평택시,오리,3,0,5,5,0,31700,마리
2019,경기도평택시,경기도,평택시,꿩,1,0,1,1,0,15000,마리
2019,경기도안산시 상록구,경기도,안산시 상록구,육계,7,0,7,6,1,810,마리
2019,경기도안산시 상록구,경기도,안산시 상록구,칠면조,1,0,1,1,0,4,마리
2019,경기도안산시 상록구,경기도,안산시 상록구,꿩,1,0,1,1,0,6,마리
2019,경기도안산시 단원구,경기도,안산시 단원구,육계,7,0,7,6,1,770,마리
2019,경기도안산시 단원구,경기도,안산시 단원구,칠면조,1,0,1,1,0,3,마리
2019,경기도안산시 단원구,경기도,안산시 단원구,오리,1,0,1,1,0,200,마리
2019,경기도안산시 단원구,경기도,안산시 단원구,꿩,2,0,2,2,0,2070,마리
2019,경기도고양시 덕양구,경기도,고양시 덕양구,육계,22,0,22,20,2,9399,마리
2019,경기도고양시 덕양구,경기도,고양시 덕양구,오리,3,0,3,3,0,3005,마리
2019,경기도고양시 일산동구,경기도,고양시 일산동구,육계,16,0,17,13,4,274505,마리
2019,경기도고양시 일산동구,경기도,고양시 일산동구,꿩,1,0,1,1,0,200,마리
2019,경기도고양시 일산서구,경기도,고양시 일산서구,육계,12,0,14,12,2,196188,마리
2019,경기도과천시,경기도,과천시,육계,1,0,1,1,0,400,마리
