구분,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,평균
새매,13,26,50,53,21,17,30
참매,12,21,37,47,18,12,24.5
왕새매,0,0,0,0,0,1,0.17
말똥가리,84,235,531,594,339,246,338.17
큰말똥가리,1,2,6,37,35,21,17
털발말똥가리,1,0,1,4,2,0,1.33
항라머리검독수리,2,0,1,5,2,1,1.83
초원수리,0,0,0,0,0,0,0
흰죽지수리,0,0,1,4,2,2,1.5
검독수리,0,0,2,2,1,0,0.83
흰배줄무늬수리,0,0,0,0,0,0,0
흰점어깨수리,0,0,0,0,0,0,0
뿔매,0,0,0,0,0,0,0
느시,0,0,0,0,0,0,0
알락뜸부기,0,0,0,0,0,0,0
흰눈썹뜸부기,0,0,0,1,0,0,0.17
흰배뜸부기,0,0,0,0,0,0,0
쇠뜸부기,0,0,0,0,0,0,0
쇠뜸부기사촌,0,0,0,0,0,0,0
한국뜸부기,0,0,0,0,0,0,0
뜸부기,0,0,0,0,0,0,0
쇠물닭,176,97,93,23,36,44,78.17
물닭,25532,53817,57302,48979,31614,20056,39550
쇠재두루미,0,0,0,0,0,0,0
시베리아흰두루미,0,0,0,0,0,0,0
캐나다두루미,0,3,3,5,6,0,2.83
재두루미,220,8173,7336,7012,7338,934,5168.83
검은목두루미,0,6,10,15,7,5,7.17
흑두루미,0,1951,2646,3017,5292,6271,3196.17
두루미,0,185,1310,1693,1338,12,756.33
세가락메추라기,0,0,0,0,0,0,0
검은머리물떼새,21,6478,6360,5085,3538,1394,3812.67
장다리물떼새,3,7,7,0,1,2,3.33
뒷부리장다리물떼새,0,1,0,0,0,1,0.33
댕기물떼새,1,519,327,346,203,309,284.17
민댕기물떼새,0,0,0,0,0,0,0
검은가슴물떼새,10,0,0,0,0,0,1.67
개꿩,465,3087,3253,1051,1085,1442,1730.5
흰죽지꼬마물떼새,1,1,1,1,1,0,0.83
흰목물떼새,65,154,89,61,49,56,79
꼬마물떼새,0,3,0,3,6,201,35.5
흰물떼새,878,2412,356,318,69,804,806.17
왕눈물떼새,328,2,0,1,0,0,55.17
큰왕눈물떼새,2,0,0,0,0,0,0.33
큰물떼새,0,0,0,0,0,0,0
흰눈썹물떼새,0,0,0,0,0,0,0
호사도요,0,0,0,0,0,0,0
