구분,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,평균
관찰지역수,80,80,200,200,80,80,120
합계,611490,705740,1817155,1629083,923296,380384,1011191.33
들꿩,0,0,1,4,0,0,0.83
멧닭,0,0,0,0,0,0,0
메추라기,1,9,13,3,0,0,4.33
꿩,197,215,537,501,212,183,307.5
개리,3,109,101,43,9,0,44.17
큰기러기,172922,85013,133501,87771,31021,4227,85742.5
회색기러기,0,0,0,0,0,0,0
쇠기러기,188569,200100,209645,182608,147338,71317,166596.17
흰이마기러기,0,0,2,0,0,0,0.33
줄기러기,1,0,0,0,0,0,0.17
흰머리기러기,0,0,0,0,0,0,0
흰기러기,1,0,11,5,2,0,3.17
붉은가슴기러기,0,0,0,0,0,0,0
캐나다기러기,0,0,0,0,0,0,0
흑기러기,0,0,3,0,0,0,0.5
흰얼굴기러기,0,0,0,0,0,0,0
혹고니,0,0,0,1,0,0,0.17
고니,0,13,3,10,1,0,4.5
큰고니,94,5550,6092,7371,4950,107,4027.33
혹부리오리,623,1302,16393,28949,8160,3545,9828.67
황오리,221,279,2349,3126,1416,899,1381.67
원앙사촌,0,0,0,0,0,0,0
원앙,629,691,2588,1946,354,616,1137.33
알락오리,3061,7827,12925,12022,4801,4186,7470.33
청머리오리,10927,1500,5431,3406,1131,2002,4066.17
홍머리오리,9487,5951,12155,8554,4859,3921,7487.83
아메리카홍머리오리,0,0,0,1,0,0,0.17
미국오리,0,0,0,0,0,0,0
청둥오리,10716,108686,169867,171765,86668,53837,100256.5
흰뺨검둥오리,29891,45000,101904,104319,42982,34088,59697.33
넓적부리,258,8949,6698,8798,2931,6813,5741.17
고방오리,1896,5414,8269,8720,3576,1444,4886.5
발구지,1,0,0,0,0,17,3
가창오리,200,61945,520119,406351,427641,41044,242883.33
쇠오리,4435,8776,19971,21576,9632,9915,12384.17
미국쇠오리,0,0,0,1,0,0,0.17
붉은부리흰죽지,0,0,0,0,0,0,0
큰흰죽지,0,0,0,0,0,0,0
미국흰죽지,0,0,0,0,0,0,0
흰죽지,8709,11190,28117,34308,7148,10141,16602.17
붉은가슴흰죽지,0,0,1,0,0,0,0.17
적갈색흰죽지,0,0,3,0,0,1,0.67
북미댕기흰죽지,0,0,0,0,0,0,0
댕기흰죽지,373,3560,12681,12841,1954,4235,5940.67
검은머리흰죽지,850,341,34084,8510,689,669,7523.83
쇠검은머리흰죽지,0,0,0,0,0,0,0
호사북방오리,0,0,0,0,0,0,0
흰줄박이오리,0,0,6,27,0,0,5.5
검둥오리사촌,0,0,78,43,0,0,20.17
검둥오리,0,0,14,24,0,0,6.33
바다꿩,0,0,1,1,0,0,0.33
꼬마오리,0,0,0,0,0,0,0
흰뺨오리,0,935,3816,2876,1515,478,1603.33
북방흰뺨오리,0,0,0,0,0,0,0
흰비오리,2,163,738,882,234,128,357.83
비오리,7,2129,10305,9893,2541,1876,4458.5
바다비오리,1,170,1111,2356,279,413,721.67
호사비오리,10,58,34,58,50,18,38
아비,0,0,2,9,0,4,2.5
큰회색머리아비,0,0,19,147,0,0,27.67
회색머리아비,0,0,35,34,0,0,11.5
흰부리아비,0,0,1,0,0,0,0.17
레이산알바트로스,0,0,0,0,0,0,0
알바트로스,0,0,0,0,0,0,0
흰배슴새,0,0,0,0,0,0,0
슴새,0,0,0,0,0,0,0
쇠부리슴새,0,0,0,0,0,0,0
붉은발슴새,0,0,0,0,0,0,0
검은슴새,0,0,0,0,0,0,0
바다제비,0,0,0,0,0,0,0
논병아리,758,976,2493,2825,647,430,1354.83
큰논병아리,6,0,2,2,0,0,1.67
뿔논병아리,1221,3774,15594,12155,3246,2970,6493.33
귀뿔논병아리,0,0,32,23,0,0,9.17
검은목논병아리,1348,518,470,402,88,190,502.67
큰홍학,0,0,0,0,0,0,0
먹황새,0,0,0,0,0,1,0.17
황새,1,17,57,88,36,11,35
검은머리흰따오기,0,0,0,0,0,0,0
따오기,0,0,0,0,3,0,0.5
적갈색따오기,0,0,0,0,0,0,0
노랑부리저어새,123,305,478,402,219,132,276.5
저어새,217,76,52,37,24,67,78.83
알락해오라기,0,1,5,0,2,0,1.33
덤불해오라기,1,0,0,0,0,0,0.17
큰덤불해오라기,0,0,0,0,0,0,0
열대붉은해오라기,0,0,0,0,0,0,0
검은해오라기,0,0,0,0,0,0,0
붉은해오라기,0,0,0,0,0,0,0
푸른눈테해오라기,0,0,0,0,0,0,0
해오라기,43,57,106,195,49,32,80.33
검은댕기해오라기,0,0,0,0,0,0,0
흰날개해오라기,0,2,2,2,1,1,1.33
황로,19,1,4,0,0,0,4
왜가리,2019,1863,4644,4544,1941,3157,3028
붉은왜가리,0,0,1,0,0,0,0.17
중대백로,2280,2347,4596,3568,1343,1257,2565.17
중백로,164,33,8,3,0,1,34.83
쇠백로,679,521,613,461,123,148,424.17
흑로,0,0,7,10,2,0,3.17
노랑부리백로,8,0,9,18,0,0,5.83
큰군함조,0,0,0,0,0,0,0
군함조,0,0,0,0,0,0,0
큰사다새,0,0,0,0,0,0,0
사다새,0,0,0,0,0,0,0
푸른얼굴얼가니새,0,0,0,0,0,0,0
붉은발얼가니새,0,0,0,0,0,0,0
갈색얼가니새,0,0,0,0,0,0,0
민물가마우지,15827,10293,16721,18328,7029,6904,12517
가마우지,8,87,4488,2918,111,75,1281.17
쇠가마우지,0,0,1495,1842,0,0,556.17
붉은뺨가마우지,0,0,0,0,0,0,0
황조롱이,140,147,339,278,111,145,193.33
비둘기조롱이,10,0,0,0,0,0,1.67
쇠황조롱이,0,5,11,5,3,6,5
새호리기,7,0,0,0,0,0,1.17
헨다손매,0,0,0,0,1,0,0.17
흰매,0,0,0,0,0,0,0
매,7,8,34,24,9,2,14
물수리,49,32,39,53,20,19,35.33
검은댕기수리,0,0,0,0,0,0,0
검은어깨매,0,0,3,2,0,0,0.83
벌매,0,0,0,0,0,0,0
솔개,32,34,60,3,14,17,26.67
흰꼬리수리,1,14,140,162,94,45,76
참수리,0,1,5,5,3,2,2.67
수염수리,0,0,0,0,0,0,0
고산대머리수리,0,0,0,0,0,0,0
독수리,1,14,796,679,672,235,399.5
관수리,0,0,0,0,0,0,0
개구리매,1,0,1,7,1,2,2
잿빛개구리매,5,14,56,43,29,32,29.83
알락개구리매,0,0,0,0,0,0,0
붉은배새매,0,0,0,0,0,0,0
조롱이,0,0,1,0,0,0,0.17
새매,15,19,52,39,10,17,25.33
참매,6,15,30,29,11,5,16
왕새매,0,1,0,0,0,0,0.17
말똥가리,114,224,558,676,242,217,338.5
큰말똥가리,1,1,6,9,2,3,3.67
털발말똥가리,2,1,1,3,1,0,1.33
항라머리검독수리,0,1,0,1,1,0,0.5
초원수리,0,1,1,1,0,0,0.5
흰죽지수리,0,0,2,2,0,0,0.67
검독수리,0,1,1,1,1,0,0.67
흰배줄무늬수리,0,0,0,0,0,0,0
흰점어깨수리,0,0,0,0,0,0,0
뿔매,0,0,0,0,0,0,0
느시,0,0,0,1,0,0,0.17
알락뜸부기,0,0,0,0,0,0,0
흰눈썹뜸부기,0,0,0,0,0,0,0
흰배뜸부기,0,0,0,0,0,0,0
쇠뜸부기,0,0,0,0,0,0,0
쇠뜸부기사촌,0,0,0,0,0,0,0
한국뜸부기,0,0,0,0,0,0,0
뜸부기,1,0,0,0,0,0,0.17
쇠물닭,208,71,56,77,60,34,84.33
물닭,16068,26399,33057,29135,13972,13018,21941.5
쇠재두루미,0,0,0,0,0,0,0
시베리아흰두루미,0,0,0,0,0,0,0
캐나다두루미,0,0,5,4,3,1,2.17
재두루미,1287,6559,5641,5697,6091,1592,4477.83
검은목두루미,0,3,8,9,12,17,8.17
흑두루미,21,2347,2495,2522,2857,8483,3120.83
두루미,0,578,1431,1657,954,0,770
세가락메추라기,0,0,0,0,0,0,0
검은머리물떼새,24,7,6001,4731,44,113,1820
장다리물떼새,1,2,0,0,0,0,0.5
뒷부리장다리물떼새,1,0,0,0,0,0,0.17
댕기물떼새,1,235,334,389,273,204,239.33
민댕기물떼새,0,0,0,0,0,0,0
검은가슴물떼새,0,0,0,0,0,0,0
개꿩,180,302,1639,1352,185,59,619.5
흰죽지꼬마물떼새,0,0,1,1,1,1,0.67
흰목물떼새,62,61,75,68,28,16,51.67
꼬마물떼새,8,0,9,1,0,69,14.5
흰물떼새,241,496,481,353,244,396,368.5
왕눈물떼새,229,0,1,2,2,2,39.33
큰왕눈물떼새,2,0,0,0,0,0,0.33
큰물떼새,0,0,0,0,0,0,0
흰눈썹물떼새,0,0,0,0,0,0,0
호사도요,0,0,0,0,0,0,0
물꿩,0,0,0,0,0,0,0
멧도요,0,0,0,0,0,0,0
꼬마도요,0,0,0,0,0,0,0
청도요,0,0,0,0,0,0,0
큰꺅도요,0,0,0,0,0,0,0
바늘꼬리도요,0,0,0,0,0,0,0
꺅도요사촌,0,0,0,0,0,0,0
꺅도요,13,13,24,19,31,2,17
긴부리도요,0,0,2,2,0,0,0.67
큰부리도요,0,0,0,0,0,0,0
흑꼬리도요,123,4,0,0,0,0,21.17
큰뒷부리도요,98,1,1,0,0,0,16.67
쇠부리도요,0,0,0,0,0,0,0
중부리도요,2,0,0,137,0,0,23.17
마도요,481,798,7237,5121,1570,1610,2802.83
알락꼬리마도요,103,5,13,7,2,2,22
학도요,16,9,0,0,0,81,17.67
붉은발도요,0,0,0,0,1,1,0.33
쇠청다리도요,11,0,0,0,0,0,1.83
청다리도요,411,30,59,31,11,175,119.5
청다리도요사촌,0,0,0,0,0,0,0
큰노랑발도요,0,0,0,0,0,0,0
삑삑도요,54,46,89,94,45,27,59.17
알락도요,63,2,8,0,0,0,12.17
뒷부리도요,126,0,4,59,0,0,31.5
깝작도요,61,39,102,88,37,51,63
노랑발도요,1,0,0,0,0,0,0.17
꼬까도요,0,0,0,0,0,0,0
붉은어깨도요,711,0,0,0,0,0,118.5
붉은가슴도요,4,0,0,0,0,0,0.67
세가락도요,219,196,212,437,139,217,236.67
좀도요,144,3,460,0,0,0,101.17
작은도요,0,0,0,0,0,0,0
흰꼬리좀도요,1,2,1,2,2,0,1.33
종달도요,0,0,1,0,0,0,0.17
아메리카메추라기도요,0,0,0,0,0,0,0
메추라기도요,0,0,0,0,0,0,0
붉은갯도요,0,0,0,0,0,0,0
민물도요,1572,3450,9560,13963,3872,2581,5833
넓적부리도요,0,0,0,0,0,0,0
송곳부리도요,1,0,0,0,0,0,0.17
누른도요,0,0,0,0,0,0,0
목도리도요,2,0,0,0,0,0,0.33
큰지느러미발도요,0,0,0,0,0,0,0
지느러미발도요,0,0,0,0,0,0,0
붉은배지느러미발도요,0,0,0,0,0,0,0
제비물떼새,0,0,0,0,0,0,0
괭이갈매기,6540,12875,49013,31246,11185,13747,20767.67
갈매기,78,39,6130,7228,1465,413,2558.83
수리갈매기,0,0,3,2,7,0,2
흰갈매기,2,3,66,81,8,5,27.5
작은흰갈매기,0,0,0,0,0,0,0
작은재갈매기,0,0,0,0,0,0,0
재갈매기,694,2056,48518,42527,4585,10315,18115.83
옅은재갈매기,0,0,0,0,0,0,0
한국재갈매기,195,134,189,429,346,645,323
줄무늬노랑발갈매기,1,9,137,182,22,12,60.5
큰재갈매기,2,12,963,2168,23,8,529.33
큰검은머리갈매기,0,0,0,1,0,0,0.17
붉은부리갈매기,1411,2728,10102,15295,5471,5919,6821
긴목갈매기,0,0,0,0,0,0,0
검은머리갈매기,0,108,2188,2068,248,145,792.83
고대갈매기,0,1,0,7,0,0,1.33
꼬마갈매기,0,0,0,0,0,0,0
북극흰갈매기,0,0,0,0,0,0,0
목테갈매기,0,0,0,0,0,0,0
세가락갈매기,0,0,400,75,0,0,79.17
큰부리제비갈매기,0,0,0,0,0,0,0
붉은부리큰제비갈매기,0,1,0,0,0,1,0.33
큰제비갈매기,0,0,0,0,0,0,0
뿔제비갈매기,0,0,0,0,0,0,0
긴꼬리제비갈매기,0,0,0,0,0,0,0
제비갈매기,0,0,0,0,0,0,0
쇠제비갈매기,6,0,0,0,0,0,1
알류샨제비갈매기,0,0,0,0,0,0,0
에위니아제비갈매기,0,0,0,0,0,0,0
검은등제비갈매기,0,0,0,0,0,0,0
구레나룻제비갈매기,7,0,0,0,0,0,1.17
흰죽지제비갈매기,0,0,0,0,0,0,0
검은제비갈매기,0,0,0,0,0,0,0
흰제비갈매기,0,0,0,0,0,0,0
남극도둑갈매기,0,0,0,0,0,0,0
넓적꼬리도둑갈매기,0,0,0,0,0,0,0
북극도둑갈매기,0,0,0,0,0,0,0
긴꼬리도둑갈매기,0,0,0,0,0,0,0
큰부리바다오리,0,0,2,3,0,0,0.83
바다오리,0,0,0,0,0,0,0
흰눈썹바다오리,0,0,0,0,0,0,0
알락쇠오리,0,0,0,0,0,0,0
바다쇠오리,0,0,352,2673,0,0,504.17
뿔쇠오리,0,0,0,0,0,0,0
작은바다오리,0,0,0,0,0,0,0
흰수염바다오리,0,0,19,8,0,0,4.5
댕기바다오리,0,0,0,0,0,0,0
사막꿩,0,0,0,0,0,0,0
양비둘기,0,0,110,12,0,0,20.33
분홍가슴비둘기,0,0,0,0,0,0,0
흑비둘기,0,0,0,0,0,0,0
멧비둘기,4134,6100,12678,15206,5074,3510,7783.67
염주비둘기,0,0,0,0,0,0,0
홍비둘기,0,0,0,0,0,0,0
목점박이비둘기,0,0,0,0,0,0,0
녹색비둘기,0,0,0,0,0,0,0
밤색날개뻐꾸기,0,0,0,0,0,0,0
큰매사촌,0,0,0,0,0,0,0
매사촌,0,0,0,0,0,0,0
검은등뻐꾸기,0,0,0,0,0,0,0
뻐꾸기,0,0,0,0,0,0,0
벙어리뻐꾸기,0,0,0,0,0,0,0
두견,0,0,0,0,0,0,0
검은두견이,0,0,0,0,0,0,0
검은뻐꾸기,0,0,0,0,0,0,0
우는뻐꾸기,0,0,0,0,0,0,0
작은뻐꾸기사촌,0,0,0,0,0,0,0
가면올빼미,0,0,0,0,0,0,0
큰소쩍새,0,0,1,0,0,0,0.17
소쩍새,0,0,0,0,0,0,0
흰올빼미,0,0,0,0,0,0,0
수리부엉이,0,3,8,9,9,10,6.5
올빼미,0,0,0,0,0,0,0
긴점박이올빼미,0,0,0,0,0,0,0
긴꼬리올빼미,0,0,0,0,0,0,0
금눈쇠올빼미,1,0,0,2,2,0,0.83
솔부엉이,0,0,0,0,0,0,0
칡부엉이,0,0,0,0,2,0,0.33
쇠부엉이,0,5,5,7,0,1,3
쏙독새,0,0,0,0,0,0,0
작은칼새,0,0,0,0,0,0,0
바늘꼬리칼새,0,0,0,0,0,0,0
칼새,0,0,0,0,0,14,2.33
쇠칼새,0,0,0,0,0,0,0
파랑새,0,0,0,0,0,0,0
호반새,0,0,0,0,0,0,0
청호반새,0,0,0,0,0,0,0
물총새,46,13,30,34,6,6,22.5
뿔호반새,0,0,0,0,0,0,0
후투티,15,24,60,57,27,18,33.5
개미잡이,0,0,0,0,0,1,0.17
붉은배오색딱다구리,0,0,0,0,0,0,0
쇠딱다구리,47,40,147,191,58,51,89
아물쇠딱다구리,0,0,0,1,0,0,0.17
쇠오색딱다구리,0,0,0,0,0,0,0
큰오색딱다구리,9,8,32,22,9,2,13.67
오색딱다구리,32,37,108,121,65,36,66.5
세가락딱다구리,0,0,0,0,0,0,0
크낙새,0,0,0,0,0,0,0
까막딱다구리,0,0,0,0,0,0,0
청딱다구리,50,34,83,99,61,32,59.83
팔색조,0,0,0,0,0,0,0
푸른날개팔색조,0,0,0,0,0,0,0
회색숲제비,0,0,0,0,0,0,0
검은할미새사촌,0,0,0,0,0,0,0
할미새사촌,0,0,0,0,0,0,0
검은가슴할미새사촌,0,0,0,0,0,0,0
칡때까치,0,0,0,0,0,0,0
때까치,316,189,487,500,171,99,293.67
노랑때까치,0,0,0,0,0,0,0
붉은등때까치,0,0,0,0,0,0,0
긴꼬리때까치,1,2,2,3,3,4,2.5
재때까치,0,0,0,0,0,0,0
물때까치,11,9,19,64,8,5,19.33
꾀꼬리,0,0,0,0,0,0,0
검은바람까마귀,0,0,0,0,0,0,0
회색바람까마귀,0,0,0,0,0,0,0
바람까마귀,0,0,0,0,0,0,0
북방긴꼬리딱새,0,0,0,0,0,0,0
긴꼬리딱새,0,0,0,0,0,0,0
어치,91,34,169,178,22,29,87.17
물까치,1353,978,3372,2594,422,436,1525.83
까치,2709,3189,8293,8670,2542,2257,4610
잣까마귀,0,0,0,0,0,0,0
붉은부리까마귀,0,0,0,0,0,0,0
갈까마귀,1,5,5019,5000,0,0,1670.83
집까마귀,0,0,0,0,0,0,0
떼까마귀,96,2439,114788,125545,1824,9315,42334.5
까마귀,39,70,311,620,128,90,209.67
큰부리까마귀,592,762,2713,2586,845,569,1344.5
큰까마귀,0,0,0,0,0,0,0
황여새,0,0,0,312,0,0,52
홍여새,0,0,0,9,12,58,13.17
박새,816,777,2656,2751,862,764,1437.67
노랑배진박새,20,0,4,0,3,0,4.5
진박새,28,27,249,293,55,40,115.33
곤줄박이,43,36,228,230,18,33,98
쇠박새,270,273,642,915,271,221,432
북방쇠박새,0,0,0,0,0,0,0
스윈호오목눈이,5,38,53,2,0,25,20.5
갈색제비,2,0,0,0,0,0,0.33
제비,854,0,21,38,0,45,159.67
바위산제비,0,0,0,0,0,0,0
흰턱제비,0,0,0,0,0,0,0
흰털발제비,0,0,10,0,0,0,1.67
귀제비,23,2,0,0,0,0,4.17
오목눈이,616,572,1352,1363,516,353,795.33
쇠종다리,0,0,0,0,0,0,0
북방쇠종다리,0,0,0,0,0,0,0
흰날개종다리,0,0,0,0,0,0,0
뿔종다리,0,0,0,0,0,0,0
종다리,218,1424,1621,1897,924,489,1095.5
남방종다리,0,0,0,0,0,0,0
해변종다리,0,0,0,0,0,0,0
개개비사촌,12,5,4,3,3,0,4.5
꼬리치레,0,0,0,0,0,0,0
검은이마직박구리,137,111,252,291,92,24,151.17
직박구리,1836,1367,5465,5027,1273,1021,2664.83
큰개개비,0,0,0,0,0,0,0
숲새,0,1,0,0,0,0,0.17
휘파람새,0,5,25,25,5,6,11
쇠덤불개개비,0,0,0,0,0,0,0
점무늬가슴쥐발귀,0,0,0,0,0,0,0
쥐발귀개개비,0,0,0,0,0,0,0
북방개개비,0,0,0,0,0,0,0
알락꼬리쥐발귀,0,0,0,0,0,0,0
섬개개비,0,0,0,0,0,0,0
붉은허리개개비,0,0,0,0,0,0,0
큰부리개개비,0,0,0,0,0,0,0
개개비,0,0,0,0,0,0,0
쇠개개비,0,0,0,0,0,0,0
풀쇠개개비,0,0,0,0,0,0,0
북방쇠개개비,0,0,0,0,0,0,0
연노랑솔새,0,0,0,0,0,0,0
검은다리솔새,0,0,0,0,0,0,0
쇠긴다리솔새사촌,0,0,0,0,0,0,0
솔새사촌,0,0,0,1,0,0,0.17
노랑배솔새사촌,0,0,0,0,0,0,0
긴다리솔새사촌,0,0,0,0,0,0,0
노랑배솔새,0,0,0,0,0,0,0
노랑허리솔새,2,0,0,0,0,0,0.33
노랑눈썹솔새,33,0,0,0,0,0,5.5
연노랑눈썹솔새,0,0,0,0,0,0,0
쇠솔새,5,0,0,0,0,0,0.83
솔새,0,0,0,0,0,0,0
버들솔새,0,0,0,0,0,0,0
되솔새,0,0,0,0,0,0,0
사할린되솔새,0,0,0,0,0,0,0
