구분,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,평균
관찰지역수,75,75,200,75,75,75,95.83
합계,617312,1038700,1111763,974685,675607,839772,876306.5
들꿩,0,0,0,0,0,0,0
멧닭,0,0,0,0,0,0,0
메추라기,4,9,18,10,11,5,9.5
꿩,187,194,462,250,199,220,252
개리,50,18,27,60,3,85,40.5
큰기러기,136307,141192,81616,67331,41711,19332,81248.17
회색기러기,0,0,0,0,0,0,0
쇠기러기,153446,155058,94055,63459,56323,65967,98051.33
흰이마기러기,0,2,0,1,2,1,1
줄기러기,0,0,0,0,0,0,0
흰머리기러기,0,0,0,0,0,0,0
흰기러기,2,1,2,2,1,2,1.67
붉은가슴기러기,0,0,0,0,0,0,0
캐나다기러기,0,0,0,0,0,0,0
흑기러기,0,3,0,0,5,0,1.33
흰얼굴기러기,0,0,0,0,0,0,0
혹고니,0,0,0,7,2,1,1.67
고니,7,39,1,3,0,0,8.33
큰고니,10,6086,6265,4795,4398,1138,3782
혹부리오리,517,3149,16779,21020,18143,14855,12410.5
황오리,84,2918,3392,1753,813,1498,1743
원앙사촌,0,0,0,0,0,0,0
원앙,487,511,1288,650,563,128,604.5
알락오리,3577,10877,7267,4125,2538,3913,5382.83
청머리오리,5381,2149,4483,1498,1834,2879,3037.33
홍머리오리,8976,4408,6861,2730,3491,2987,4908.83
아메리카홍머리오리,0,1,0,0,0,0,0.17
미국오리,0,0,0,0,0,0,0
청둥오리,24581,185939,207410,127726,149490,80357,129250.5
흰뺨검둥오리,39418,48724,81759,58634,36066,26339,48490
넓적부리,2790,3154,3720,3487,2666,5032,3474.83
고방오리,3271,4190,5499,3541,5285,3655,4240.17
발구지,8,0,3,0,0,17,4.67
가창오리,306,104279,155926,310940,85290,345322,167010.5
쇠오리,8460,11638,15605,8266,6927,5901,9466.17
미국쇠오리,0,0,0,0,0,0,0
붉은부리흰죽지,0,0,1,1,0,0,0.33
큰흰죽지,0,0,0,0,0,0,0
미국흰죽지,0,0,0,0,0,0,0
흰죽지,25396,19282,24975,9959,13695,22895,19367
붉은가슴흰죽지,0,0,0,0,0,0,0
적갈색흰죽지,0,1,0,0,0,0,0.17
북미댕기흰죽지,0,0,0,0,0,0,0
댕기흰죽지,13044,10334,6111,15530,6098,10371,10248
검은머리흰죽지,25224,84856,1972,9430,2213,1803,20916.33
쇠검은머리흰죽지,0,0,0,0,0,0,0
호사북방오리,0,0,0,0,0,0,0
흰줄박이오리,0,4,25,8,48,18,17.17
검둥오리사촌,2,54,659,185,83,36,169.83
검둥오리,0,1,51,33,185,23,48.83
바다꿩,0,0,0,0,0,0,0
꼬마오리,0,0,0,0,0,0,0
흰뺨오리,0,1424,3549,1372,1958,1207,1585
북방흰뺨오리,0,0,0,0,0,0,0
흰비오리,11,418,879,528,480,190,417.67
비오리,26,3888,12030,6580,4784,2326,4939
바다비오리,14,267,832,713,1703,863,732
호사비오리,8,72,110,47,75,43,59.17
아비,0,0,11,5,73,8,16.17
큰회색머리아비,0,0,101,38,748,1528,402.5
회색머리아비,0,0,39,71,18,40,28
흰부리아비,0,0,0,0,0,0,0
레이산알바트로스,0,0,0,0,0,0,0
알바트로스,0,0,0,0,0,0,0
흰배슴새,0,0,0,0,0,0,0
슴새,0,0,0,0,0,0,0
쇠부리슴새,0,0,0,0,0,0,0
붉은발슴새,0,0,0,0,0,0,0
검은슴새,0,0,0,0,0,0,0
바다제비,0,0,0,0,0,0,0
논병아리,815,1109,1876,643,523,577,923.83
큰논병아리,2,7,13,42,11,9,14
뿔논병아리,324,3765,12859,8111,4683,5982,5954
귀뿔논병아리,0,2,31,3,44,1,13.5
검은목논병아리,563,1320,1149,457,1070,478,839.5
큰홍학,0,0,0,0,0,0,0
먹황새,1,0,0,0,0,0,0.17
황새,0,5,5,5,12,6,5.5
검은머리흰따오기,0,0,0,0,0,0,0
따오기,0,0,0,0,0,0,0
적갈색따오기,0,0,0,0,0,0,0
노랑부리저어새,322,299,239,144,190,121,219.17
저어새,287,53,32,14,22,26,72.33
알락해오라기,0,4,3,3,2,0,2
덤불해오라기,0,0,0,0,0,0,0
큰덤불해오라기,0,0,0,0,0,0,0
열대붉은해오라기,0,0,0,0,0,0,0
검은해오라기,0,0,0,0,0,0,0
붉은해오라기,0,0,0,0,0,0,0
푸른눈테해오라기,0,0,0,0,0,0,0
해오라기,36,67,19,11,12,7,25.33
검은댕기해오라기,0,1,0,0,0,1,0.33
흰날개해오라기,0,1,0,0,0,0,0.17
황로,22,0,0,0,0,0,3.67
왜가리,3051,1829,2918,1195,1490,2453,2156
붉은왜가리,0,3,0,0,0,0,0.5
중대백로,1993,830,945,434,174,408,797.33
중백로,60,20,56,0,23,23,30.33
쇠백로,763,385,560,119,94,137,343
흑로,15,13,16,3,3,3,8.83
노랑부리백로,36,3,2,0,0,0,6.83
큰군함조,0,0,0,0,0,0,0
군함조,0,0,0,0,0,0,0
큰사다새,0,0,0,0,0,0,0
사다새,0,0,0,0,0,0,0
푸른얼굴얼가니새,0,0,0,0,0,0,0
붉은발얼가니새,0,0,0,0,0,0,0
갈색얼가니새,0,0,0,0,0,0,0
민물가마우지,8087,8420,7021,7388,5019,3300,6539.17
가마우지,148,1427,2969,1395,1623,905,1411.17
쇠가마우지,29,392,832,944,399,451,507.83
붉은뺨가마우지,0,0,0,0,0,0,0
황조롱이,145,196,364,174,138,127,190.67
비둘기조롱이,52,0,0,0,0,0,8.67
쇠황조롱이,1,6,3,0,2,3,2.5
새호리기,7,0,1,0,0,0,1.33
헨다손매,0,0,0,0,0,0,0
흰매,0,0,0,0,0,0,0
매,12,15,20,23,6,6,13.67
물수리,60,49,28,29,30,21,36.17
검은댕기수리,0,0,0,0,0,0,0
검은어깨매,0,0,0,0,0,0,0
벌매,0,0,0,0,0,0,0
솔개,39,45,37,5,12,10,24.67
흰꼬리수리,1,7,75,90,93,50,52.67
참수리,0,0,4,4,2,2,2
수염수리,0,0,0,0,0,0,0
고산대머리수리,0,0,0,0,0,0,0
독수리,0,72,400,527,278,113,231.67
관수리,0,0,0,0,0,0,0
개구리매,0,1,1,0,3,1,1
잿빛개구리매,14,13,35,31,21,12,21
알락개구리매,1,0,0,0,1,0,0.33
붉은배새매,0,0,0,0,0,0,0
조롱이,0,1,1,0,2,0,0.67
새매,11,20,45,23,21,14,22.33
참매,3,6,24,10,10,6,9.83
왕새매,0,0,0,0,0,1,0.17
말똥가리,45,129,360,204,167,137,173.67
큰말똥가리,1,2,15,9,7,4,6.33
털발말똥가리,0,2,2,3,4,4,2.5
항라머리검독수리,0,1,0,0,0,1,0.33
